title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Bluetooth Version,Operating Range,Call Features,Third Party App Support,Display Resolution,Display Size,Display Type,Other Camera Features,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Number of Buttons,Other Watch Functions,Speaker,Microphone,Audio Features,Gesture Control,Voice Control,Other Multimedia Features,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Color,Maximum Operating Altitude,Compatible Device,Talk time,Stand By Time,Operating System,RAM,Internal Memory,Email Support,Other Connectivity Features,Flash,Supported Audio Format,Speaker Volume,International Warranty,Number of Cores,Processor Name,Other Dimensions,Processor Speed,Compatible Operating System,Primary Camera,Diameter,Video Features,Expandable Memory,Supported Video Format,HD Recording,HD Playback
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:33:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹1,099",4.1,Data not available,Image not available,URL not available,2025-02-02 20:33:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:33:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:33:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:33:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift Max 2.01''HD Screen,BT Calling, Working Cro...","₹7,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/u/s/-original-imah8xv5bjyppg6q.jpeg?q=70,https://www.flipkart.com/boult-drift-max-2-01-hd-screen-bt-calling-working-crown-complete-health-track-ip68-smartwatch/p/itm41b5b7a847d77?pid=SMWH6PTYSTM6EEWP&lid=LSTSMWH6PTYSTM6EEWPDGY9ZJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_281&otracker=search&fm=organic&iid=en_08uDiyXs9hq0mRm3laWC1MVXCDv-O8cijhlOIaILu-EATrFmm3Faw0UGlBePCbLFJWrv6XLBP0IaPo1dKVWjwPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,"Smartwatch, Charging Cable, Warranty Card, User Manual",Drift Max,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Square,Silver,Stainless steel,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,Silver,,"Real Heart rate, SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",Vibrate,Lithium Polymer,150 min,Upto 5 days,Yes,Magnetic Charging Cable,"Remote Camera, 150+ Watch Faces with Custom watch faces, 2.0inch 1000 Nits High Brightness Display​, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie’s count",Yes,Yes,,No,No,v5.2,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",,240x296 Pixel,2 inch,HD,,Yes,No,1000 Nits High Brightness,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,2,"Bluetooth Calling, 2.0inch 1000 Nits High Brightness Display​ with 240x296 display resolution , Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",1 Speaker,Yes,,Wrist to Screen Wake,Yes,,48 mm,11 mm,39 mm,50 g,1 Year Warranty from the date of purchase,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,Multicolour,,Smartphone,,480 hr,,,,No,,,,,,,,,,,,,,,,,
"Fire-Boltt 4G Pro Volte Calling- 2.02"" TFT Display, 4G ...","₹2,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/y/u/51-3-bsw217-android-ios-fire-boltt-yes-original-imah4rb6wfe2dfzd.jpeg?q=70,https://www.flipkart.com/fire-boltt-4g-pro-volte-calling-2-02-tft-display-nano-sim-gps-smartwatch/p/itmf9ee8e30d0da5?pid=SMWH4D8VV3SRRNZA&lid=LSTSMWH4D8VV3SRRNZAHKR0QI&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_285&otracker=search&fm=organic&iid=3b595039-1eb2-41f3-875c-fe819c9c21ac.SMWH4D8VV3SRRNZA.SEARCH&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW217,"4G Pro Volte Calling- 2.02"" TFT Display, 4G Nano-SIM GPS",Square,Black,Silicone,Free Size,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical",Zinc Alloy,Men & Women,Android & iOS,Black,Buckle,"Heart Rate, SpO2, Pedometer","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Vibrate,Lithium Ion,180 Hr,5 Days,Yes,USB Cable,,Yes,Yes,No,No,No,,10 m,"Reject Calls, Take Calls",,240 x 296 Pixels,51.3 mm,HD,,No,Yes,"2.02"" Square Display with 240 x 296 px High Resolution",Yes,Yes,Yes,No,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count",,No,No,Yes,No,,1,,Yes,Yes,,,Yes,,33 mm,9.8 mm,9.8 mm,56.1 g,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,Physical & Water Damage,1 Year,,,,,720 Hr,,,,No,Android 6.0 or iOS 12.0 Supporting Bluetooth 5.0 Mobile Phones with System Version and Above,,,,,,,,,,,51.308 mm,,,,,
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/6/h/9/-original-imagzv6kshnwjyym.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itm2af89cdd68003?pid=SMWGZSX5FZHSHY2J&lid=LSTSMWGZSX5FZHSHY2JD6A8KK&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_289&otracker=search&fm=organic&iid=3b595039-1eb2-41f3-875c-fe819c9c21ac.SMWGZSX5FZHSHY2J.SEARCH&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,"Smartwatch, Charging Cable, User Manual",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Rectangle,Black,Stainless steel,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,ABS,Men & Women,Android & iOS,Gunmetal,,"Real Heart Rate, Real SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails",Vibrate,Lithium Polymer,150 Min,Upto 7 Days,Yes,Magnetic Charging Cable,,Yes,Yes,No,No,No,v5.0,10 m,"Pick up incoming calls, reject incoming calls, dial",,240 x 280 Pixel,1.69 Inch,TFT,,Yes,No,,Yes,Yes,Yes,No,60 Workout modes,Date and Time,No,No,Yes,No,"English (default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese",1,"Female Cycle Tracker, Multiple Workout Modes, Sleep Tracking, Weather Details, Find Phone",Yes,Yes,,,,,35.78 mm,44.17 mm,11.6 mm,45 g,Repair or Replace,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,Multicolour,,Smartphone,,288 Hr,,,,Yes,,,,,,,Goodix 5515-64M,,,,,,,,,,
"alt Lit, 1.85 HDDisplay, Bt Calling, 7 day Battery, AI ...",₹899,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/w/n/v/-original-imagn8t3fxqfpqdg.jpeg?q=70,https://www.flipkart.com/alt-lit-1-85-hddisplay-bt-calling-7-day-battery-ai-voice-asst-rotating-crown-smartwatch/p/itm0519136546156?pid=SMWGHQWPBTT6Y8QW&lid=LSTSMWGHQWPBTT6Y8QWKS843M&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_293&otracker=search&fm=organic&iid=3b595039-1eb2-41f3-875c-fe819c9c21ac.SMWGHQWPBTT6Y8QW.SEARCH&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,"Smartwatch, Magnetic Charger, User Manual, Warranty Card","Lit, 1.85 HD Display, Bt Calling, 7 day Battery, AI Voice Asst, Rotating Crown","Lit, 1.85 HDDisplay, Bt Calling, 7 day Battery, AI Voice Asst, Rotating Crown",Square,Green,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Moss Green,Buckle,"Accelerometer, Heart Rate, SpO2",Smart Notification,Vibration,,,"Battery life: 7 days, 2 days with Bluetooth calling,15 days on standby",Yes,Magnetic Charger,,Yes,Yes,,,Yes,,10 m,,,240 x 280 pixel,46.99 mm,,,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,Yes,Yes,,,Yes,,,,,,1 Year Manufacturer Warranty,Contact- help@alt-smart.com | alt-smart.com | 01243633987,Manufacturing Defects,Physical Damage,1 Year,Green,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Sanvitraders T10 Ultra Smart Watch Smartwatch,₹759,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/2/q/p/53-t10-ultra-2-09-infinite-display-with-bluetooth-calling-original-imah6zvwgzhr4fhm.jpeg?q=70,https://www.flipkart.com/sanvitraders-t10-ultra-smart-watch-smartwatch/p/itmf755a4e2d5aae?pid=SMWH6ZVWEVCB9HGG&lid=LSTSMWH6ZVWEVCB9HGGX1ODIY&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_297&otracker=search&fm=organic&iid=en_08uDiyXs9hq0mRm3laWC1MVXCDv-O8cijhlOIaILu-HVNhpC8kl4UZfSKzElx8ihXSXcmiB97i8bpRKd_9-xRg%3D%3D&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,1 smart watch,T10 Ultra 2.09 Infinite Display with Bluetooth Calling Smartwatch (Orenge ),T10 Ultra Smart Watch,Square,Orange,Silicone,free size,Yes,Yes,10 m,Fitness & Outdoor,Aluminium,Men & Women,Android,ORENGE,na,PROXIMITY SENSOR,"CALNDER REMINDER, MISSED CALL NOTIFICATION, WHATSAPP & EMAIL NOTIFICATION",Ringer,Lithium,60 min,1 DAY,Yes,Wirless,,Yes,Yes,Yes,Yes,Yes,V3.0,10 m,"Mute Calls, Reject Calls, Take Calls",Full Support,395*460 pixel,53 mm,HD,,Yes,Yes,,Yes,Yes,Yes,Yes,"Sleep Tarcking, Movement Measurement",yes,Yes,Yes,Yes,Yes,English,,"Weather, Barometer",,,,yes,Yes,,,,,,,,,,,Moulticolor,,all Divice,,,Android @Ios,,,Yes,,,,,,na,na,,,,,,,,,,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/w/f/m/-original-imagrf4gvgfjj8jf.jpeg?q=70,https://www.flipkart.com/boult-crown-1-95-screen-bt-calling-working-crown-zinc-alloy-frame-900-nits-spo2-smartwatch/p/itme4d41a7681606?pid=SMWGPHT4WMGGHGGC&lid=LSTSMWGPHT4WMGGHGGC7NH1PB&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_301&otracker=search&fm=organic&iid=en_08uDiyXs9hq0mRm3laWC1MVXCDv-O8cijhlOIaILu-F7MnsxPUVfuT2I3-fPmBPIJ9G00zZ85ZmpZjkb8tsvzIE8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Orange,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Orange,,"Real Heart rate, SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",,Lithium Polymer,150 min,Upto 5 Days,,,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.95inch 900 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie's count",Yes,Yes,No,,No,v5.2,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",,240 x 283 Pixel,49.53 mm,TFT,,Yes,No,,Yes,Yes,Yes,,100+ Workout modes,Date and Time,No,No,Yes,No,"English (default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese",,,Yes,Yes,,,,,,6 mm,,,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire-Boltt Shark 46.5mm (1.83) Smartwatch with Rugged O...,"₹1,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/e/v/-original-imagpgh3ndbskdqa.jpeg?q=70,https://www.flipkart.com/fire-boltt-shark-46-5mm-1-83-smartwatch-rugged-outdoor-design-bluetooth-calling/p/itmecbe599f5909e?pid=SMWGZYPHFDK9WMA2&lid=LSTSMWGZYPHFDK9WMA248QORU&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_305&otracker=search&fm=organic&iid=3b595039-1eb2-41f3-875c-fe819c9c21ac.SMWGZYPHFDK9WMA2.SEARCH&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,"1 Smartwatch, 1 Charging Cable, 1 Manual, 1 Warranty Card",BSW119,"Shark 46.5mm (1.83) Smartwatch with Rugged Outdoor Design, Bluetooth Calling",Square,Black,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,,Men & Women,Android & iOS,Black,Buckle,"SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sensor, Barometer, Pedometer SC7A20","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Ring (Only in Bluetooth Calling Mode) and Vibration,Lithium Ion,120 min,Upto 13 Days,Yes,USB Cable With Metalic Charging Points,"1. Fire-Boltt Shark Bluetooth Calling Smartwatch
2. Large Square Display : 1.83 inch screen with High Resolution of 240 x 284 Pixels. 
3.Supports Bluetooth Calling : Make seamless calls through the watch with bluetooth calling function
4. Multiple Menu Layouts to choose from
5. InBuilt Voice Assistance with Smart Calculator inbuilt
6. Play games on your wrist and enjoy your leisure time
7. 360 Health Control : Heart rate measurement (whole day heart rate), blood oxygen measurement and sleep monitoring, and upload app to save data synchronously
8. 120+ Sports Modes - Enjoy each trek or boating or climbing track all your sports activity on this smart watch
9.Music Player : Control your phone music playing and play the music on the watch
10.Enjoy seamless calling and talking through the watch
11.Contact Sync : Sync favourite contacts on your watch via your the app
12.Call Logs : Check missed calls and answered calls on the watch
13.Sedentary Reminders : Time to work out, change the unhealthy mode of life
14.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,No,No,No,v5.0,10 m,"Make Calls, Answer Calls, Reject Calls, Speed Dial, Contact Sync",,240 x 284 Pixel,1.83 inch,TFT,Remote Camera Control,No,,,Yes,Yes,Yes,No,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count, Distance Measurement, 120+ Sports Mode Regular exercise: (includes: walking, running, cycling, skipping, badminton, basketball, soccer, mountaineering, tennis, rugby, golf, yoga, fitness, dancing, baseball, elliptical machine, indoor cycling, free training, rowing machine), Outdoor sports (rock climbing, skateboarding, roller skating, Coldrunning, ATV, paragliding, triathlon, hiking, Kabaddi), Climb building training (machine, climbing stairs, treadmills, core training, flexibility training, pilates, gymnastics, tensile, strength training, cross-training, setting-up exercise, physical training, squash, dumbbell, barbell training, hard to pull, upper limb training, sit-ups, functional training, bobby, back training, training of lower limb, waist and abdomen training, high-intensity intermittent training, walking, running in room , weight lifting), Ball games (volleyball, softball, hockey, table tennis, cricket, handball, squash, billiards, shuttlecock, beach football, beach volleyball, rattan, bowling), Recreational sports (archery, darts, tug-of-war, hula hoop, kite flying, horse riding, Frisbee, fishing), Other sports (Equestrian, Athletics, Motor racing)",Date & Time,No,No,Yes,Yes,English,2,"1. Fire-Boltt Shark Bluetooth Calling Smartwatch
2. Large Square Display : 1.83 inch screen with High Resolution of 240 x 284 Pixels. 
3.Supports Bluetooth Calling : Make seamless calls through the watch with bluetooth calling function
4. Multiple Menu Layouts to choose from
5. InBuilt Voice Assistance with Smart Calculator inbuilt
6. Play games on your wrist and enjoy your leisure time
7. 360 Health Control : Heart rate measurement (whole day heart rate), blood oxygen measurement and sleep monitoring, and upload app to save data synchronously
8. 120+ Sports Modes - Enjoy each trek or boating or climbing track all your sports activity on this smart watch
9.Music Player : Control your phone music playing and play the music on the watch
10.Enjoy seamless calling and talking through the watch
11.Contact Sync : Sync favourite contacts on your watch via your the app
12.Call Logs : Check missed calls and answered calls on the watch
13.Sedentary Reminders : Time to work out, change the unhealthy mode of life
14.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,,,,,39 mm,9.8 mm,9.8 mm,36.8 g,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,Physical & Water Damage,1 Year,,,"Mobile Phones, Smart Phones",,360 hrs,,,,No,,,,,,,,,,,,,,,,,
"boAt Ultima Regal w/ 5.1cm(2.01"") AMOLED Display,Functi...","₹2,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/d/b/-original-imah4nb2m7vspvzb.jpeg?q=70,https://www.flipkart.com/boat-ultima-regal-w-5-1cm-2-01-amoled-display-functional-crown-bt-calling-smartwatch/p/itme4e759410c089?pid=SMWH44GEMENVCCQK&lid=LSTSMWH44GEMENVCCQKNET71Y&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_309&otracker=search&fm=organic&iid=3b595039-1eb2-41f3-875c-fe819c9c21ac.SMWH44GEMENVCCQK.SEARCH&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Ultima Regal,"Ultima Regal w/ 5.1cm(2.01"") AMOLED Display,Functional Crown & BT Calling",Rectangle,Beige,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Women,Android & iOS,Cherry Blossom,,"HR, SpO2, G-sensor",,,,,7 Days,,,,Yes,Yes,,,,,,,,410 x 502 pixel,51 mm,,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,Physical Damages,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/h/0/-original-imah3j8rxgzwfkzz.jpeg?q=70,https://www.flipkart.com/boult-crown-1-95-screen-bt-calling-working-crown-zinc-alloy-frame-900-nits-spo2-smartwatch/p/itm7dd33ff6ded91?pid=SMWGPHT4K4YDQUR6&lid=LSTSMWGPHT4K4YDQUR69J5BIR&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_313&otracker=search&fm=organic&iid=3b595039-1eb2-41f3-875c-fe819c9c21ac.SMWGPHT4K4YDQUR6.SEARCH&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Blue,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Blue,,"Real Heart rate, SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",,Lithium Polymer,150 min,Upto 5 Days,,,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.95inch 900 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie's count",Yes,Yes,No,,No,v5.2,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",,240 x 283 Pixel,49.53 mm,TFT,,Yes,No,,Yes,Yes,Yes,,100+ Workout modes,Date and Time,No,No,Yes,No,"English (default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese",,,Yes,Yes,,,,,,6 mm,,,1 Year Warranty from the date of purchase,Contact : Ph : Ph : +919555602502 / Mail : support@boultaudio.com,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"INNOMAX S20 Force Plus 2.01"" Bigger Display Smart Watch...",₹709,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/y/x/51-s20-forces-watch-black-blue-android-ios-innomax-yes-original-imah6hdskpjfhfcz.jpeg?q=70,https://www.flipkart.com/innomax-s20-force-plus-2-01-bigger-display-smart-watch-advanced-bluetooth-calling-smartwatch/p/itm54c2dedb0d2c4?pid=SMWH6HDS4ZKVFGYY&lid=LSTSMWH6HDS4ZKVFGYY71OI38&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_8_317&otracker=search&fm=organic&iid=en_08uDiyXs9hq0mRm3laWC1MVXCDv-O8cijhlOIaILu-FsKkvlcZNFxafQ8JEp4KR9qqTHBVlV7Yfue-o1000bug%3D%3D&ppt=None&ppn=None&ssid=l3j197c7uo0000001738524825202&qH=87968ec020b2016b,2025-02-02 20:33:45,1 Smartwatch,S20_forces_watch_black_Blue,"S20 Force Plus 2.01"" Bigger Display Smart Watch with Advanced Bluetooth Calling",Rectangle,Blue,Silicone,Free Size,Yes,Yes,,"Fitness & Outdoor, Notifier, Watchphone",stainless steel,Men & Women,Android & iOS,Blue,Buckle,"SpO2, Optical Heart Rate Sensor, Light Sensor","Whatsapp, Facebook, Instagram",Voice Call,Lithium,90 min,Upto 7 Days,Yes,Magnetic Charging Cable,,Yes,Yes,,,Yes,5.3,10 m,Voice Call,Not Supported,240*296 pixel,51 mm,Ultra HD,Phone Camera Control,Yes,Yes,Super clear Hd Display,Yes,Yes,Yes,No,Upto 100 Sport Mode,Date & Time,Yes,No,Yes,No,"English, Hindi",1,"Support for Multiple Languages and Find MYY Phone Feature: The smartwatch supports multiple languages (English & Hindi) for a user-friendly experience. Additionally, the Find Phone feature helps you locate your smartphone when it's nearby but misplaced",Yes Clear & Loud,Yes 2 Clear & Loud,noise cancellation,Yes,Yes,GamesMP3 SpeakerMusic Player,,,,300 g,,,,,,Black,,"Smartphone, Tablet, Laptop",60 hr,120 hr,,,,,App Connectivity,Watch Screen Flash,AAC,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:33:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:33:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹999,3.9,Data not available,Image not available,URL not available,2025-02-02 20:33:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:33:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:34:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:34:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
