title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Ideal For,Compatible OS,Brand Strap Color,Sensor,Compatible Device,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Stand By Time,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Display Type,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Other Watch Functions,Speaker,Microphone,Voice Control,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Material,Closure,Gesture Control,Bluetooth Version,Third Party App Support,Other Connectivity Features,Number of Buttons,Diameter,Maximum Operating Altitude,Talk time,Operating System,RAM,Internal Memory,Flash,Other Camera Features,Audio Features,Supported Audio Format,Speaker Volume,Other Multimedia Features,International Warranty,Video Features,Supported Video Format,HD Recording,HD Playback,Compatible Operating System,Processor Name
PunnkFunnk T800 ultra Series 8 smart watch with AI assi...,₹590,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/v/k/v/49-fl-t800-grey-fg-android-ios-punnkfunnk-yes-original-imah7jyuegbpfzez.jpeg?q=70,https://www.flipkart.com/punnkfunnk-t800-ultra-series-8-smart-watch-ai-assistant-bluetooth-calling-fitness-smartwatch/p/itmaf79124c27487?pid=SMWGTYRH4HYTHEBZ&lid=LSTSMWGTYRH4HYTHEBZO7ZAXW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_73&otracker=search&fm=organic&iid=a42c0103-bf78-4a6d-907a-499e104010ee.SMWGTYRH4HYTHEBZ.SEARCH&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,1,Fl_ T800 Grey-FG,"T800 ultra Series 8 smart watch with AI assistant, bluetooth calling and fitness",Gold,Rectangle,Grey,Silicone,2 Inch Large Sunlight Proof Display,Yes,Yes,0.5 m,"Fitness & Outdoor, Health & Medical",Men,Android & iOS,Grey,Fitness Health sports tracker,Samsung iPhone VIVO OPPO MI POCO NOKIA MOTOROLA One Plus,"Call reminder, SMS Reminder, Health and fitness reminder, App notifications, Alarm and calendar reminder",vibrate and ringing,Lithium Polymer,100 min,2 Days Max after all things used but Normal 5 Days Battery run Proper,Yes,Wireless Charger,50 hr,25+ Apps always on display feature Music Camera Operate,Yes,Yes,No,No,No,No,10 m,"Take Calls, Reject, Missed Calls, Dial Pad, Contacts",300X300 pixel,49 mm,AMOLED,Yes,Yes,"Sunlight Proof display, 2 Inch Large Display, All words & apps clearly view no small app no small word, Amoled display",Yes,Yes,Yes,No,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance, with game",Yes,No,Yes,Yes,No,English,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance,, BT call?Play music?Messages reminder?Pedometer?Distance?Calories?Sleep monitoring?Heart rate?Calendar?Raise-to-wake?Intelligent
voice?Call records?SMS?Alarm?Remote camera?Dial?Phone book?Calculator?Clock?Ringtone settings,body temperature monitor
Waterproof: IP67 Waterproof",Yes,Yes,Yes,,,,,3 month warranty,NA,Manufacturing Defects,Physical Damage,3 Months,Stainless Steel Super Amoled display,yes,"Make Calls, Answer Calls, Mute Rejects Calls, Missed calls show, Contacts",5.0,,App and Bluetooth,3,,10 m,1 hr,Android and ios,768 MB,2 GB,yes,remote Sutter,Noise Cancellation,,"Low 40 dB, Medium 60 dB, High 100 dB",,1 Months,,,,,,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Allo...","₹1,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/h/0/-original-imagz95fv2engvhx.jpeg?q=70,https://www.flipkart.com/boult-crownr-pro-1-43-hd-amoled-bt-calling-zinc-alloy-frame-ip67-spo2-tracking-smartwatch/p/itmf5f0707221ff6?pid=SMWGQ2R434FUUF29&lid=LSTSMWGQ2R434FUUF2973BPQX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_77&otracker=search&fm=organic&iid=en_ZN0AqXwmNLogaczUwefVcxNM6UqsU_wV9XwODTGH2ootne9qx523rAnzAT-rYUxmmsSecsYCjFNEgpoHEfgWOK8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Multicolour,Round,Black,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Men & Women,Android & iOS,Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.43inch 600 Nits High Brightness Display, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie's Count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",466 x 466 Pixels,36.32 mm,AMOLED,Yes,No,High Brightness,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,"Bluetooth Calling, 1.43inch 600 Nits High Brightness with 466 x 466 display resolution & providing Always on display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",1 Speaker,Yes,Yes,47 mm,46 mm,13 mm,56.5 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,Zinc Alloy,,Wrist Wake,v5.2,,,2,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹1,399",4.1,Data not available,Image not available,URL not available,2025-02-08 17:17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:18:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:18:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/e/p/-original-imah8mtwtmmxa47x.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itm9aab07df7f268?pid=SMWGMH4JA69PG4TF&lid=LSTSMWGMH4JA69PG4TF75UAZN&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_81&otracker=search&fm=organic&iid=en_Emw6m4myZHhR7sZLlAm2CIqaw55CfK1dvojpdqfQxRaTMbmtpLKYwvIbMYcsqQ3BDkJiK0KAyVoBicHEcdhZWQ%3D%3D&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Multicolour,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Jet Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,600 Hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 280 Pixels,1.85 inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,100+ Workout Modes,Date and Time,No,No,Yes,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,Yes,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Trail 2.01"" 3D Curved HD Display, Working Crown, ...","₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/8/x/-original-imahyxqdvpxymzpm.jpeg?q=70,https://www.flipkart.com/boult-trail-2-01-3d-curved-hd-display-working-crown-190-watch-faces-health-track-smartwatch/p/itm98e4fa5e1caed?pid=SMWHYJMV2EYTYNB4&lid=LSTSMWHYJMV2EYTYNB47URCDC&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_85&otracker=search&fm=organic&iid=44a87da8-9240-489f-804d-3c2796ca6905.SMWHYJMV2EYTYNB4.SEARCH&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,"Smartwatch, Charging Cable, Warranty Card, User Manual",Trail,"Trail 2.01"" 3D Curved HD Display, Working Crown, 190+ Watch Faces, Health Track",,Square,Blue,Stainless steel,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Metal Blue,"Real Heart Rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,,"World Clock, Remote Camera, 190+ Watch Faces with Custom Watch Faces, 2.01 inch Display?, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calories Count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 296 Pixel,51.054 mm,IPS HD,Yes,No,"3D Curved Glass, IPS Screen",Yes,Yes,Yes,No,120+ Workout Modes,Date and Time,No,No,Yes,No,English (Default),"Bluetooth Calling, 2.01inch? with 240 x 296 Display Resolution, Working Crown, Complete Health Monitoring, Female Cycle Tracker, 190+ Cloud Watch Faces with Custom Watch Face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice Assistance, Weather Details, Find My Phone, Remote Camera Option, Other Functions : Alarm Clock, Stopwatch, Timer, DND, Flashlight & More",Yes,Yes,Yes,38.1 mm,48.1 mm,12.9 mm,49.5 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,Raise to Wake,v5.3,,,1,,,,,,,,,,,,,,,,,,,
"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/5/b/-original-imagxp8uezjuygyb.jpeg?q=70,https://www.flipkart.com/noise-icon-3-1-91-display-bluetooth-calling-metallic-finish-voice-assistant-smartwatch/p/itm43e10b5f337ba?pid=SMWGKGRSGCZEGYHR&lid=LSTSMWGKGRSGCZEGYHRY7ZUXU&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_89&otracker=search&fm=organic&iid=44a87da8-9240-489f-804d-3c2796ca6905.SMWGKGRSGCZEGYHR.SEARCH&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon3-std-gld_blk,"Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant",Gold,Rectangle,Black,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Metallic Black,"Heart Rate, SpO2",,Smart Notification,Vibration,,,7 Days,Yes,Magnetic Charger,,,Yes,Yes,,,Yes,Yes,10 m,,240 x 296 pixel,1.91 inch,,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,Polycarbonate,Buckle,Yes,,,,,,,,,,,,,,,,,,,,,,,
"Ambrane Wise Glaze with 1.78"" Amoled display, BT Callin...","₹1,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/r/t/e/-original-imagkpn3g9vzjbru.jpeg?q=70,https://www.flipkart.com/ambrane-wise-glaze-1-78-amoled-display-bt-calling-spo2-heart-rate-monitor-smartwatch/p/itmafa798c8e766a?pid=SMWGK3DYHDX3KCYP&lid=LSTSMWGK3DYHDX3KCYPCCFL19&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_93&otracker=search&fm=organic&iid=44a87da8-9240-489f-804d-3c2796ca6905.SMWGK3DYHDX3KCYP.SEARCH&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,Smartwatch & Charging Cable,Wise Glaze,"Wise Glaze with 1.78"" Amoled display, BT Calling,SPO2 , Heart Rate Monitor",,Square,Blue,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Blue,"Continuous Heart Rate, SpO2 , Sedentary Alert, Drink Water Reminder, Weather Forecast, Voice Assistance, Stopwatch, Alarm Clock, Timer, Flashlight, Find Phone",,,,,,Upto 7 Days,,,,,Yes,Yes,,,,,,,368*448 pixel,45.212 mm,,,,"368*448 AMOLED, 1000 Nits Daylight-Bright Display",,,,,,,,,,,,,,,,,,,,1 Year Brand Warranty,Pls reach us out on care@ambraneindia.com,Manufacturing Defects,,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,IOS 9 & above and Android 6 & above,
"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/l/2/-original-imah6s6ps2qqg67c.jpeg?q=70,https://www.flipkart.com/noise-icon-4-stunning-1-96-amoled-display-metallic-finish-bt-calling-smartwatch/p/itm2300420ac9f28?pid=SMWGWZVPGGTDVZRG&lid=LSTSMWGWZVPGGTDVZRGOCH4NS&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_97&otracker=search&fm=organic&iid=en_Emw6m4myZHhR7sZLlAm2CIqaw55CfK1dvojpdqfQxRZlNXXquhAFwKUoeIHQaEa6iFtqb_hC2KK0XVbgRs1Vtw%3D%3D&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,1 smartwatch,wrb-sw-colorfiticon4-std-gld_blk,"Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling",Gold,Rectangle,Black,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Midnight Gold,"Heart Rate, SpO2",,Yes,,,,Upto 7 days,Yes,,,,Yes,Yes,,,,,10 m,,410 x 502 pixel,49.784 mm,AMOLED,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,,,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,Polycarbonate,Buckle,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Crown Pro 2.01"" AMOLED, BT Calling, Working Crown...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/s/p/-original-imah6zuap3quxyfx.jpeg?q=70,https://www.flipkart.com/boult-crown-pro-2-01-amoled-bt-calling-working-crown-aod-zinc-alloy-frame-spo2-smartwatch/p/itmbc707bd6cd191?pid=SMWH64GEU5EHDKFS&lid=LSTSMWH64GEU5EHDKFSLKWG5V&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_101&otracker=search&fm=organic&iid=en_Emw6m4myZHhR7sZLlAm2CIqaw55CfK1dvojpdqfQxRZBf6EX8W9dlWC2-_O9bUmGJE9CKe0ko61A_U_4xPYJtfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,"Smartwatch, Charging Cable, User Manual, Warranty Card",Crown Pro,"Crown Pro 2.01"" AMOLED, BT Calling, Working Crown, AOD, Zinc Alloy Frame, SpO2",,Square,Black,Stainless steel,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Men & Women,Android & iOS,Midnight Black,"Real Heart rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 5 Days,Yes,Magnetic Charging Cable,,"Remote Camera, 100+ Watch Faces with Custom Watch Faces, 2.1 inch, High Brightness Display, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Stress Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie's Count, AOD",Yes,Yes,No,No,No,No,10 m,"Pick-up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 296 Pixels,51.054 mm,AMOLED,Yes,No,High Brightness,Yes,Yes,Yes,No,120+ Workout Modes,Date and Time,No,No,Yes,No,English,"Bluetooth Calling, 2.1 inch, High Brightness Display with 240 x 296 Display Resolution, AOD, Complete Health Monitoring, Female Cycle Tracker, 100+ Cloud Watch Faces with Custom Watch Face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice Assistance, Weather Details, Find My Phone, Mini Game, Other Functions: Alarm Clock, Stopwatch, Timer, DND, Flashlight & More.",1 Speaker,Yes,Yes,38.7 mm,11.5 mm,46.2 mm,40 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,Zinc Alloy,,Wrist Wake,v5.3,,,2,,,,,,,,,,,,,,,,,,,
Yash Enterprises PulseWave Smart Band Watch T500 T800 M...,₹485,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/k/p/49-t800-ultra-special-edition-smartwatch-with-bluetooth-calling-original-imah5yk2xxnjmgbt.jpeg?q=70,https://www.flipkart.com/yash-enterprises-pulsewave-smart-band-watch-t500-t800-men-bt-call-x8-ultra-smartwatch/p/itm262c81a4bf741?pid=SMWGZ5HKE8HHG2VU&lid=LSTSMWGZ5HKE8HHG2VUXYZUB8&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_105&otracker=search&fm=organic&iid=44a87da8-9240-489f-804d-3c2796ca6905.SMWGZ5HKE8HHG2VU.SEARCH&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,"1 SMART WATCH, 1 USER MANUAL",PulseWave Smart Band T500 T800,PulseWave Smart Band Watch T500 T800 Men BT Call X8 Ultra,,Square,Black,Silicone,Free Size,Yes,Yes,,Watchphone,Men & Women,Android & iOS,Black,"Accelerometer, Gyroscope, Proximity Sensor",,"Calendar Reminder, Missed Call Notification","Ringer, Vibration",Lithium Ion,60 min,3 Days,Yes,Wireless,72 hr,,Yes,Yes,,,Yes,Yes,,"Mute Calls, Reject Calls, Take Calls, Speed Dial",320 x 320 pixel,49 44,AMOLED,Yes,Yes,,Yes,Yes,Yes,Yes,,Date & Time,,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,Aluminium,,,,,,3,,,72 hr,,,,,,,,,,,,,,,,
Fire-Boltt Blizzard 32.5mm (1.28) Luxury watch with BT ...,"₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/l/o/-original-imagq68fk4fsbyhh.jpeg?q=70,https://www.flipkart.com/fire-boltt-blizzard-32-5mm-1-28-luxury-watch-bt-calling-stainless-steel-body-smartwatch/p/itme73b03f70da83?pid=SMWGZH9URFV7FCDH&lid=LSTSMWGZH9URFV7FCDHXFJHSG&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_109&otracker=search&fm=organic&iid=44a87da8-9240-489f-804d-3c2796ca6905.SMWGZH9URFV7FCDH.SEARCH&ppt=None&ppn=None&ssid=ch6ilbnq3k0000001739031518782&qH=87968ec020b2016b,2025-02-08 17:18:49,"Smartwatch, Charging Cable, Manual",BSW087,"Blizzard 32.5mm (1.28) Luxury watch with BT Calling,Stainless Steel Body",Rose Gold,Round,Gold,Stainless steel,Free Size,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical, Watchphone",Women,Android & iOS,Rose Gold,"Bluetooth Calling, Heart rate measurement (whole day heart rate), blood oxygen measurement and sleep monitoring, and upload app to save data synchronously Accelerometer, Barometer, Gyro Sensor, Light Sensor.","Mobile Phones, Smart Phones","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Ring (Only in Bluetooth Calling Mode) and Vibration,Lithium Ion,360 min,Upto 7 Days,Yes,USB Cable With Metalic Charging Points,720 Hr,"1. Fire-Boltt Blizzard Bluetooth Calling Smartwatch with Voice Assistant
2. Round Display : 1.3 inch screen with High Resolution of 240 x 240 Pixels. 
3. Premium Stainless Steel Strap polished by several steps and shaded by vacuum plating. 
4. Classic Folding Clasp. Dual press to take on/off your watch. Keep your watch secure, No falling-off
5.Supports Bluetooth Calling : Make seamless calls through the watch with bluetooth calling function
6. Stainless Steel Build and look to give a luxury feel. Comes with Triple Button Technology
7. 360 Health Control : Heart rate measurement (whole day heart rate), blood oxygen measurement and sleep monitoring
8. Multiple Sports Modes - Enjoy each trek or boating or climbing track all your sports activity on this smart watch
9.Music Player : Control your phone music playing and play the music on the watch
10.Enjoy seamless calling and talking through the watch with latest microphone 
11.Contact Sync : Sync favourite contacts on your watch via your the app
12.Call Logs : Check missed calls and answered calls on the watch
13.Sedentary Reminders : Time to work out, change the unhealthy mode of life
14.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,No,No,No,No,10 m,"Make Calls, Answer Calls, Reject Calls, Speed Dial, Contact Sync",240 x 240 Pixels,1.28 inch,IPS TFT,No,Yes,"1.28"" IPS HD Display with 240*240 pixel resolution",Yes,Yes,Yes,No,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count, Distance Measurement, Multiple Sports Mode",Date & Time,No,No,Yes,Yes,English,"1. Fire-Boltt Blizzard Bluetooth Calling Smartwatch with Voice Assistant
2. Round Display : 1.3 inch screen with High Resolution of 240 x 240 Pixels. 
3. Premium Stainless Steel Strap polished by several steps and shaded by vacuum plating. 
4. Classic Folding Clasp. Dual press to take on/off your watch. Keep your watch secure, No falling-off
5.Supports Bluetooth Calling : Make seamless calls through the watch with bluetooth calling function
6. Stainless Steel Build and look to give a luxury feel. Comes with Triple Button Technology
7. 360 Health Control : Heart rate measurement (whole day heart rate), blood oxygen measurement and sleep monitoring
8. Multiple Sports Modes - Enjoy each trek or boating or climbing track all your sports activity on this smart watch
9.Music Player : Control your phone music playing and play the music on the watch
10.Enjoy seamless calling and talking through the watch with latest microphone 
11.Contact Sync : Sync favourite contacts on your watch via your the app
12.Call Logs : Check missed calls and answered calls on the watch
13.Sedentary Reminders : Time to work out, change the unhealthy mode of life
14.Other Functions : Alarm clock, Stopwatch, Timer, Low Power Mode, DND, Flashlight & more.",Yes,Yes,No,50 mm,13.3 mm,13.8 mm,180 g,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,Physical & Water Damage,1 Year,Zinc alloy+Steel ring,Buckle,,v5.0,Limited Support,Android 4.4 or IOS 8.0 supporting Bluetooth 4.0 Mobile phones with system version and above,3,32.512 mm,,,,,,,Remote Camera Control,Playing Music Through the Watch via the inbuilt speaker,,,,,,,,,,
