Category,Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
Graphics Cards,Dell Nvidia RTX A5000 QN20-E5-A1 Graphics Card For Precision 7760 - 16 GB NJ5ND,$355.00,Dell,16 GB,GDDR6,NVIDIA Quadro RTX A5000,VGA,2025-01-28 17:43:35
Graphics Cards,NVIDIA TESLA K80 24GB GDDR5 PCI EXPRESS 3.0 X16 384-BIT GPU ACCELERATOR HHCJ6,$45.99/ea,Dell,24 GB,GDDR5,NVIDIA Tesla K80,N/A,2025-01-28 17:44:12
Graphics Cards,ASUS ROG STRIX GeForce GTX 1070 Ti A8G GAMING BRAND NEW FANS!,$123.99/ea,ASUS,8 GB,DDR5,NVIDIA GeForce GTX 1070 Ti,"DisplayPort, DVI, HDCP, HDMI",2025-01-28 17:45:56
Graphics Cards,NVIDIA GeForce GTX TITAN XP Star Wars Empire Collector's Edition 12GB GDDR5X GPU,$249.99,NVIDIA,12GB,GDDR5X,NVIDIA GeForce GTX TITAN Xp Galactic Empire,1x HDMI 3x Display Port,2025-01-28 17:45:50
Graphics Cards,ASUS NVIDIA GeForce GTX1080Ti 11GB DDR5X Graphics Card - (TURBO-GTX1080Ti-11G),$266.31,ASUS,11 GB,DDR5,NVIDIA GeForce GTX 1080 Ti,"DisplayPort, DVI, HDMI",2025-01-28 17:45:18
Graphics Cards,Graphics Card Zotac GTX980 AMP Edition 4GB 256BIT GDDR5,$83.48,See Title/Description,N/A,N/A,See Title/Description,N/A,2025-01-28 17:45:17
Graphics Cards,NVIDIA TESLA M40 24GB GPU Professional Computing Graphics Card Deep Learning,$195.00,NVIDIA,12GB,N/A,Nvidia Tesla M40,N/A,2025-01-28 17:42:54
Graphics Cards,PNY Nvidia NVS 810 VCNVS810 8x Mini Display Ports 4GB Graphics Card *READ DESC*,$189.99,PNY,4 GB,N/A,NVIDIA NVS 810,Mini DisplayPort,2025-01-28 17:46:19
Graphics Cards,NVIDIA GeForce GTX TITAN XP Star Wars Empire Collector's Edition 12GB DGGR5X GPU,$249.99,NVIDIA,12GB,N/A,TITAN XP,N/A,2025-01-28 17:43:38
Graphics Cards,"ASUS Phoenix AMD Radeon RX 550 Graphics Card (PCIe 3.0, 4GB GDDR5 Memory, HDMI",US $153.70,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:43:35
Graphics Cards,ASUS GeForce RTX 2070 8GB TURBO TURBO-RTX2070-8G Video Graphics Card GPU,$225.00,ASUS,8 GB,GDDR6,GeForce RTX 2070,"DisplayPort, HDMI",2025-01-28 17:46:12
Graphics Cards,Nvidia TITAN V PG500 900-1G500-2500-000 AJ 12GB 1455MHz PCIe3 x16 GPU Video Card,US $344.73,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:45:58
Graphics Cards,MSI Radeon RX 570 Armor 8GB GDDR5 PCIe Graphics Card GPU (TESTED PLS READ),US $25.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:45:46
Graphics Cards,NEW HP Z2 Mini G5 Nvidia RTX3000 6GB Video Graphics Card  M13733-001 M12604-001,US $189.05,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:32
Graphics Cards,VisionTek AMD Radeon HD 7750 1GB GDDR3 PCle Graphics Card HDMIx2,$35.00/ea,VisionTek,1 GB,GDDR3,AMD Radeon HD 7750,"Mini DisplayPort, HDMI x2",2025-01-28 17:44:29
Graphics Cards,2 in 1 Graphics Card Cooler 1800RPM 5V 3Pin ARGB Solid Graphics Card Cooling Fan,$31.38/ea,Unbranded,N/A,N/A,Other,N/A,2025-01-28 17:46:26
Graphics Cards,NVIDIA QUADRO P620 2GB GDDR5 PCIE Graphics Card 4x Mini DisplayPort,$69.88,HP,2GB,GDDR5,NVIDIA Quadro,DisplayPort,2025-01-28 17:42:53
Graphics Cards,XFX SPEEDSTER QICK319 RADEON RX 6750XT CORE Gaming Graphics Card with 12GB GDDR6,$366.49,XFX,12 GB,GDDR6,AMD RX 6750 XT,"DisplayPort, HDMI",2025-01-28 17:46:16
Graphics Cards,ASUS Dual GeForce RTX 4060 EVO OC Edition 8GB GDDR6 PCIe 4.0 Graphics Card GPU,$319.49,ASUS,8GB,GDDR6,GeForce RTX 4060,"DisplayPort, HDMI",2025-01-28 17:43:32
Graphics Cards,OCuLink External Graphics Card Expansion Dock OCuP4v2 W/ReDriver Signal Chip,$98.30,Unbranded,N/A,N/A,OCuP4,N/A,2025-01-28 17:45:46
Graphics Cards,MSI GT 710 2GD3H LP NVIDIA GEFORCE GT 710 2GB GDDR3 GRAPHICS CARD U5-3(10),$29.96,MSI,N/A,N/A,NVIDIA GeForce GT 710,N/A,2025-01-28 17:44:07
Graphics Cards,AMD RX 6700 XT 12GB GDDR6 Reference Video Graphics Card,$319.99,PowerColor,12 GB,N/A,AMD RX 6700 XT,N/A,2025-01-28 17:45:32
Graphics Cards,"NVIDIA GeForce GT 720 2GB DDR3 (288-5N326-D01A8) Low Profile Graphics Card, Used",$13.96,NVIDIA,2 GB,DDR3,NVIDIA GeForce GT 720,"DVI, HDMI",2025-01-28 17:46:33
Graphics Cards,GIGABYTE AORUS GeForce RTX 3070 MASTER 8‎GB GDDR6 Graphics Card,$289.90,GIGABYTE,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2025-01-28 17:43:08
Graphics Cards,nVidia GeForce 1GB VGA/DVI/HDMI PCI Express x16 Video graphics Card,$65.95,inno3d,1GB,DDR3 SDRAM,Geforce 210,"Composite RCA Input, HDMI Standard Output, DVI Output",2025-01-28 17:46:28
Graphics Cards,EVGA GeForce RTX 2070 8GB GDDR6 Gaming Video Card (08G-P4-3071-RX),$85.00,EVGA,8 GB,GDDR6,NVIDIA GeForce RTX 2070,"DisplayPort, HDMI, USB-C",2025-01-28 17:46:27
Graphics Cards,GEFORCE gtx580 015-p3-1580-ar Video Card PCIe GDDR5 1.5GB MiniHDMI 2*DVI,$20.00/ea,GEFORCE,N/A,N/A,GEFORCE gtx580,N/A,2025-01-28 17:44:12
Graphics Cards,PNY Dual Fan GeForce RTX 2060 Super 8GB - Lightly Used,US $215.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:29
Graphics Cards,Dell NVIDIA Quadro P620 2GB GDDR5 4 Mini DP Low Profile Graphics Card KN802,$38.97,Dell,2 GB,GDDR5,NVIDIA Quadro,Mini DisplayPort,2025-01-28 17:46:36
Graphics Cards,AMD RADEON PRO WX7100 7122B93000G 8GB GDDR5 DP GRAPHICS CARD WX 7100 DELL XFR29,$81.97,AMD,8 GB,GDDR5,AMD Radeon WX7100,DisplayPort,2025-01-28 17:43:39
Graphics Cards,DELL AMD RADEON PRO SSG 16GB HBM2 MINI-DP PCI-EXPRESS 3.0 X16 VIDEO CARD FNVKC,$321.99,Dell,16 GB,HBM2,AMD Radeon Pro SSG,Mini DP,2025-01-28 17:46:19
Graphics Cards,EVGA GeForce GTX 960 2GB SC GAMING 02G-P4-2962-KR Video graphics Desktop Card,US $40.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:28
Graphics Cards,NVIDIA Tesla A100 80GB GPU PCIe Deep Learning AI Computing Graphics Card,"$16,999.00",NVIDIA,N/A,N/A,NVIDIA Tesla A100,N/A,2025-01-28 17:46:33
Graphics Cards,PNY NVIDIA GeForce GTX 980 Founders Edition 4GB GDDR5 3x HDMI 1x DP,$55.66,PNY,4 GB,GDDR5,NVIDIA GeForce GTX 980,"DisplayPort, HDMI",2025-01-28 17:46:11
Graphics Cards,"GIGABYTE Radeon RX 7600 GAMING OC 8G Graphics Card, 3x WINDFORCE Fans 8GB 128-bi",$277.49,GIGABYTE,8 GB,GDDR6,AMD Radeon RX 7600,"DisplayPort, HDMI",2025-01-28 17:43:43
Graphics Cards,NVIDIA Tesla M40 12GB GDDR5 GPU Accelerator for Server (900-2G600-0010-000),$38.79,NVIDIA,12 GB,GDDR5,Tesla M40,N/A,2025-01-28 17:43:43
Graphics Cards,(FOR PARTS) AMD Radeon RX 6600XT PowerColor Fighter 8GB GGDR6,$100.00,PowerColor,8 GB,GDDR6,‎AMD Radeon RX 6600 XT,"DisplayPort, HDMI",2025-01-28 17:43:40
Graphics Cards,ATI Rage XL 8MB PCI VGA Desktop PC Video Graphics Card For Desktop PC Computer,$3.84,GCSUPERMARKET,N/A,N/A,NO,N/A,2025-01-28 17:42:59
Graphics Cards,Nvidia Quadro M6000 24GB GDDR5 GPU PNY Excellent Condition,$265.00,PNY,24 GB,GDDR5,Nvidia Quadro M6000,"DisplayPort, DVI",2025-01-28 17:46:27
Graphics Cards,ASUS ProArt NVIDIA GeForce RTX 4060 ti 16GB GDDR6X Graphics Card,$485.99,ASUS,16 GB,GDDR6X,NVIDIA Geforce RTX 4060 ti,"DisplayPort, HDCP, HDMI",2025-01-28 17:45:50
Graphics Cards,AMD RADEON PRO WX 3100 4GB GDDR5 GPU SKU 9217,$39.94,AMD,4 GB,GDDR5,AMD Radeon Pro WX 3100,N/A,2025-01-28 17:43:34
Graphics Cards,NVIDIA TESLA P100 12GB Passive GPU HBM2 PCI-EXPRESS Display Graphics Card,$230.98,NVIDIA,12 GB,HBM2,TESLA P100 12GB,DisplayPort,2025-01-28 17:43:44
Graphics Cards,"VisionTek ATI Radeon HD3450, 512MB, DMS-59 + 2xDVI-I Connector PCI Graphics Card",US $42.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:46:20
Graphics Cards,XFX AMD RADEON R7 260X 2GB GDDR5 GRAPHIC CARD C6-10(4),US $29.70,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:29
Graphics Cards,PLX Technologies Card F00500536 PCI19050 REVI Soxford Semiconductor w Warranty,$213.81,plx technologies,N/A,N/A,plx technologies F00500536 PCI19050,N/A,2025-01-28 17:43:06
Graphics Cards,Sapphire Nitro+ SE RX 580 8GB Mac Pro EFI boot screen Metal 4K Mojave Monterey,$199.95,SAPPHIRE,8 GB,GDDR5,AMD Radeon RX 580,N/A,2025-01-28 17:45:51
Graphics Cards,DELL/NVIDIA Quadro K4200 256-Bit 4GB GDDR5 2xDP 1xDVI Video Graphics Card 0XX5JN,$81.19,Dell,4 GB,GDDR5,NVIDIA Quadro K4200,"DisplayPort, DVI",2025-01-28 17:43:13
Graphics Cards,Aluminum Alloy Graphics Card GPU Brace Support Video Card Holder Bracket Support,AU $9.26,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:42:52
Graphics Cards,Gigabyte GeForce RTX 3060 WINDFORCE OC 12G GDDR6 Graphics card,$400.00,GIGABYTE,12 GB,GDDR6,NVIDIA GeForce RTX 3060,"DisplayPort, HDMI",2025-01-28 17:44:23
Graphics Cards,HD 4500 4570 Video Card ATI Mobility Radeon VG.M920H 512M M92 216-0728014,$12.55/ea,Unbranded,N/A,N/A,ATI Radeon HD 4550,N/A,2025-01-28 17:43:41
Graphics Cards,PNY NVIDIA Quadro P400 2GB DDR5 Graphic Card - VCQP400V2-PB,$66.88,PNY,2 GB,N/A,AMD,N/A,2025-01-28 17:46:37
Graphics Cards,VisionTek Radeon HD 7750 2GB GDDR5 PCIE Graphics Card - 4x Mini DisplayPort,$56.99,VisionTek,2 GB,GDDR5,AMD Radeon HD 7750,Mini DisplayPort,2025-01-28 17:46:43
Graphics Cards,AMD RADEON HD 7770 2GB GDDR5 GRAPHICS CARD P/N: 7120A001H1G,$39.00,AMD,2 GB,GDDR5,AMD Radeon HD 7770,"DVI-I, DisplayPort, HDMI",2025-01-28 17:45:21
Graphics Cards,Vintage Prolink MVGA-AVGA4VL CL-5428 VESA VLB VGA Video Graphics Card — TESTED!,$39.97,PROLINK Microsystems Corp.,1MB (expandable to 2MB),N/A,CL-GD5428,VGA,2025-01-28 17:45:18
Graphics Cards,EVGA GeForce RTX 3070 FTW3 ULTRA 8GB GDDR6 Graphics Card,$325.00,EVGA,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2025-01-28 17:45:55
Graphics Cards,ATI Radeon HD 2900 XT 512MB 512bit GDDR3 PCIe x16 Graphics Card TeraScale R600,$89.99,ATI,512 MB,GDDR3,ATI Radeon HD 2900XT,"D-Sub, DVI, VGA",2025-01-28 17:46:31
Graphics Cards,4GB Gigabyte WindForce GV-N960WF20C-4GD Graphics card W/Cable  (0960),$38.97,GIGABYTE,4 GB,GDDR5,NVIDIA GeForce GTX 950,"DisplayPort, DVI, HDMI",2025-01-28 17:46:15
Graphics Cards,Nvidia Quadro K4000 3GB GDDR5 2xDisplay Port 1xDVI Graphics Card,US $21.99,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:43:35
Graphics Cards,New Graphics Card GPU Holder Video Card Bracket Support Telescopic Accessories,$3.44/ea,Unbranded,N/A,N/A,Graphics Card GPU Holder,N/A,2025-01-28 17:43:47
Graphics Cards,NVIDIA Tesla M40 PG600 12GB GDDR5 GPU Graphics Server Accelerator,$38.99,NVIDIA,12 GB,GDDR5,Tesla M40,N/A,2025-01-28 17:45:48
Graphics Cards,EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING 8GB GDDR6X Graphics Card,$251.00,EVGA,8 GB,GDDR6X,NVIDIA GeForce RTX 3070 Ti,"DisplayPort, HDCP, HDMI",2025-01-28 17:46:27
Graphics Cards,ZOTAC GeForce GT 730 4GB Half Height Zone Edition Graphics Card,$30.00,ZOTAC,4 GB,DDR3,NVIDIA GeForce GT 730,"DVI, HDCP, HDMI, VGA",2025-01-28 17:46:13
Graphics Cards,NVIDIA Quadro K620 K 620 2GB GDDR3 PCI-E DP DVI Professional Graphics Card,$34.99,Nvidia,2 GB,GDDR3,NVIDIA Quadro K620,"DisplayPort, DVI, HDMI, VGA",2025-01-28 17:45:35
Graphics Cards,AMD Barco MXRT 7600 8GB GDDR5 3D PCIe Quad DP Card,$38.00,Barco,8 GB,GDDR5,AMD FirePro V7100,DisplayPort,2025-01-28 17:46:43
Graphics Cards,ATI FirePro 3D Graphics V7800 2GB GDDR5 PCI-E Graphics Card 109-C07581-00 N0RV8,US $99.94/ea,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:46:44
Graphics Cards,EVGA NVIDIA GeForce GTX 950 2GB GDDR5 Graphics Card #1 Gaming Super Resolution,$88.88,EVGA,2GB,DDR5,NVIDIA GeForce GTX 960,"DisplayPort, DVI, HDMI",2025-01-28 17:43:07
Graphics Cards,New! NVIDIA GTX 650 1GB Desktop Graphics card,US $24.99/ea,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:13
Graphics Cards,Quadro K2100M 2GB DDR5 VGA Graphics Card Second-Hand Video Card with X-Bracket,$45.60,Unbranded,2 GB,DDR5,DDR5,VGA,2025-01-28 17:43:10
Graphics Cards,Matrox Millennium 32MB 64-bit G450 DDR PCI Video Card #7003-0301 Rev.A *DVI+VGA,$31.50/ea,Matrox,32 MB,DDR SDRAM,Matrox G450,"VGA D-Sub Output, DVI Output",2025-01-28 17:46:15
Graphics Cards,MSI Radeon RX 470 MINER 4GB GDDR5 Graphic Card,$44.99,MSI,N/A,N/A,See Item Description,N/A,2025-01-28 17:45:04
Graphics Cards,Galaxy NVIDIA GeForce 9500GT 512MB DDR2 VGA DVI Graphics Card 95TFE8DC1CMM F S/H,$24.99,Galaxy,512 MB,DDR2,NVIDIA GeForce 9500 GT,"DVI-I, D-Sub, VGA, DVI",2025-01-28 17:45:33
Graphics Cards,Amd HD 7450 2GB DDR3 DVI HDMI VGA PCI Graphics card,US $30.38,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:37
Graphics Cards,silent fan for Nvidia Tesla P4 8GB M4 4GB T4 16GB GPU Card graphics,$21.88,NV,N/A,N/A,NVIDIA p4,N/A,2025-01-28 17:45:28
Graphics Cards,"ZOTAC NVIDIA GeForce GTX 670 2GB DDR5 - USED, WORKING",$16.29,ZOTAC,2 GB,GDDR5,NVIDIA GeForce GTX 670,"DisplayPort, DVI, HDMI",2025-01-28 17:44:56
Graphics Cards,AMD Radeon Pro V620 32GB GDDR6 PCI-E 4.0 x16 Video Graphic Card 102-D60301-00,$759.99,AMD,32 GB,GDDR6,AMD Radeon Pro V620,N/A,2025-01-28 17:43:33
Graphics Cards,XFX AMD RADEON R7 260X 2GB GDDR5 GRAPHIC CARD C6-10(4),$29.70,XFX,2 GB,GDDR5,AMD Radeon R7 260X,"DisplayPort, DVI, HDMI",2025-01-28 17:46:21
Graphics Cards,AMD Radeon MS-V346 R7 450 GPU 4GB DDR5 Low Profile Bracket Dual Display Port.,$45.99/ea,Dell,4 GB,GDDR5,AMD Radeon MS-V346 R7,DisplayPort,2025-01-28 17:46:04
Graphics Cards,NEW ATI Rage XL 8MB/8 MB PCI 3D VGA Video Graphics Card,US $14.82,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:46:20
Graphics Cards,"Sapphire Radeon RX 6700 XT 12GB Pulse GPU w/Box | 1yr Warranty, Fast Ship!",$344.97/ea,Sapphire,12 GB,GDDR6,AMD Radeon RX 6700 XT,"DisplayPort, HDMI",2025-01-28 17:46:31
Graphics Cards,"Palit GeForce RTX 3070 8GB JetStream GPU w/Box | 1yr Warranty, Fast Ship!",$319.97/ea,PALIT,8 GB,GDDR6,Nvidia GeForce RTX 3070,"DisplayPort, HDMI",2025-01-28 17:46:21
Graphics Cards,Desktop Graphic Video Card For HP AMD HD 8350 1GB  DDR3  PCI-E x16 716523-001,$44.90,Unbranded,N/A,N/A,For Computer,N/A,2025-01-28 17:44:03
Graphics Cards,ZOTAC GeForce GTX 980 Ti 6GB DDR5 2816 NVIDIA CUDA Core Graphics Card,US $75.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:46:24
Graphics Cards,GTX 780M GTX780M N14E-GTX-A2 4GB DDR5 Video Graphics Card For Clevo Alienware,$109.00,NVIDIA,4 GB,GDDR5,N14E-GTX-A2,N/A,2025-01-28 17:45:49
Graphics Cards,AMD Radeon R5 320 1GB HDMI DP VGA Graphics Card,$23.00,MSI,1 GB,DDR3,AMD Radeon R5 320,"DisplayPort, HDMI, VGA",2025-01-28 17:46:23
Graphics Cards,MSI GeForce GTX 1650 4GB  GDDR5 Low Profile Video Card GTX 1650 4GT LP,$175.99,MSI,4 GB,GDDR5,GTX 1650 4GT LP,"DisplayPort, DVI, HDMI",2025-01-28 17:46:06
Graphics Cards,DELL ATI RADEON HD 5870 1GB GDDR5 VIDEO GRAPHICS CARD,$34.95,ATI,1 GB,GDDR5,ATI Radeon HD 5870,N/A,2025-01-28 17:43:27
Graphics Cards,eMachines EL1300G EL1300 EL1200 SLIM Low Profile Computer Graphics Card,$49.89,Major Brand,N/A,N/A,NVIDIA NVS,DMS-59,2025-01-28 17:46:04
Graphics Cards,DELL/HP NVIDIA Quadro K620 GPU | 2GB DDR3 DVI Graphics Card-Half Height OEM,$18.95,PNY,2 GB,N/A,NVIDIA Quadro K620,N/A,2025-01-28 17:45:43
Graphics Cards,AMD Radeon R7 450 2GB GDDR5 Graphics Card - DisplayPort HDMI DVI,$24.99,AMD,2 GB,GDDR5,AMD Radeon R7 450,"DisplayPort, DVI, DVI-I",2025-01-28 17:43:20
Graphics Cards,MSI GTX980 GAMING 4G Graphics Card GPU Video Card 2370,$173.99,MSI,N/A,N/A,MSI GTX980 GAMING 4G,N/A,2025-01-28 17:43:56
Graphics Cards,SAPPHIRE AMD Radeon RX 7800 XT 16GB GDDR6 Graphics Card,$833.10,SAPPHIRE,16 GB,GDDR6,AMD Radeon RX 7800 XT,"DisplayPort, HDMI",2025-01-28 17:46:43
Graphics Cards,HP Z2 Mini G5 Quadro T2000 4GB GPU Video Graphics Card N19P-Q3-A1 L62510-001,$169.15,HP,4 GB,GDDR6,Nvidia Quadro T2000,N/A,2025-01-28 17:42:57
Graphics Cards,Original amd radon hd7670 4GB ddr5 standalone graphics card game graphics card,$89.99,Unbranded,4 GB,DDR5,amd radon hd7670,DVI,2025-01-28 17:45:45
Graphics Cards,ASUS ATI Radeon 9600 XT  128Mb Retro Graphics Card,$50.00,ASUS,N/A,N/A,ATI Radeon 9600 XT,N/A,2025-01-28 17:43:28
Graphics Cards,ASRock Steel Legend Radeon RX 7600 8GB GDDR6 PCIe 4.0 x8 ATX Video Graphics Card,$272.49,ASRock,8 GB,GDDR6,AMD Radeon RX 7600,"DisplayPort, HDMI",2025-01-28 17:46:10
Graphics Cards,NVIDIA Tesla T4 Turing GPU 16GB GDDR6 Accelerator Card CUDA Graphics Card,$787.00/ea,NVIDIA,N/A,GDDR6,NVIDIA Tesla T4,N/A,2025-01-28 17:46:10
Graphics Cards,NVIDIA Geforce 9600GS Graphics card Initial D6 D7 D8,US $70.56,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:22
Graphics Cards,RGB Acrylic Bracke Backplate for GPU Graphics Card PC Gaming Case LED Light TB41,$7.00,Unbranded,N/A,N/A,Does not apply,Big 4Pin,2025-01-28 17:43:51
Graphics Cards,PNY XLR8 GeForce GTX 1660 SUPER 6GB GDDR6 Overclocked Edition Gaming GPU,$112.50,PNY,6 GB,GDDR6,NVIDIA GeForce GTX 1660,"DisplayPort, DVI, DVI-D, HDMI",2025-01-28 17:46:38
Graphics Cards,"ATI Radeon HD 5770 1GB GDDR5 Graphics Card for Apple Mac Pro A1289 A1186 5,1 4,1",$43.73,ATI,1 GB,GDDR5,ATI Radeon HD 5770,N/A,2025-01-28 17:45:46
Graphics Cards,ASUS Radeon R7 240 2GB DDR3 PCI Express Video Graphics Card GPU R7240-2GD3-L,$25.00/ea,ASUS,2 GB,DDR3,AMD Radeon R7 240,"DVI, HDMI, VGA",2025-01-28 17:45:16
Graphics Cards,"ZEBRONICS- GT730 4GD3, Powered by NVIDIA, 4GB GDDR3 Graphics Memory | 64",$25.30,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,2025-01-28 17:46:36
Graphics Cards,DELL NVIDIA GEFORCE GTX 1050 TI GRAPHICS CARD  4GB GDDR5,$89.00,Dell,4 GB,GDDR5,NVIDIA GeForce GTX 1050 Ti,N/A,2025-01-28 17:45:33
Graphics Cards,NVIDIA Quadro P600 2GB GDDR5 4 Mini DP Low Profile Graphics Card PNY VCQP600,US $28.97,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:37
Graphics Cards,Dell Radeon Pro WX3200 4GB GDDR5 PCIe 4 x Mini Display Port Video Card 0VTR4J FS,$64.99,Dell,4 GB,GDDR5,Radeon Pro WX3200,"DisplayPort, Mini DisplayPort",2025-01-28 17:43:17
Graphics Cards,MSI GeForce RTX 2060 Graphics Card,$200.00,MSI,6 GB,GDDR6,MSI RTX 2060 VENTUS 6G OC,"DisplayPort, HDMI, 3 x DisplayPort 1.4a, 1x HDMI 2.0",2025-01-28 17:43:25
Graphics Cards,GIGABYTE AORUS RTX 3070 MASTER 8GB GDDR6 Graphics Card *READ*,$187.99,GIGABYTE,8 GB,GDDR6,RTX 3070,"DisplayPort, DVI, HDMI",2025-01-28 17:45:48
Graphics Cards,1pcs Video Card Graphics 2048x1536 FX 5500 FX5500 256 MB PCI 3D,$43.21,Unbranded,256MB,N/A,NVIDIA GeForce FX 5200 Ultra,"VGA, DVI Output",2025-01-28 17:44:29
Graphics Cards,MSI Nvidia GeForce GTX 1070 AERO ITX 8GB OC GDDR5 Gaming Video Graphics Card GPU,$119.99,MSI,N/A,N/A,NVIDIA GeForce GTX 1070,N/A,2025-01-28 17:43:14
Graphics Cards,EVGA NVIDIA GeForce GTX 1050 Ti SC GAMING 4GB GDDR5 Graphics Card 04G-P4-6253-KR,$109.99,EVGA,4 GB,GDDR5,NVIDIA GeForce GTX 1050 Ti,"DisplayPort, DVI-D, HDMI",2025-01-28 17:46:09
Graphics Cards,GIGABYTE GeForce RTX 4080 SUPER GAMING OC 16GB GDDR6X Graphics Card,"US $1,099.00",N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:07
Graphics Cards,"ASUS NVIDIA GeForce GTX 1070 DUAL-GTX1070-O8G GDDR5 8GB, FAULTY, NO VIDEO",$40.74,ASUS,8 GB,GDDR5,NVIDIA GeForce GTX 1070,"DisplayPort, DVI, HDMI",2025-01-28 17:43:37
Graphics Cards,Sapphire AMD Radeon R9 270X GDDR5 Desktop Graphics Card 299-2E271,$26.34,SAPPHIRE,2 GB,GDDR5,AMD Radeon R9 270X,"DisplayPort, DVI, HDMI",2025-01-28 17:44:12
Graphics Cards,GIGABYTE GeForce RTX 3070 Ti GAMING OC 8GB GDDR6X Graphics Card,$499.00,GIGABYTE,8 GB,GDDR6X,NVIDIA GeForce RTX 3070 Ti,"DisplayPort, HDMI",2025-01-28 17:44:36
Graphics Cards,GT730-4H-SL-2GD5 ASUS NVIDIA GeForce GT 730 2 GB GDDR5 Graphics Card,$115.99,ASUS,2 GB,GDDR5,NVIDIA GeForce GT 730,N/A,2025-01-28 17:45:52
Graphics Cards,EVGA NVIDIA GeForce GTX 1050 Ti SC GAMING 4GB GDDR5 Graphics Card 04G-P4-6253-KR,$109.99,EVGA,4 GB,GDDR5,NVIDIA GeForce GTX 1050 Ti,"DisplayPort, DVI-D, HDMI",2025-01-28 17:46:45
Graphics Cards,ASUS Dual GeForce RTX 3070 8GB-SI GDDR6 Graphics Card,$369.99,ASUS,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDCP, HDMI",2025-01-28 17:46:05
Graphics Cards,HP 802317-001 AMD RADEON R9 350 2GB GDDR5 2x DP DVI GRAPHICS CARD-MULTIPLE,US $15.00,HP,2 GB,GDDR5,AMD Radeon R9 350,"VGA, DVI",2025-01-28 17:44:51
Graphics Cards,NEW ASUS AGP-V3800 COMBAT 16M NVIDIA Riva TNT2 AGP VIDEO CARD MANUAL CD RM1B302,$38.95/ea,ASUS,16 MB,N/A,NVIDIA Riva TNT2,VGA,2025-01-28 17:46:22
Graphics Cards,"NEW Gaming Nvidia Geforce GT 730 4GB Low profile Graphics card VGA,HDMI&DVI",$61.44,MQX POWER,4GB,DDR3,GeForce GT730,"DVI, HDMI, VGA, DVI, VGA",2025-01-28 17:46:25
Graphics Cards,Palit GeForce GTX 760 2GB DDR5 PCI-E Graphics Card Used Working,$49.31,Palit,2 GB,GDDR5,Palit GeForce GTX 760,HDMI,2025-01-28 17:42:58
Graphics Cards,"HIS IceQ ATI Radeon HD 4670 1GB 128BIT DDR3, PCI Express 2.0 x16 Graphics Card!!",US $29.99,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:45:29
Graphics Cards,NEW GeForce FX 5500 FX5500 256 MB PCI 3D Video Card Graphics 2048x1536,$44.64,Unbranded,256MB,N/A,NVIDIA GeForce FX 5500,"DVI, HDMI, VGA",2025-01-28 17:43:06
Graphics Cards,MSi GeForce GTX 1050 Ti 4GT OC 4GB GDDR5 Graphics Card GTX1050TI4GTOC,$68.00,MSI,4 GB,GDDR5,NVIDIA GeForce GTX 1050 Ti,"HDMI, DisplayPort, DVI-D",2025-01-28 17:45:01
Graphics Cards,HP Nvidia GeForce GTX 1080 8GB GDDR5X Graphics Video Card GPU 910487-003,$135.00,HP,8 GB,GDDR5X,NVIDIA GeForce GTX 1080,"DisplayPort, DVI, HDMI",2025-01-28 17:45:20
Graphics Cards,NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card -...,$445.00,NVIDIA,10 GB,GDDR6X,NVIDIA GeForce RTX 3080,"DisplayPort, HDMI",2025-01-28 17:46:24
Graphics Cards,AGP ATI Radeon 9600XT 128MB DDR DVI/VGA/S-VID Video Card  by SAPPHIRE,$26.60,SAPPHIRE,128 MB,DDR,ATI Radeon 9600 XT,"DVI, S-Video, VGA",2025-01-28 17:43:35
