title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Series,Color,Display,Backlight,Panel Type,Resolution,Screen Resolution Type,Processor,Sales Package,Screen Form Factor,HD Standard,Display Screen Coating,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Power Consumption,Other Power Features,HDMI,VGA,Display Port,USB,Audio Out,Audio In,Other Connectivity Features,Operating Temperature,Non Operating Temperature,Storage Temperature,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,Plug and Play,HDCP Support,System Requirements,Other Features,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,DVI,Audio Jacks,Maximum 3D Refresh Rate,Touch Response Time,Operating Humidity Range,OSD Languages Supported,3D,Part Number
"SAMSUNG ViewFinity S7 68.58 cm (27 inch) 4K Ultra HD IPS Panel with 1.07 billion colors, HDR10, Easy S...","₹20,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/o/w/e/-original-imah5c92xv8kvarb.jpeg?q=70,https://www.flipkart.com/samsung-viewfinity-s7-68-58-cm-27-inch-4k-ultra-hd-ips-panel-1-07-billion-colors-hdr10-easy-setup-multiple-ports-eye-care-technology-monitor-ls27d700eawxxl/p/itm5ecd4c94530ea?pid=MONHF2H9NSHMZ9YC&lid=LSTMONHF2H9NSHMZ9YCBFVVAV&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_206&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONHF2H9NSHMZ9YC.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,LS27D700EAWXXL,ViewFinity S7,Black,68.58 cm (27 inch) LED Backlit Display,,IPS Panel,3840 x 2160 pixels,4K Ultra HD,,"1 Monitor, Power Cable, HDMI Cable, Warranty Card, User Manual",Flat,2160p,,,"60 Hz (Analog), 60 Hz (Digital)",,1000:1,,,5 ms,350 nits (2D),,99%,,,,,,,,Yes,,,,,,AC 100 - 240 V,80 W (Operational),,"Yes, 1",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,
HP 86.36 cm (34 inch) Curved WQHD VA Panel Gaming Monitor (OMEN 34c),"₹52,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/g/j/1/omen-34c-wqhd-34-2023-780k9aa-hp-original-imagrwgzcgbuc7pj.jpeg?q=70,https://www.flipkart.com/hp-86-36-cm-34-inch-curved-wqhd-va-panel-gaming-monitor-omen-34c/p/itmbf637aff74dbd?pid=MONGRV73YQFPHGGV&lid=LSTMONGRV73YQFPHGGVLFV2L5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_207&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONGRV73YQFPHGGV.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,OMEN 34c,,Black,86.36 cm (34 inch) LCD Display,,VA Panel,,WQHD,,"1 Monitor, Display Port Cable, Warranty Card, Quick Setup Poster, AC Power Cord",Curved,,,,"165 Hz (Analog), 165 Hz (Digital)",21:09,,,,1 ms,400 nits (2D),,,,,,,,,,,,,,,,"AC 100 - 240 V, 50/60 Hz",90 W (Operational),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,1 Year,,,,,,,,
"Lenovo D-Series 49.53 cm (19.5 Inch) Full HD TN Panel with Fully Adjustable Tilt Stand, Seamless Conne...","₹6,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/l4x2rgw0/monitor/e/4/b/d20-30-hd-19-5-66e9kac4in-lenovo-original-imagfpguhzfjyaag.jpeg?q=70,https://www.flipkart.com/lenovo-d-series-49-53-cm-19-5-inch-full-hd-tn-panel-fully-adjustable-tilt-stand-seamless-connectivity-hdmi-1-4-vga-tuv-certified-flicker-free-low-blue-light-monitor-d20-30/p/itmecaeaa0127eb3?pid=MONGFZ9RGQHCCUCY&lid=LSTMONGFZ9RGQHCCUCYTIYMST&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_208&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONGFZ9RGQHCCUCY.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,D20-30,D-Series,Raven Black,49.53 cm (19.5 Inch) LCD Display,,TN Panel,1600 x 900 pixels,Full HD,,"1 Monitor, Stand, Power Cable, HDMI Cable, Quick Setup Guide, Warranty Card",Flat,,,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,,170° (2D),160° (2D),5 ms,250 nits (2D),,72%,,Contrast Ratio 1000:1,,,,,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,,,,,,,,,
SAMSUNG A334 55.88 cm (22 inch) Full HD LED Backlit VA Panel Monitor (S22A330 ( Full HD LED Backlit VA...,"₹7,131",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kmqn3bk0/monitor/e/a/z/s22a330-full-hd-led-backlit-va-panel-60-hz-refresh-rate-response-original-imagfkpytt5yauzg.jpeg?q=70,https://www.flipkart.com/samsung-a334-55-88-cm-22-inch-full-hd-led-backlit-va-panel-monitor-s22a330-panel-60-hz-refresh-rate-response-time-6-5-ms-amd-free-sync/p/itmaee3244ae413d?pid=MONGFKPYDHCPBNEW&lid=LSTMONGFKPYDHCPBNEWCTOTNG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_209&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONGFKPYDHCPBNEW.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,"S22A330 ( Full HD LED Backlit VA Panel, 60 Hz Refresh Rate, Response Time 6.5 ms , AMD Free Sync",A334,Black,55.88 cm (22 inch) LED Display,LED Backlit Backlight,VA Panel,"1,920 x 1,080 pixels",Full HD,,"MAIN UNIT, POWER CORD, WARRANTY CARD, HDMI CORD",Flat,1080P,Anti glare,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:9,"3,000:1(Typ), Mega DCR (Dynamic)",178° (2D),178° (2D),6.5 ms,250 nits (2D),0.248 mm,72,,,,,,,,,,,,,,AC 100~240V,18 W (Operational),,"Yes, 1.2 Port",,,,,,,10 - 40° C,10 - 80° C,10 - 40° C,,Simple,-5 Degree to 21 Degree,,75*75 mm,,,,,,,,,,,,,,,,,,3 Years Onsite Warranty,Manufacturing Defects,Physical Damage If Serial No. is Misplace from Packaging Box.,3 Year,,,,,10 - 80 %,,,
ViewSonic 39.62 cm (15.6 Inch) Full HD LED Backlit IPS Panel with AudioVisual Extension for Mobiles & ...,"₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/y/m/4/-original-imah45n2seezqzgy.jpeg?q=70,https://www.flipkart.com/viewsonic-39-62-cm-15-6-inch-full-hd-led-backlit-ips-panel-audiovisual-extension-mobiles-laptops-usb-type-c-port-foldable-stand-pivot-able-display-portable-monitor-va1655/p/itm0608943ffa3a5?pid=MONGHFC4YHBJC2UG&lid=LSTMONGHFC4YHBJC2UGMINST0&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_210&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONGHFC4YHBJC2UG.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,VA1655,,Black,39.62 cm (15.6 Inch) LCD Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, Sleeve Case, 1 m USB Type-C Cable (Male - Male) for Power, 1.5 m Mini HDMI to HDMI Cable (V1.4, Male - Male), Quick Start Guide",Flat,,,16.2 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:9,800:1,"178° (2D), 178° (3D)",178° (2D),7 ms,250 nits (2D),0.179 mm,64% SRGB,,,No,,,,"Yes, 2 Speakers  with 1 W Power Output Per Speaker",Yes,No,Yes,2,,1,DC 5 V/9 V/12 V/15 V/20 V,"7 W (Operational), 0.3 W (Standby)",,"Yes, 1 x HDMI 1.4 Port",No,No,1,Yes,No,,,,,,,,,,,,,No,,Yes,Yes,,,359 mm,227 mm,17 mm,0.7 kg,359 mm,227 mm,17 mm,0.7 kg,3 Years Manufacturer Warranty,Manufacturing Defects Only,Physical Damage,3 Year,No,Audio Out,60 Hz,,,14 Languages,,
LG 19M 46.99 cm (18.5 inches) HD LED Backlit TN Panel Monitor (19M38AB),"₹6,149",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/z/k/a/-original-imagpu2tdgyjnrxu.jpeg?q=70,https://www.flipkart.com/lg-19m-46-99-cm-18-5-inches-hd-led-backlit-tn-panel-monitor-19m38ab/p/itmeuchf5jfmqw8x?pid=MONEUCHFCQUFRSPD&lid=LSTMONEUCHFCQUFRSPDJSK7H7&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_211&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONEUCHFCQUFRSPD.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,19M38AB,19M,Black,46.99 cm (18.5 inches) LED Backlit Display,LED Backlit Backlight,TN Panel,1366 x 768 pixels,HD,N,"LED MONITOR, CD MAUAL, WARRANTY CARD",Flat,LED,,,"60 Hz (Analog), 60 Hz (Digital)",16:09,Mega,,,5 ms,200 nits (2D),,,0 kHz (Digital),,No,,,,No,No,No,No,,,,50/60,"5 W (Operational), 0.3 W (Standby)",Adapter TYPE,"No, 0",Yes,Yes,,No,No,,,,,,,Yes / -5º (front) ~ 20º(rear),,75 x 75 mm,,,,No,,Yes,No,,,,,350 mm,2.1 kg,,57 mm,278.1 mm,1.9 kg,3 Years Onsite Warranty,3,PHYSICAL DAMAGE AND BURN CASE,3 Year,No,,,,,17 Languages,No,
HP 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel Gaming Monitor (X24ih),"₹13,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kt8zb0w0/monitor/b/v/v/x24ih-full-hd-13l82aa-hp-original-imag6nfykbuttn4j.jpeg?q=70,https://www.flipkart.com/hp-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-gaming-monitor-x24ih/p/itm3c32bb6725630?pid=MONG5H2Q7ZME3FC7&lid=LSTMONG5H2Q7ZME3FC79NQA5M&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_212&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONG5H2Q7ZME3FC7.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,X24ih,,Black,60.45 cm (23.8 inch) LED Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, HDMI Cable, Warranty Card, QSP, Product Notice, AC Power Cable",Flat,FHD (1920 x 1080),,,"144 Hz (Analog), 144 Hz (Digital)",16.9,1000:1,,,1 ms,350 nits (2D),,,,,No,,,,No,Yes,No,No,,,,,,,"Yes, 1 x HDMI 2.0 Port",No,Yes,,Yes,,,,,,,,-6 to 23,,,,,,,,,,,"Adjustable Stand, VESA Mountable, Adaptive Sync, On-screen Controls, Low Blue Light Mode, Anti-glare",540.8 mm,489.9 mm,218 mm,6.05 kg,540.8 mm,325.8 mm,52.5 mm,,3 Years Warranty Provided by the Manufacturer from Date of Purchase,Manufacturing Defects,Physical Damages,3 Year,,Audio Out,,,,,,
"LAPCARE 43.43 cm (17.1 inch) HD LED Backlit TN Panel with VGA & HDMI Port, Light Weight, Power Saver, ...","₹2,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/z/w/p/lm18wd-hd-17-2023-lktflm7559-lapcare-original-imagqp5qxktj4wna.jpeg?q=70,https://www.flipkart.com/lapcare-43-43-cm-17-1-inch-hd-led-backlit-tn-panel-vga-hdmi-port-light-weight-power-saver-wall-mountable-slim-monitor-lm18wd/p/itma34a5a53cbea5?pid=MONGQMYGKPKDHJHC&lid=LSTMONGQMYGKPKDHJHCWB8FPY&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_213&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONGQMYGKPKDHJHC.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,LM18WD,,Black,43.43 cm (17.1 inch) LED Display,LED Backlit Backlight,TN Panel,1366 x 768 pixels,HD,,"1 Monitor, Stand, Cable, User Manual, Warranty Card",Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",16:09,,,,5 ms,250 nits (2D),,88%,,,,,,,,,,,,,,AC 100 - 240 V,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,1 Year,,,,,,,,LKTFLM7559
ZEBRONICS 68.58 cm (27 inch) Full HD LED Backlit VA Panel Wall Mountable Slim Gaming Monitor (ZEB A27F...,"₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/d/h/zeb-a27fhd-full-hd-27-2022-zeb-a27fhd-zebronics-original-imahygh9zfggjzag.jpeg?q=70,https://www.flipkart.com/zebronics-68-58-cm-27-inch-full-hd-led-backlit-va-panel-wall-mountable-slim-gaming-monitor-zeb-a27fhd/p/itm9be8026bc74bc?pid=MONHY2MXRVFDAUHQ&lid=LSTMONHY2MXRVFDAUHQVLVZZH&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_214&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONHY2MXRVFDAUHQ.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,ZEB A27FHD,,White,68.58 cm (27 inch) LED Display,LED Backlit Backlight,VA Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, Base, Stem, DP Cable, Power Adapter, Power Cord, User Manual, Warranty Card",Flat,,,,"165 Hz (Analog), 165 Hz (Digital)",16:09,500000:1 (Dynamic),,,12 ms,300 Nits (2D),,,,,,,,,Yes,Yes,,Yes,,,,,,,"Yes, 1",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,,,,,,,,,
LG MK430 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel Monitor (24MK430H),"₹9,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kb2jmvk0/monitor/f/8/2/24mk430h-24mk430h-lg-original-imafsg4tajyeuhfn.jpeg?q=70,https://www.flipkart.com/lg-mk430-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-monitor-24mk430h/p/itm3cbff2de3e664?pid=MONFRQBUJCBVGF82&lid=LSTMONFRQBUJCBVGF82PDYFWW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_215&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONFRQBUJCBVGF82.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,24MK430H,MK430,Black,60.45 cm (23.8 inch) LCD Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, Stand, Power Cable, Connectivity Cable",Flat,,"Anti-glare, 3H",16.7 M Colors,"75 Hz (Analog), 75 Hz (Digital)",16.9,1000:1,178° (2D),,5 ms,250 nits (2D),,NTSC 72% (CIE1931),,"Flicker Safe, Reader Mode, Smart Energy Saving, Super Resolution Plus, Dynamic Action Sync, Black Stabilizer",No,,,,No,Yes,,No,,,,"AC 100 - 240 V, 50/60 Hz","26 W (Operational), 0.3 W (Standby)",,"Yes, 1",Yes,No,,Yes,,,,,,,"Base Detachable, Tilt",Tilt - 5 to 20 Degree,,75 x 75 mm,VESA,,,,,Yes,,,,555 mm,421 mm,181.9 mm,3.1 kg,,330.9 mm,38.4 mm,2.8 kg,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,No,Audio Out,,,,,No,
"SAMSUNG 68.58 cm (27 inch) Curved Full HD VA Panel with 1000R Curvature, Inbuilt Speakers, DP, HDMI, H...","₹16,449",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/f/y/r/ls27c390eawxxl-full-hd-27-ls27c390eawxxl-samsung-original-imagz7zznzex6xpk.jpeg?q=70,https://www.flipkart.com/samsung-68-58-cm-27-inch-curved-full-hd-va-panel-1000r-curvature-inbuilt-speakers-dp-hdmi-headphone-port-bezel-less-design-monitor-ls27c390eawxxl/p/itmc18f8fb44ef6c?pid=MONGZ75ZHHQZWUTF&lid=LSTMONGZ75ZHHQZWUTFZUDMV1&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_216&otracker=search&otracker1=search&fm=organic&iid=5bfcd28c-77d2-4d6e-a76a-0d0e028bcde9.MONGZ75ZHHQZWUTF.SEARCH&ppt=None&ppn=None&ssid=gcfmdc6a740000001739030468703&qH=08b5411f848a2581,2025-02-08 17:01:09,LS27C390EAWXXL,,Black,68.58 cm (27 inch) LED Display,,VA Panel,1920 x 1080 pixels,Full HD,,"1 Unit Monitor, Power Cable, HDMI Cable",Curved,,,,"75 Hz (Analog), 75 Hz (Digital)",16:9,,,,4 ms,250 nits (2D),,,,,,,,,,,,,,,,AC 100 - 240 V,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Domestic Warranty,Manufacturing Defects Only,Physical Damages will Not Covered in Warranty,3 Year,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:01:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:01:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,4.2,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/monitor/1/3/x/legion-r25f-30-full-hd-25-2023-67b8gacbin-lenovo-original-imagybdykfdzzfyq.jpeg?q=90,URL not available,2025-02-08 17:01:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:01:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:02:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),"₹2,469",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/y/p/mon-0065-hd-17-2023-mon-0065-frontech-original-imah8nybhchfkhmy.jpeg?q=70,https://www.flipkart.com/frontech-43-18-cm-17-inch-hd-led-backlit-va-panel-monitor-mon-0065/p/itmbc6d42fed6553?pid=MONGS24EAHXVJZMQ&lid=LSTMONGS24EAHXVJZMQACRRSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_10_217&otracker=search&otracker1=search&fm=organic&iid=en_kj2zPSlXOd6yZljAmDgS_kbl3WcVDV62ZItuDT7BRXwhY6tMUg3QsF_qEfFBwo0ZCqRom06340VzckKR3kW-3w%3D%3D&ppt=None&ppn=None&ssid=86mddhrya80000001739030528238&qH=08b5411f848a2581,2025-02-08 17:02:08,MON-0065,-,Black,43.18 cm (17 inch) LED Display,LED Backlit Backlight,VA Panel,1280x1024 pixels,HD,-,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,1080p,-,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",5:4,"1000000:1, 1000000:1 (Dynamic)",130° (2D),90° (2D),5 ms,250 nits (2D),0.264 mm,sRGB,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",-,-,-,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180 - 255V,18 W (Operational),-,"Yes, 1 x 1.4 Port","Yes, 15 Pin",Yes,0 x 0 Port,No,No,-,-,-,-,-,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,-,No,"Auto, Menu, Up, Down, Power",Yes,No,"Windows 10, Windows 8, Windows 7",-,370 mm,375 mm,370 mm,2.8 kg,200 mm,370 mm,370 mm,2.7 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,,,,,,,,
"DELL S Series 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light t...","₹9,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/n/r/g/-original-imagyr8vrpzzgrac.jpeg?q=70,https://www.flipkart.com/dell-s-series-60-45-cm-23-8-inch-full-hd-ips-panel-3-years-warranty-99-srgb-low-blue-light-technology-hdmi-x2-tilt-adjustment-ultra-thin-bezel-monitor-s2421hnm-s2421hn/p/itm60f8947b5f259?pid=MONGYDFQTN8ZTEHG&lid=LSTMONGYDFQTN8ZTEHGUGWX0A&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_10_218&otracker=search&otracker1=search&fm=organic&iid=en_kj2zPSlXOd6yZljAmDgS_kbl3WcVDV62ZItuDT7BRXzcDa5wLKkOiKwuoDFteLxH5Jhvu4aKkdI0LkNu8K9IvPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=86mddhrya80000001739030528238&qH=08b5411f848a2581,2025-02-08 17:02:08,S2421HNM / S2421HN,S Series,Grey,60.45 cm (23.8 inch) LED Display,,IPS Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, HDMI Cable",Flat,1080p,Anti Glare,,"75 Hz (Analog), 75 Hz (Digital)",16:09,,178° (2D),178° (2D),4 ms,,0.3114 mm,,,,No,,,,No,Yes,,No,,,,,,,"Yes, 2 x HDMI 1.4 Port",,,,,,Audio Line-out,,,,,,,,,,Yes,,No,,No,No,,"LED Edgelight System, 72% NTSC (CIE 1931) Colour Gamut, BFR/PVC-free, Mercury Free, Arsenic-free Glass, Dell Easy Arrange, Dell Comfort View, Low Blue Light Technology, 3-sided Bezel Less",,,,5 kg,,,,6 kg,3 Years Warranty,Manufacturing Defects,Physical Damage,3 Year,,,,,,,,
"LG UltraGear 68.58 cm (27 inch) Quad HD IPS Panel with HDR10, AMD Free Sync Premium Compatible, 3-side...","₹21,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/w/s/u/-original-imagzrvn79r6dm3n.jpeg?q=70,https://www.flipkart.com/lg-ultragear-68-58-cm-27-inch-quad-hd-ips-panel-hdr10-amd-free-sync-premium-compatible-3-side-virtually-borderless-design-gaming-monitor-27gr75q-b-atr/p/itm3f1a3737874da?pid=MONGWEFZYKQV66TZ&lid=LSTMONGWEFZYKQV66TZIEAFSU&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_10_219&otracker=search&otracker1=search&fm=organic&iid=239d78e7-4ec4-4cf9-b57c-f3d26cc58d5c.MONGWEFZYKQV66TZ.SEARCH&ppt=None&ppn=None&ssid=86mddhrya80000001739030528238&qH=08b5411f848a2581,2025-02-08 17:02:08,27GR75Q-B.ATR,UltraGear,Black,68.58 cm (27 inch) LED Display,,IPS Panel,,Quad HD,,"1 Monitor, Power Cord, HDMI Cable, Stand Body, Stand Base, Adapter, User Manual, Warranty Card",Flat,,,,"165 Hz (Analog), 165 Hz (Digital)",16:09,,,,1 ms,240 Nits (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical and Liquid Damages,3 Year,,,,,,,,
