title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Series,Color,Display,Backlight,Panel Type,Resolution,3D,Screen Resolution Type,Processor,Sales Package,Screen Form Factor,HD Standard,Display Screen Coating,Number of Colors,Maximum Refresh Rate,Maximum 3D Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Response Time,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Power Consumption,HDMI,DVI,VGA,Display Port,USB,Audio Out,Audio In,Operating Temperature,Non Operating Temperature,Storage Temperature,Operating Humidity Range,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,OSD Languages Supported,Plug and Play,HDCP Support,System Requirements,Other Features,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Other Connectivity Features,Audio Jacks,Other Power Features,Part Number
"SAMSUNG M8 81.28 cm (32 inch) 4K Ultra HD VA Panel AI Upscaling, Mouse & Keyboard Control, OTT Apps, I...","₹50,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/y/r/e/-original-imahfes3scevwp7k.jpeg?q=70,https://www.flipkart.com/samsung-m8-81-28-cm-32-inch-4k-ultra-hd-va-panel-ai-upscaling-mouse-keyboard-control-ott-apps-iot-office-365-workout-tracker-multiple-ports-speakers-remote-bluetooth-inbuilt-webcam-smart-monitor-ls32dm801uwxxl/p/itma69811b364d8d?pid=MONHF2H9PMYHGGMG&lid=LSTMONHF2H9PMYHGGMGEFRHXA&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_250&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONHF2H9PMYHGGMG.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,LS32DM801UWXXL,M8,Warm White,81.28 cm (32 inch) LED Display,,VA Panel,3840 x 2160 pixels,,4K Ultra HD,,"1 Monitor, Remote Controller, Power Cable, HDMI Cable, Warranty Card, User Manual",Flat,2160p,,,"60 Hz (Analog), 60 Hz (Digital)",,,3000:01:00,,,4 ms,400 nits (2D),,99%,,,,,,,,Yes,No,,Yes,,,,AC 100 - 240 V,140 W (Operational),"Yes, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,
"DELL S Series 68.58 cm (27 inch) Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light tec...","₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/v/t/u/-original-imagysfvjzxaegke.jpeg?q=70,https://www.flipkart.com/dell-s-series-68-58-cm-27-inch-full-hd-ips-panel-5-years-warranty-99-srgb-low-blue-light-technology-hdmi-x2-tilt-adjustment-3-sided-bezel-less-monitor-s2721hnm-s2721hn/p/itme14d367b6a471?pid=MONGYDFQE2JJHNF3&lid=LSTMONGYDFQE2JJHNF3HYP52D&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_251&otracker=search&otracker1=search&fm=organic&iid=en_GViQpmHRVxBS-xd179n97fEn9T9fm8PVJHe55wxWTc_72MFHM9X4SDw4hDBVZCBVn6rH0_ZuDY_cPmmRK-f4bfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,S2721HNM / S2721HN,S Series,Grey,68.58 cm (27 inch) LED Display,,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, HDMI Cable",Flat,1080p,Anti Glare,,"75 Hz (Analog), 75 Hz (Digital)",,,,178° (2D),178° (2D),4 ms,300 nits (2D),0.3114 mm,,,,No,,,,,No,Yes,,No,,,,,,"Yes, 2 x HDMI 1.4 Port",,,,,,,,,,,,,-5 - 21 Degrees,,100 x 100 mm,VESA,Yes,,No,,,No,Yes,,"LED Edgelight System, 72% NTSC (CIE 1931) Colour Gamut, BFR/PVC-free, Mercury Free, Arsenic-free Glass, Dell Easy Arrange, Dell Comfort View, Low Blue Light Technology, 3-sided Bezel Less",,,,6.5 kg,,,,7.6 kg,5 Years Warranty,Manufacturing Defects,Physical Damage,5 Year,Audio Line-out,,,
"ZEBRONICS Pure Pixel 60.96 cm (24 inch) Full HD VA Panel with 250 nits brightness, HDMI, VGA, Ultra Sl...","₹6,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/z/i/6/zeb-ea124-full-hd-24-2024-zeb-ea124-100hz-online-zebronics-original-imahf7v6fvf4w9tr.jpeg?q=70,https://www.flipkart.com/zebronics-pure-pixel-60-96-cm-24-inch-full-hd-va-panel-250-nits-brightness-hdmi-vga-ultra-slim-bezel-built-in-speakers-metal-stand-wall-mountable-monitor-zeb-ea124/p/itmf7d05ad8c20a5?pid=MONHYCUGHEWFHT66&lid=LSTMONHYCUGHEWFHT66HZHNQG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_252&otracker=search&otracker1=search&fm=organic&iid=en_GViQpmHRVxBS-xd179n97fEn9T9fm8PVJHe55wxWTc_KXsmjuNvrwo5lHZiLSedi3RJer_UPJ2rNOU5cUAkSHvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,ZEB-EA124,Pure Pixel,White 1,60.96 cm (24 inch) LED Display,,VA Panel,,,Full HD,,"Monitor - 1 unit, Base - 1 unit, Stem - 1 unit, HDMI cable - 1 unit, Power Adapter - 1 unit, User Manual - 1 unit",Flat,,,,"100 Hz (Analog), 100 Hz (Digital)",100 Hz,,,178° (2D),178° (2D),12 ms,250 nits (2D),0.2745 mm,,,,,12 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540 mm,390 mm,7.4 mm,2.62 kg,,,,,1 year carry into service center,Any manufacturing defect,Any physical or damage accessiors,,,,,
GIGABYTE 60.45 cm (23.8 inch) Full HD Gaming Monitor (G24F-2),"₹12,297",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/j/v/2/g24f-2-full-hd-23-8-9dg24f2-00-1abin-gigabyte-original-imagmf989hq5yz5f.jpeg?q=70,https://www.flipkart.com/gigabyte-60-45-cm-23-8-inch-full-hd-gaming-monitor-g24f-2/p/itm6464efb01f6db?pid=MONGMF99UANEN4QW&lid=LSTMONGMF99UANEN4QWUMFCLI&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_253&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONGMF99UANEN4QW.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,G24F-2,,Black,60.45 cm (23.8 inch) IPS Display,,,,,Full HD,,1,Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",,,,,,1 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 YEAR,MANUFACTURER DEFECT,Physical Damage,,,,,
Lenovo G Series 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel Gaming Monitor (G24-20),"₹11,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kuh9yfk0/monitor/w/f/q/g24-20-full-hd-23-8-66cfgac1in-lenovo-original-imag7h74tqhfy6bm.jpeg?q=70,https://www.flipkart.com/lenovo-g-series-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-gaming-monitor-g24-20/p/itm202a4276268c6?pid=MONG6PCUTYFWAR9M&lid=LSTMONG6PCUTYFWAR9MTTUWBC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_254&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONG6PCUTYFWAR9M.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,G24-20,G Series,Raven Black,60.45 cm (23.8 inch) LCD Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,No,Full HD,,"1 Monitor with Stand, Power Cable (1.8m), DP Cable (1.8m), Quick Setup Guide",Flat,,,16.7 m Colors,"144 Hz (Analog), 165 Hz (Digital)",,16:09,,178° (2D),178° (2D),0.5 ms,350 nits (2D),,99% sRGB,,,,,,,,No,,,No,,,,,,"Yes, 2",,,Yes,,Yes,,,,,,,Tilt,,,100 x 100 mm,VESA,,,,,,,,,,,,,,,,,,3 Years Manufacturer Warranty,"Uninterrupted or Error-free Operation of a Product. Defects in Materials and Workmanship under Normal use During the Warranty Period. On-site Service Support will be Provided at the Customer's Location. Some Repairs may Need to be Completed at a Service Center. If so, the Service Provider will Send the Product to the Service Center at its Expense.","Loss of, or Damage to, your Data by a Product. Any Software Programs, whether Provided with the Product or Installed Subsequently. Failure or Damage Resulting from Misuse, Abuse, Accident, Modification, Unsuitable Physical or Operating Environment, Natural Disasters. Power Surges, Improper Maintenance, or Use Not in Accordance with Product Information Materials. Damage Caused by a Non-authorized Service Provider. Failure of, or Damage Caused by, Any Third Party Products, Including those that Lenovo may Provide or Integrate into the Lenovo Product at your Request. Any Technical or Other Support, Such as Assistance with ""How-to"" Questions and those Regarding Product Set-up and Installation. Products or Parts with an Altered Identification Label or from which the Identification Label has been Removed.",,,Audio Out,,
PHILIPS 54.61 cm (21.5 Inch) Full HD VA Panel Monitor (222V8LA/94 22 inch VA Panel LCD Monitor with Fu...,"₹7,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kwmfqfk0/monitor/z/s/u/222v8la-94-22-inch-va-panel-lcd-monitor-with-full-hd-full-hd-21-original-imag996rae7z7hdm.jpeg?q=70,https://www.flipkart.com/philips-54-61-cm-21-5-inch-full-hd-va-panel-monitor-222v8la-94-22-inch-lcd-hd/p/itm1eef521f90037?pid=MONG978YHDRWJF9R&lid=LSTMONG978YHDRWJF9RICNT8I&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_255&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONG978YHDRWJF9R.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,222V8LA/94 22 inch VA Panel LCD Monitor with Full HD,,Black,54.61 cm (21.5 Inch) LCD Display,,VA Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor Unit, QSG, Stand, Power Cord, HDMI Cable, Base, DP Cable",Flat,,,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",,16:09,,,,4 ms,250 nits (2D),0.2493 mm,sRGB,,,,,,,,"Yes, 2 Speakers  with 2 W Power Output Per Speaker",,,Yes,2,,2,"AC 100 - 240 V, 50/60 Hz","13.3 W (Operational), 0.5 W (Standby)","Yes, HDMI 1.4 Port",,Yes,Yes,,,,,,,,,Tilt,-5 Degree to 20 Degree,,,VESA,,,,,,,,,,540 mm,416 mm,220 mm,2.79 kg,540 mm,322 mm,46 mm,2.4 kg,3 Years Warranty,Manufacturing Defects Only,Physical Damages,3 Year,,,,
MSI 55.88 cm (22 inch) Full HD VA Panel Monitor (PRO MP223),"₹6,791",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/u/x/c/pro-mp223-full-hd-22-2023-pro-mp223-msi-original-imagtnwtz9j3uq3m.jpeg?q=70,https://www.flipkart.com/msi-55-88-cm-22-inch-full-hd-va-panel-monitor-pro-mp223/p/itmc1ecdf066d88d?pid=MONGTNXGZ3ZZAZTV&lid=LSTMONGTNXGZ3ZZAZTV8RSQBG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_256&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONGTNXGZ3ZZAZTV.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,PRO MP223,,Black,55.88 cm (22 inch) LCD Display,,VA Panel,,,Full HD,,"1Monitor, Power cord, Power adapter, Quick start guide, HDMI cable, Warranty Card",Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",,,,,,1 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Domestic Warranty,Manufacturing Defects,Physical Damages,,,,,
Lenovo 68.58 cm (27 inch) Full HD VA Panel with TUV Eye Care Monitor (D27-40/D27-30),"₹7,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/i/u/w/-original-imagrkynyhv7vhzd.jpeg?q=70,https://www.flipkart.com/lenovo-68-58-cm-27-inch-full-hd-va-panel-tuv-eye-care-monitor-d27-40-d27-30/p/itm20eeaca295f0b?pid=MONFXZREMZYTJGNG&lid=LSTMONFXZREMZYTJGNGYRB0VL&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_257&otracker=search&otracker1=search&fm=organic&iid=en_GViQpmHRVxBS-xd179n97fEn9T9fm8PVJHe55wxWTc9koCXywzlxWnDbocCq18CM3mzmw7cAni5k675lWiDjOPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,D27-40/D27-30,,Black,68.58 cm (27 inch) LED Display,,VA Panel,1920 x 1080 pixels,No,Full HD,,"1 Monitor with Stand, Power Cable (1.8m), HDMI Cable (1.8m), User Manual",Flat,1080p,,,"75 Hz (Analog), 75 Hz (Digital)",,16:09,3000:01:00,178° (2D),178° (2D),4 ms,,,72% NTSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,"Accidental Damage, Wear and Tear",3 Year,,,,
"DELL 68.58 cm (27 inch) Full HD IPS Panel Anti-Glare With 3H Hardness, Gray-To-Gray (Fast mode), Ports...","₹16,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/i/n/f/-original-imahfefd3asnh3zs.jpeg?q=70,https://www.flipkart.com/dell-68-58-cm-27-inch-full-hd-ips-panel-anti-glare-3h-hardness-gray-to-gray-fast-mode-ports-1x-hdmi-1x-dp-1-2-1x-vga-5x-usb-3-2-gen1-tilt-swivel-pivot-height-adjustment-monitor-p2725h/p/itmdf71a116e8141?pid=MONHYTHJZDGMPHYQ&lid=LSTMONHYTHJZDGMPHYQJWTDG9&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_258&otracker=search&otracker1=search&fm=organic&iid=en_GViQpmHRVxBS-xd179n97fEn9T9fm8PVJHe55wxWTc85WVHNIBjMXXVt7cuJYlvK8ECw_MO1fjYj8IrM-HWt1fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,P2725H,,Black,68.58 cm (27 inch) LED Display,,IPS Panel,,,Full HD,,"1 Monitor, Stand Riser, Stand Base, Quick Setup Guide Safety, Environmental and Regulatory Information, Factory Calibration Report, Power Cable, Display Port Cable 1.8 m, USB Type-C to USB Type-C Gen 2 Cable 1 m, USB Type-A to USB Type-C Gen 2 Cable 1 m",Flat,1080p,,,"100 Hz (Analog), 100 Hz (Digital)",,16:09,,178° (2D),178° (2D),5 ms,300 nits (2D),,,,,No,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Years Warranty,Manufacturing Defects,Physical Damages,5 Year,,,,
"LG Ultra-Gear 68.58 cm (27 Inches) Full HD LED Backlit IPS Panel with Height Adjustable Stand, HDR 10,...","₹22,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/l5fnhjk0/monitor/9/f/y/27gp750-b-atr-full-hd-27-8806091508317-lg-original-imagg46xuetrw9nc.jpeg?q=70,https://www.flipkart.com/lg-ultra-gear-68-58-cm-27-inches-full-hd-led-backlit-ips-panel-height-adjustable-stand-hdr-10-dual-sync-compatible-3-side-virtually-borderless-display-gaming-monitor-27gp750-b-atr/p/itmbf1fc3e43cb92?pid=MONGGYGF3CBDBTXV&lid=LSTMONGGYGF3CBDBTXV4RENCG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_259&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONGGYGF3CBDBTXV.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,27GP750-B.ATR,Ultra-Gear,Black,68.58 cm (27 Inches) LCD Display,LED Backlit Backlight,IPS Panel,1920 X 1080 pixels,,Full HD,,"?1 Monitor, Power Cord, Cable",Flat,,,,"240 Hz (Analog), 240 Hz (Digital)",,16:09,1000:01:00,178° (2D),,1 ms,400 nits (2D),,sRGB,,,,,,,,No,,,No,,,,"AC 100 - 240 V, 50/60 Hz","48 W (Operational), 0.5 W (Standby)","Yes, 2",,,,,Yes,,,,,,,,,,,,,,,,,,,,,614.2 mm,575.9 mm,291.2 mm,6 kg,,,,,3 Years Domestic Warranty,Manufacturing Defects,Physical Damages,,,Audio Out,,
ZEBRONICS 68.58 cm (27 inch) Full HD VA Panel Wall Mountable Monitor (ZEB-A27FHD Ultra slim LED monito...,"₹8,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/9/q/a/zeb-a27fhd-ultra-slim-led-monitor-with-68-5cm-75hz-refresh-rate-original-imagydzmudhazgzj.jpeg?q=70,https://www.flipkart.com/zebronics-68-58-cm-27-inch-full-hd-va-panel-wall-mountable-monitor-zeb-a27fhd-ultra-slim-led-68-5cm-75hz-refresh-rate/p/itm6a5a2e9ae99a6?pid=MONGDYVV2VNSQ7KZ&lid=LSTMONGDYVV2VNSQ7KZ0JDZFM&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_260&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONGDYVV2VNSQ7KZ.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,"ZEB-A27FHD Ultra slim LED monitor with 68.5cm,75Hz refresh rate",,White,68.58 cm (27 inch) LED Display,,VA Panel,1920x1080 pixels,No,Full HD,,Monitor-1 unit,Flat,,,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",,16:09,500000:1 (Dynamic),178° (2D),178° (2D),12 ms,250 nits (2D),0.3114 mm,,,,,,,,,Yes,No,No,Yes,,,,,35 W (Standby),No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,615 mm,440 mm,8 mm,3.5 kg,,,,,Three year carry into service centre,Manufacturing defect,Any physical damage or accessories,3 Year,,,,
BenQ GW 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel Ultra-Slim Bezel Monitor- Height Adjustment...,"₹9,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/5/o/z/-original-imagwcddfxyey3gr.jpeg?q=70,https://www.flipkart.com/benq-gw-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-ultra-slim-bezel-monitor-height-adjustment-eye-care-anti-glare-brightness-intelligence-1wx2-speakers-color-weakness-mode-hdmi-dp-vga-monitor-gw2480t/p/itm51e878142e2cb?pid=MONFUXPNAZMQBG57&lid=LSTMONFUXPNAZMQBG577MCIJL&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_261&otracker=search&otracker1=search&fm=organic&iid=en_GViQpmHRVxBS-xd179n97fEn9T9fm8PVJHe55wxWTc82IBRS7A5e6fApaeKY8LvYGFbuvxYun511SuwqkRkTY_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,GW2480T,GW,Black,60.45 cm (23.8 inch) LED Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,No,Full HD,,"1 Monitor, Power Cable (1.5m), HDMI Signal Cable, CD, User Manual and Quick User Guide",Flat,1080p,Anti Glare,16.7 M Colors,"60 Hz (Analog), 60 Hz (Digital)",,16:09,"1000:01:00, 20000000:1 (Dynamic)","178° (2D), 178° (3D)",178° (2D),5 ms,"250 Nits (2D), 250 nits (3D)",0.274 mm,72% NTSC,,,No,,,,,"Yes, 2 Speakers  with 1 W Power Output Per Speaker",Yes,No,Yes,2,,1,"AC 100 - 240 V, 50 Hz","27 W (Operational), 0.5 W (Standby)","Yes, 1 x HDMI 1.4 Port",No,Yes,Yes,0,No,No,0 - 40° C,,,,,Height Adjustable Stand,-5 to 20 Degrees,-45 to 45 Degrees,100 x 100 mm,VESA,Kensington Lock,,No,,,Yes,Yes,"Windows 7, Windows 8, Windows 8.1, Windows 10",,540 mm,528 mm,230 mm,5.7 kg,540 mm,340 mm,50 mm,3 Kg,39 Months from the Date of Manufacturing or 36 Months from the Date of Invoice (POP) whichever is Earlier,Manufacturing Defects,Physical Damage,36 Months,DisplayPort (v1.2),,,
"LG Ultra Fine Monitor 68.58 cm (27 inch) 4K Ultra HD LED Backlit IPS Panel with VESA DisplayHDR 400, E...","₹23,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/9/t/o/-original-imagpu2tkw7svfaf.jpeg?q=70,https://www.flipkart.com/lg-ultra-fine-monitor-68-58-cm-27-inch-4k-hd-led-backlit-ips-panel-vesa-displayhdr-400-ergonomic-stand-3-side-virtually-borderless-design-27up650-w-atr/p/itmbb5872cbda414?pid=MONGHQ6ZBZGQEE5A&lid=LSTMONGHQ6ZBZGQEE5AD48HIE&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_262&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONGHQ6ZBZGQEE5A.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,27UP650-W.ATR,Ultra Fine Monitor,White,68.58 cm (27 inch) LCD Display,LED Backlit Backlight,IPS Panel,3840 x 2160 pixels,,4K Ultra HD,,"1 Monitor, Power Cord, Cable",Flat,,Anti-glare,,"60 Hz (Analog), 60 Hz (Digital)",,16:09,,178° (2D),178° (2D),5 ms,400 Nits (2D),,95%,,,,,,,,,Yes,,,,,,"AC 100 - 240 V, 50/60 Hz",0.3 W (Standby),"Yes, 2",,,,,Yes,,,,,,,,,,100 x 100 mm,,,,,,,,,,,61.35 cm,,23.93 cm,5.6 kg,,36.35 cm,,3.8 kg,3 Years Warranty On Parts and Labor,Manufacturing Defects,Physical Damages,3 Year,,Audio Out,,
DELL 68.58 cm (27 inch) Quad HD LED Backlit IPS Panel Monitor (27 QHD Monitor - SE2723DS),"₹22,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/l/d/k/27-qhd-monitor-se2723ds-quad-hd-27-56x10-dell-original-imaghmefpfzzgzwm.jpeg?q=70,https://www.flipkart.com/dell-68-58-cm-27-inch-quad-hd-led-backlit-ips-panel-monitor-qhd-se2723ds/p/itm295bbff8f71af?pid=MONGHGZYRZ4F3F2Z&lid=LSTMONGHGZYRZ4F3F2ZDF0JQR&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_11_263&otracker=search&otracker1=search&fm=organic&iid=a6163fd3-746e-4b86-b26f-5be83bedfdb5.MONGHGZYRZ4F3F2Z.SEARCH&ppt=None&ppn=None&ssid=be3p7s9u800000001738686054840&qH=08b5411f848a2581,2/5/2025 17:11,27 QHD Monitor - SE2723DS,,Black,68.58 cm (27 inch) LCD Display,LED Backlit Backlight,IPS Panel,2560 x 1440 pixels,No,Quad HD,,"1 Monitor, HDMI 1.4 Cable",Flat,1440p,Anti-glare,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",,,1000:01:00,178° (2D),178° (2D),4 ms,350 nits (2D),,"sRGB, 99%",,,,,,,,No,,,No,,,,"AC 120 - 230 V, 50/60 Hz",20 W (Operational),"Yes, 2",,No,Yes,,Yes,,,,,,,Tilt,-5 to 21 Degree,,100 x 100 mm,VESA,,,No,,,,,,"LED Edgelight System, 3-sided Bezeless, Dell Comfort View Plus",,,,,,,,,3 Years Domestic Warranty,"This Limited Hardware Warranty Covers Defects in Materials and Workmanship in Your Dell-branded Hardware Products, Including Dell-branded Peripheral Products.","""This Limited Hardware Warranty Does Not Cover Software, Including without Limitation, the Operating System and Software Added to the Dell-Branded Hardware Products through Our Factory-integration System, Third Party Software or the Reloading of Software Non Dell-branded Products and Accessories Problems that Result, Directly or Indirectly, from External Causes Such as Accident, Abuse, Misuse or Problems with Electrical Power. Servicing Not Authorized by Dell. Usage that is Not in Accordance with Product Instructions. Failure to Follow the Product Instructions or Failure to Perform Preventive Maintenance. Using Accessories, Parts or Components Not Supplied by Dell. Commercial Hardware Products that Use, Or in which Have Been Installed, Products or Components that Have Not been Provided by Dell. Products with Missing or Altered Service Tags or Serial Numbers Products for which Dell has Not Received Payment Normal Wear and Tear""",3 Year,,Audio Out,,
