title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Color,Display,Panel Type,Screen Resolution Type,Sales Package,Screen Form Factor,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Color Gamut,Power Requirement,HDMI,Display Port,HDCP Support,System Requirements,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Backlight,Resolution,HD Standard,Contrast Ratio,Pixel Pitch,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Power Consumption,VGA,Other Mounting Features,Plug and Play,Other Features,Width With Stand,Height With Stand,Depth With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Series,3D,Processor,Display Screen Coating,Maximum 3D Refresh Rate,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Response Time,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Number of Speakers,Other Audio Features,Power Output Per Speaker,DVI,USB,Audio Out,Audio In,Operating Temperature,Non Operating Temperature,Storage Temperature,Operating Humidity Range,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Inbuilt Webcam,Controls,OSD Languages Supported,Weight With Stand,Weight Without Stand,Other Power Features,Other Connectivity Features,Audio Jacks,Part Number
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,"₹6,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/ko8xtow0/monitor/t/a/y/d24-20-66aekac1in-lenovo-original-imag2qwzazcdmqtb.jpeg?q=70,https://www.flipkart.com/lenovo-60-45-cm-23-8-inch-full-hd-va-panel-3-side-near-edgeless-tuv-eye-care-monitor-d24-20-d24-40/p/itm7a2d267d21c3f?pid=MONFV5HRNF4QFVG4&lid=LSTMONFV5HRNF4QFVG4ATFEMN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_8_187&otracker=search&otracker1=search&fm=organic&iid=en_N4-TW11TUOyd7ll3iLY5PcR1EcBgTfiijgMMSiJ8aNYqU1fgdkRISJYA25UxL8SKd-Rx-deHLRgMiULbgWFYYPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=w977t7lh340000001738368091533&qH=08b5411f848a2581,2025-02-01 01:01:32,D24-20/D24-40,Black,60.45 cm (23.8 inch) LED Display,VA Panel,Full HD,"1 Monitor, Power Cable, HDMI Cable,Quick Setup Guide",Flat,,"75 Hz (Analog), 75 Hz (Digital)",,,,4 ms,,,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damage,3 Year,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),"₹2,469",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/y/p/mon-0065-hd-17-2023-mon-0065-frontech-original-imah8nybhchfkhmy.jpeg?q=70,https://www.flipkart.com/frontech-43-18-cm-17-inch-hd-led-backlit-va-panel-monitor-mon-0065/p/itmbc6d42fed6553?pid=MONGS24EAHXVJZMQ&lid=LSTMONGS24EAHXVJZMQACRRSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_8_188&otracker=search&otracker1=search&fm=organic&iid=en_N4-TW11TUOyd7ll3iLY5PcR1EcBgTfiijgMMSiJ8aNaChQWp8VCWouv39Ka8K2b2xD-P07BnOa7kTnNNMAUnWQ%3D%3D&ppt=None&ppn=None&ssid=w977t7lh340000001738368091533&qH=08b5411f848a2581,2025-02-01 01:01:32,MON-0065,Black,43.18 cm (17 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",5:4,130° (2D),90° (2D),5 ms,250 nits (2D),sRGB,AC 180 - 255V,"Yes, 1 x 1.4 Port",Yes,No,"Windows 10, Windows 8, Windows 7",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1280x1024 pixels,1080p,"1000000:1, 1000000:1 (Dynamic)",0.264 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,18 W (Operational),"Yes, 15 Pin",-,Yes,-,370 mm,375 mm,370 mm,200 mm,370 mm,370 mm,-,,-,-,,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",,-,-,-,0,NA,0,,0 x 0 Port,No,No,-,-,-,,-,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,No,"Auto, Menu, Up, Down, Power",,2.8 kg,2.7 kg,-,-,,
Enter 55.88 cm (22 inch) HD Monitor (E-MO-A03),"₹3,320",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kuef2q80/monitor/f/n/p/19-inch-hd-led-backlit-gaming-monitor-e-mo-a01-response-time-5-original-imag7gf4scunyzgq.jpeg?q=70,https://www.flipkart.com/enter-55-88-cm-22-inch-hd-monitor-e-mo-a03/p/itm34e2f32a3a3f2?pid=MONGAGTWCSXYZGZF&lid=LSTMONGAGTWCSXYZGZF03RJ1R&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_8_189&otracker=search&otracker1=search&fm=organic&iid=670e270c-f02e-423e-a110-604a2095c5ef.MONGAGTWCSXYZGZF.SEARCH&ppt=None&ppn=None&ssid=w977t7lh340000001738368091533&qH=08b5411f848a2581,2025-02-01 01:01:32,E-MO-A03,Black,55.88 cm (22 inch) LED Display,,HD,"1 LED MONITOR, 1 POWER CABLE, 1 HDMI CABLE, 1 LED STAND, USER MANUAL",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",,140° (2D),110° (2D),5 ms,250 nits (2D),,"AC 180-255V 1.0A, 50/60Hz","Yes, 1",,,,"1 Year, by Brand",manufacturing defcet,physical damage & burnt,1 Year,,1680X1050 pixels,1680X1050,,0.2835 mm,,,,,,Yes,,Yes,,,,,,,,,,,,,,,No,,,,,,,,,,,,0 - 50° C,,-20 - 60° C,20 - 60 %,,,,,,,,,,,,,,,,
Enter 46.99 cm (18.5 inch) HD LED Backlit Monitor (E-M0-A03),"₹2,560",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/k34rki80/monitor/t/f/c/e-m18he-e-m18he-enter-original-imafmcydzkmwsh6h.jpeg?q=70,https://www.flipkart.com/enter-46-99-cm-18-5-inch-hd-led-backlit-monitor-e-m0-a03/p/itm34e2f32a3a3f2?pid=MONFMBVGW7F2YTFC&lid=LSTMONFMBVGW7F2YTFC6XQQZY&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_8_190&otracker=search&otracker1=search&fm=organic&iid=670e270c-f02e-423e-a110-604a2095c5ef.MONFMBVGW7F2YTFC.SEARCH&ppt=None&ppn=None&ssid=w977t7lh340000001738368091533&qH=08b5411f848a2581,2025-02-01 01:01:32,E-M0-A03,Black,46.99 cm (18.5 inch) LED Display,,HD,"1 LED MONITOR, 1 POWER CABLE, 1 HDMI CABLE, 1 LED STAND, USER MANUAL",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",,130° (2D),110° (2D),5 ms,,,AC 185~255V 1.0A II50/60Hz,Yes,,,,"1 YEAR, By BRAND","DEFECTIVE, NOT WORKING","DAMAGE, BROKEN AND BURNT",1 Year,LED Backlit Backlight,,,,,,,,,,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 60.96 cm (24 inch) Curved Full HD VA Panel with 1800R, HDMI, Audio Ports, HDMI, Flicker Free S...","₹7,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/t/s/t/ls24c360eawxxl-full-hd-24-2023-ls24c360eawxxl-samsung-original-imagqfu5qfcbszxk.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-curved-full-hd-va-panel-1800r-hdmi-audio-ports-flicker-free-slim-design-monitor-ls24c360eawxxl/p/itm11e7db316afa3?pid=MONGPWDYQB4JJMAY&lid=LSTMONGPWDYQB4JJMAYXAPSO5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_8_191&otracker=search&otracker1=search&fm=organic&iid=en_N4-TW11TUOyd7ll3iLY5PcR1EcBgTfiijgMMSiJ8aNaAk2bngqgaqiEKwB8o6-Yy-hXKnKuu64TtfvP65hiLWKV8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=w977t7lh340000001738368091533&qH=08b5411f848a2581,2025-02-01 01:01:32,LS24C360EAWXXL,Black,60.96 cm (24 inch) LED Backlit Display,VA Panel,Full HD,"1 Monitor, Power Cable, HDMI Cable",Curved,,"75 Hz (Analog), 75 Hz (Digital)",16:09,,,4 ms,200 nits (2D),,AC 100 - 240 V,Yes,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer 68.58 cm (27 inch) 4K Ultra HD LED Backlit IPS Panel Monitor (CB272K-PD),"₹24,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/f/g/cb272k-pd-4k-ultra-hd-27-2024-um-hb2si-003-acer-original-imah5hf9ahauh3hj.jpeg?q=70,https://www.flipkart.com/acer-68-58-cm-27-inch-4k-ultra-hd-led-backlit-ips-panel-monitor-cb272k-pd/p/itm712d0b3541838?pid=MONH5HFAX7YWE7QF&lid=LSTMONH5HFAX7YWE7QFPEF7UV&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_8_192&otracker=search&otracker1=search&fm=organic&iid=en_N4-TW11TUOyd7ll3iLY5PcR1EcBgTfiijgMMSiJ8aNYM9q_RMATChSoHQzgkCtoeplAgUM08umrWSOmBlKIzww%3D%3D&ppt=None&ppn=None&ssid=w977t7lh340000001738368091533&qH=08b5411f848a2581,2025-02-01 01:01:32,CB272K-PD,Black,68.58 cm (27 inch) LCD Display,IPS Panel,4K Ultra HD,"Monitor, stand, power cord, manual, Type C Cable, HDMI Cable",Flat,,"60 Hz (Analog), 60 Hz (Digital)",16:9,178° (2D),178° (2D),4 ms,350 nits (2D),,,Yes,Yes,,,3 years manufacturer warranty,Manufacturing defect only,Physical Damages,,LED Backlit Backlight,4K UHD 2160p pixels,,,,"Yes, 2 Speakers  with 2 W Power Output Per Speaker",,,Yes,,,,,,,,,,,,,No,,,,,,No,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,"1xType C PD 90W, 1xHDMI(2.0), 1xDisplay(1.2) Port with Inbox HDMI & Type C Cables I Audio Out I Integrated 2W x 2 Stereo Speakers.",,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:01:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:01:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,4.5,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/monitor/2/f/t/27gq50f-b-atrq-full-hd-27-8806091661210-lg-electronics-original-imaghbd8jyg4ey9a.jpeg?q=90,URL not available,2025-02-01 01:01:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:01:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:03:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG QHD Monitor 60.96 cm (24 inch) Quad HD LED Backlit IPS Panel Monitor (24QP550-BB.ATRDMSN),"₹14,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/o/g/h/-original-imagz2avnwfgrqvm.jpeg?q=70,https://www.flipkart.com/lg-qhd-monitor-60-96-cm-24-inch-quad-hd-led-backlit-ips-panel-24qp550-bb-atrdmsn/p/itm394beef1d7c6e?pid=MONGHQ6ZG2VTB96M&lid=LSTMONGHQ6ZG2VTB96MJSXPUJ&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_193&otracker=search&otracker1=search&fm=organic&iid=af0d181b-e411-432a-9d19-2388c4d494b8.MONGHQ6ZG2VTB96M.SEARCH&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,24QP550-BB.ATRDMSN,Black,60.96 cm (24 inch) LCD Display,IPS Panel,Quad HD,"1 Monitor, Power Cord, Cable",Flat,,"75 Hz (Analog), 75 Hz (Digital)",16:9,178° (2D),178° (2D),5 ms,300 Nits (2D),"sRGB, 99%","AC 100 - 240 V, 50/60 Hz","Yes, 2",,,,3 Years Warranty On Parts and Labor,Manufacturing Defects,Physical Damages,3 Year,LED Backlit Backlight,2560 x 1440 pixels,,,,,Yes,,,0.3 W (Standby),,,,,54.01 cm,,24 cm,,32.11 cm,,QHD Monitor,,,Anti-glare,,,,,,,,,,,,,,Yes,,,,,,,,,,100 x 100 mm,,,,,,5.5 kg,3.4 kg,,,Audio Out,
"Prizor 48.26 cm (19 inch) HD+ IPS Panel Monitor (Full HD Monitor, Inbuilt Speaker, 4K Resolution Suppo...","₹4,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/t/i/c/48-26cm-19-inch-full-hd-monitor-inbuilt-speaker-4k-resolution-original-imah6bczdzybd9ys.jpeg?q=70,https://www.flipkart.com/prizor-48-26-cm-19-inch-hd-ips-panel-monitor-full-hd-monitor-inbuilt-speaker-4k-resolution-supported/p/itmcc32edc5576df?pid=MONH5HMW6BQZSGZA&lid=LSTMONH5HMW6BQZSGZAM6PDVO&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_194&otracker=search&otracker1=search&fm=organic&iid=af0d181b-e411-432a-9d19-2388c4d494b8.MONH5HMW6BQZSGZA.SEARCH&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,"Full HD Monitor, Inbuilt Speaker, 4K Resolution Supported",Black,48.26 cm (19 inch) Multitouch Screen Display Display,IPS Panel,HD+,1 monitor,Flat,,"75 Hz (Analog), 75 Hz (Digital)",,,,4 ms,,,,,,,,,,,0 Year,,,,,,,,,,,,,,Good quality,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG 48.26 cm (19 inch) HD VA Panel Monitor (LS19A330NHWXXL),"₹6,500",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/e/x/t/ls22a33anhwxxl-full-hd-22-ls22a33anhwxxl-samsung-original-imagk9whgxmmhqqz.jpeg?q=70,https://www.flipkart.com/samsung-48-26-cm-19-inch-hd-va-panel-monitor-ls19a330nhwxxl/p/itmaee3244ae413d?pid=MONGK9X2HV679ENM&lid=LSTMONGK9X2HV679ENMMDOL2E&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_195&otracker=search&otracker1=search&fm=organic&iid=af0d181b-e411-432a-9d19-2388c4d494b8.MONGK9X2HV679ENM.SEARCH&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,LS19A330NHWXXL,Black,48.26 cm (19 inch) IPS Display Display,VA Panel,HD,"1 LED Monitor, Manual Cable, Adapter, Stand",Flat,,"60 Hz (Analog), 60 Hz (Digital)",,,,6 ms,,,,Yes,No,,,3 Years Warranty on Product From Manufacturer,"Defect Arising Out of Faulty, Defective Material or Workmanship are Covered in Warranty","Warranty does not Cover Any External Accessories (Such as Battery, Cable, Carrying Bag), Damage Caused to the Product Due to Improper Installation by Customer, Normal Wear and Tear to Magnetic Heads, Audio, Video, Laser Pick-ups and TV Picture Tubes, Panel, Damages Caused to the Product by Accident, Lightening, Ingress of Water, Fire, Dropping or Excessive Shock, Any Damage Caused Due to Tampering of the Product by an Unauthorised Agent, Liability for Loss of Data, Recorded Images or Business Opportunity Loss",3 Year,,,,,,No,No,No,No,,"Yes, D-SUB",,,,,,,,,,,No,,,,,,No,,,,,,,,No,,No,No,,,,,,,,,,,,,,,,,,,,
"Lenovo R-Series 63.5 cm (25 inch) Full HD IPS Panel with 99%sRGB, 90% DCI-P3, 3Wx2 Built-in Speakers, ...","₹13,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/e/r/g/-original-imahftaabx9tzp6q.jpeg?q=70,https://www.flipkart.com/lenovo-r-series-63-5-cm-25-inch-full-hd-ips-panel-99-srgb-90-dci-p3-3wx2-built-in-speakers-2xhdmi-2-1-1xdp-tilt-swivel-pivot-height-adjustable-stand-gaming-monitor-legion-r25i-30/p/itm8074db3be8608?pid=MONHFAHHKGQCHJAX&lid=LSTMONHFAHHKGQCHJAXNYG921&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_196&otracker=search&otracker1=search&fm=organic&iid=af0d181b-e411-432a-9d19-2388c4d494b8.MONHFAHHKGQCHJAX.SEARCH&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,Legion R25i-30,Raven Black,63.5 cm (25 inch) LED Display,IPS Panel,Full HD,"Monitor, Power Cable, DP Cable, Warranty Booklet",Flat,,"180 Hz (Analog), 180 Hz (Digital)",,178° (3D),,0.5 ms,,,,,,,,3 Years Onsite Warranty,Manufacturing Defects,Physical Damge,3 Year,,,1080p,,,,,,,,,,,,,,,,,,R-Series,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...","₹7,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/6/9/-original-imah8pwhvz2tzucv.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-full-hd-ips-panel-flicker-free-hdmi-display-port-bezel-less-design-flat-monitor-ls24c330gawxxl/p/itm242e33dfe21e9?pid=MONGYYQGKSZJTEBP&lid=LSTMONGYYQGKSZJTEBPM0MVH1&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_197&otracker=search&otracker1=search&fm=organic&iid=en_T9yeNV6P2vCUB5mvRWVHg6iaXwEkOWW1PUBm_HPGunuFyHWxOIGdO2A8JoJAGt9D8kzA3ptjAdN2jJ3eHMy0Y_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,LS24C330GAWXXL,Black,60.96 cm (24 inch) LED Display,IPS Panel,Full HD,"1 Monitor, Accessory included, Power Cable (1.5M), HDMI Cable, User Manual",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,178° (2D),178° (2D),4 ms,250 nits (2D),72%,AC 100 - 240 V,Yes,Yes,Yes,Windows 10,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elista 54.61 cm (21.5 inch) Full HD LED Backlit IPS Panel Monitor (ELS-V2210 HD LED Bezel less),"₹5,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/m/r/els-v2210-hd-led-bezel-less-full-hd-21-5-2023-els-v2210-hd-led-original-imah4fgzhkhv3x2e.jpeg?q=70,https://www.flipkart.com/elista-54-61-cm-21-5-inch-full-hd-led-backlit-ips-panel-monitor-els-v2210-bezel-less/p/itm6202c978219d6?pid=MONGSJWYP2QHCFYD&lid=LSTMONGSJWYP2QHCFYDU3JPSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_198&otracker=search&otracker1=search&fm=organic&iid=en_T9yeNV6P2vCUB5mvRWVHg6iaXwEkOWW1PUBm_HPGunvF30-kVKe9SKIXtQ2ivXuIUVV75mDd4FEg6EJ9CLhsnw%3D%3D&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,ELS-V2210 HD LED Bezel less,Black,54.61 cm (21.5 inch) LED Display,IPS Panel,Full HD,"Monitor-01 No, Base- 01 No, HDMI Cable- 01 No, Power Cord-01 No, User Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,178° (2D),178° (2D),4 ms,250 nits (2D),,,"Yes, 1",,,,1 Year Carry in to brand service center.,Products are warranted against defects in materials and craftsmanship for a period of one year from the date of original retail purchase,"The warranty does not include damage resulting from accidents, improper use, maintenance, repair, or from other causes that are not defects in materials or craftsmanship, Burnt or defects arising due to use of CFL",1 Year,LED Backlit Backlight,1920 x 1080 pixels,1920 x 1080,500000:1 (Dynamic),0.248 mm,No,No,No,No,"22 W (Operational), 0.5 W (Standby)",Yes,Can be Wall mounted (Mounting Kit not provided as standard packaging),Yes,"Frameless | IPS Display, | HD Resolution 1920 x 1080, | No Splash, | Flicker Free",540 mm,520 mm,30 mm,540 mm,340 mm,30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewSonic 60.96 cm (24 inch) Full HD IPS Panel Monitor (VA2432-H-W),"₹6,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/c/b/p/-original-imah45nyw54fnvgt.jpeg?q=70,https://www.flipkart.com/viewsonic-60-96-cm-24-inch-full-hd-ips-panel-monitor-va2432-h-w/p/itm35ec0f0f9f048?pid=MONGTTHZWCJSMF8Y&lid=LSTMONGTTHZWCJSMF8YSYJBX9&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_199&otracker=search&otracker1=search&fm=organic&iid=af0d181b-e411-432a-9d19-2388c4d494b8.MONGTTHZWCJSMF8Y.SEARCH&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,VA2432-H-W,Black,60.96 cm (24 inch) LED Display,IPS Panel,Full HD,"VA2432-H-W x1, HDMI Cable (v1.4; Male-Male) x1, AC/DC Adapter x1, Quick Start Guide x1, Power plug x1 or 2 (by country)",Flat,,"60 Hz (Analog), 60 Hz (Digital)",,,,1 ms,,,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Series 5 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with On-screen controls, Anti-glare, 30...","₹11,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/h/o/524sh-full-hd-23-8-2024-94c20aa-hp-original-imahfhqbqfqwsp3m.jpeg?q=70,https://www.flipkart.com/hp-series-5-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-on-screen-controls-anti-glare-300-nits-brightness-eye-ease-technology-height-adjustable-monitor-524sh/p/itme4c11e5c98fea?pid=MONHFEH2FGW5S3HS&lid=LSTMONHFEH2FGW5S3HSHX8GLL&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_200&otracker=search&otracker1=search&fm=organic&iid=af0d181b-e411-432a-9d19-2388c4d494b8.MONHFEH2FGW5S3HS.SEARCH&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,524sh,Silver,60.45 cm (23.8 inch) LED Display,IPS Panel,Full HD,"Monitor, HDMI Cable, Warranty Card, AC Power Cord",Flat,,"100 Hz (Analog), 100 Hz (Digital)",,,,5 ms,300 nits (2D),,,"Yes, 1",,,,HP 3 Year Limited Warranty,Manufacturing Defect,Physical Damage,,LED Backlit Backlight,FHD (1920 x 1080) pixels,,,,,,,,,,,,,,,,,,,Series 5,,,,,,,,,,,,,,,,1,Yes,,,,,,,,,,,,,,,,,,,,Audio Out,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),"₹3,154",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/5/k/mon-0054-hd-20-2023-mon-0054-frontech-original-imahyrryap3ccunb.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0054/p/itm8713072821479?pid=MONGS24B7UGXAKTX&lid=LSTMONGS24B7UGXAKTXPSDLVN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_9_201&otracker=search&otracker1=search&fm=organic&iid=en_T9yeNV6P2vCUB5mvRWVHg6iaXwEkOWW1PUBm_HPGunu_n96hgLQ4udncUMDXEIWZ74pIOCgOsQwMv4cWGsBP7Q%3D%3D&ppt=None&ppn=None&ssid=jpzs15jy000000001738368212308&qH=08b5411f848a2581,2025-02-01 01:03:33,MON-0054,Black,50.8 cm (20 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"130° (2D), 160° (3D)","90° (2D), 0° (3D)",5 ms,"250 nits (2D), 0 nits (3D)",86%,AC 180V - 255V,"Yes, 1 x 1.3 Port",Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1600 x 900 pixels,1080p,"1000000:1, 1000000:1 (Dynamic)",0.276 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,"24 W (Operational), 0 W (Standby)","Yes, 15 Pin",NA,Yes,NA,220 mm,360 mm,471 mm,220 mm,356 mm,471 mm,-,No,-,-,0 Hz,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,0,NA,0,Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,No,"Auto, Menu, Up, Down, Power",15 Languages,3.25 kg,3 kg,,,,
