title,price,image_url,product_url,Special Feature,Part Number,Package Weight,Screen Surface Description,Lighting Method,Indoor/Outdoor Usage,Color,Base Material,Brand,Recommended Uses For Product,Lamp Type,Connectivity Protocol,Style,Item Dimensions  LxWxH,Color Rendering Index (CRI),Finish Type,ASIN,Shade Material,Screen Size,Size,Total Usb Ports,Finish types,Shade Color,Country of Origin,Date First Available,Connectivity Technology,Batteries Required?,Is Waterproof,Item model number,Included Components,Item Weight,Controller Type,Batteries Included?,Voltage,Series,Manufacturer,Material,Screen Resolution,Product Dimensions,Max Screen Resolution,Department,Resolution,Number of Pieces,Water Resistance Level,Room Type,Switch Type,Number of Light Sources,Number of Items,Power Source,Control Method,Specific Uses For Product,Wattage,Is Discontinued By Manufacturer,Shape,Aspect Ratio,Installation Type,Package Dimensions,Light Source Type,Special Features,Image brightness,Mounting Type,Standing screen display size
"SPEKZ 24 Inch Computer Monitor, FHD PC Monitors 1920 x 1080p IPS Display 75Hz, ...",MAD 1013,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/7ZMJONGKS-spekz-24-professional-thin-75hz-1080-led-monitor-hdmi-vga-build-in-speakers-abyss-black-em-024,,,,Glossy,,,,,SPEKZ,,,,,,,,B0BF1N8P3F,,23.8 Inches (60.5 cm),,,,,,"September 12, 2022",,,,EM-024,,8.28 pounds (3.76 kg),,,,,SPEKZ,,,,,,"VGA, FHD 1080p",,,,,,,,,,,,,16:9,,23.62 x 15.59 x 4.72 inches (60 x 39.6 x 12 cm),,,,,23.8 Inches (60.5 cm)
"Monitor Light Bar with Remote Control, USB Computer Monitor Lamp, Eye-Care Screen ...",MAD 466,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IJUKEBVL0-computer-monitor-lamp-screen-monitor-light-bar-for-eye-caring-e-reading-led-task-lamp-touch-control-no-screen-glare-space-saving-home-office-desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZA Gaming Monitor 27 Inch Curved 180Hz| 165Hz|144Hz|1ms| Computer Monitor ...,"MAD 1969                                                                        
                                                                            2243",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MQT30C38E-zza-34-inch-curved-gaming-monitor-freesync-g-sync-hdr10-122-srgb-dp-hdmi-vesa-mount-compatible-wqhd-monitor-3440-x-1440-r1500-up-to165hz,,,,Glossy,,,,,ZZA,,,,,,,,B0D9QBG1W5,,27 Inches (68.6 cm),,,,,China,"July 19, 2024",,,,Z27B1K180HZ,,11.31 pounds (5.13 kg),,,,,"Jetta (Shenzhen) E-commerce Co.., Ltd.",,,4.3 x 23.62 x 15.75 inches (10.9 x 60 x 40 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,,,27 Inches (68.6 cm)
ZZA Gaming Monitor 27 Inch Curved 180Hz| 165Hz|144Hz|1ms| Computer Monitor ...,"MAD 1969                                                                        
                                                                            2243",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M5R3LSS50-34-inch-qhd-curved-gaming-monitor-165hz-refresh-rate-1ms-response-time-freesync-g-sync-hdr10-122-srgb-dp-hdmi-vesa-mount-compatible,,,,Glossy,,,,,ZZA,,,,,,,,B0D9QBG1W5,,27 Inches (68.6 cm),,,,,China,"July 19, 2024",,,,Z27B1K180HZ,,11.31 pounds (5.13 kg),,,,,"Jetta (Shenzhen) E-commerce Co.., Ltd.",,,4.3 x 23.62 x 15.75 inches (10.9 x 60 x 40 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,,,27 Inches (68.6 cm)
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/5AU0EA3TC-koorui-27-inch-fhd-monitor-computer-monitor-ips-panel-1080p-75hz-hdmi-vga-99-srgb-5ms-response-eye-care-virtually-borderless-design-display,,,,Glossy,,,,,KOORUI,,,,,,,,B0C38FJ6HY,,21.5 Inches (54.6 cm),,,,,,"April 22, 2023",,,,E2212F,,7.19 pounds (3.26 kg),,,12 Volts (DC),,KOORUI,,,7.12 x 19.48 x 15.51 inches (18.1 x 49.5 x 39.4 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,250 lm,,21.5 Inches (54.6 cm)
KOORUI Monitor 22 Inch Computer Monitor FHD 1080P 75Hz PC Monitor VA Panel 30001 ...,"MAD 1013                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8LRYVTRXO-koorui-24-inch-computer-monitor-fhd-1920-x-1080p-office-pc-monitor-ips-display-75hz-hdmi-vga-75-x-75-mm-vesa-mountable-frameless-eye-protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24 Inch QHD Computer Monitor,1440P Ultrawide LED Monitor,75Hz IPS Display with ...",MAD 1956,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FSH029AOM-luckyfive-24-inch-qhd-computer-monitor-1440p-ultrawide-led-monitor-75hz-ips-display-with-built-in-speakers-75hz-hdmi-displayport-vesa-tilt,,,,Flat,,,,,luckyfive,,,,,,,,B0CHK6QY8W,,24 Inches (61 cm),,1,,,China,"September 7, 2023",,,,M-24LFK2P75,,8.69 pounds (3.94 kg),,,,,luckyfive,,,1.85 x 21.26 x 15.75 inches (4.7 x 54 x 40 cm),,,2560 x 1440,,,,,,,,,,,No,,16:9,,,,,,,24 Inches (61 cm)
"27 Inch 2K Computer Monitor, Professional IPS PC Monitors QHD 2560 x 1440p 75Hz ...",MAD 2243,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/C0MHVDB4M-grebear-qjb-02-computer-monitors-7-inch-fhd-1080p-pc-monitors-60hz-built-in-speaker-low-blue-light-anti-glare-ips-screen-lcd-7-desktop-display,,,,Double,,,,,GreBear,,,,,,,,B0BWQR9GBF,,27 Inches (68.6 cm),,,,,China,"February 24, 2023",,,,BM27QY,,12.91 pounds (5.86 kg),,,240 Volts (AC),,GreBear,,,1.7 x 24.51 x 18.12 inches (4.3 x 62.3 x 46 cm),,,2560*1440 Pixels,,,,,,,,,,,No,,16:9,,,,,,,27 Inches (68.6 cm)
"27 Inch 2K Computer Monitor, Professional IPS PC Monitors QHD 2560 x 1440p 75Hz ...",MAD 2243,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/7TDDYTCNK-grebear-24-inch-business-computer-monitor-full-hd-1920-x-1080p-va-display-75hz,,,,Double,,,,,GreBear,,,,,,,,B0BWQR9GBF,,27 Inches (68.6 cm),,,,,China,"February 24, 2023",,,,BM27QY,,12.91 pounds (5.86 kg),,,240 Volts (AC),,GreBear,,,1.7 x 24.51 x 18.12 inches (4.3 x 62.3 x 46 cm),,,2560*1440 Pixels,,,,,,,,,,,No,,16:9,,,,,,,27 Inches (68.6 cm)
"Computer Monitor FHD 32 Inch Monitor, 1920x1080P 60Hz 104% sRGB Display w/HDMI VGA ...",MAD 2379,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/7HAYQI570-computer-monitor-jlink-fhd-32-inch-monitor-1920x1080p-75hz-4-2ms-gtg-104-srgb-lcd-computer-display-with-hdmi-vga-3-5mm-audio-hdr-low-blue-light,,,21.51 Pound,Flat,,,,,Jlink,,,,,,,,B0B58C2SDB,,32 Inches (81.3 cm),,,,,,"September 12, 2022",,,,B32FP1K,,17.95 pounds (8.14 kg),,,12 Volts,,"Unionman Technology Co., Ltd",,,5 x 21 x 33 inches (12.7 x 53.3 x 83.8 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,,,32 Inches (81.3 cm)
LYMAX Computer Monitor Led Lights with Remote PC LED Bar Eye Caring Adjustable Desk ...,"MAD 548                                                                        
                                                                            740",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4LZ1EGUIO-lymax-computer-monitor-led-lights-with-remote-pc-monitor-led-bar-eye-caring-monitor-led-lights-adjustable-monitor-led-lights-desk-lamp-for-home,"‎USB- C Powered, 3 Auto Dimming Modes, 2900-6000K Color Temerature, Asymmetrical Light Source, Gravity Damper Bracket, Touch Sensor Control, Eye-friendly, Space-saving,Glare-free, Flicker-free, Anti-blue",‎Monitor-Light-Bar-D007,,,‎Adjustable,‎Indoor,‎Black,Metal,‎LYMAX,‎Reading,"desk,desk lamp",‎USB,‎Minimalist,,‎85.00,Finished,B09936H8Y4,‎Silicone,,‎Cuboid light,,‎Finished,Blue,‎China,"August 25, 2021",‎USB,‎No,‎False,‎D007,"‎Monitor Light Bar, USB-C Cable Cord, User Manual",‎1.15 pounds,‎touch,‎No,‎5 Volts,,‎Raone,‎Aluminum,,"16.5""D x 3.5""W x 1.4""H (41.9 x 8.9 x 3.6 cm)",,,,‎1,‎Not Water Resistant,‎Office,‎Touch,‎1,‎1,‎Corded Electric,‎Touch,‎Reading,‎5 watts,,‎Oval,,‎Tabletop,,‎LED,"‎USB- C Powered, 3 Auto Dimming Modes, 2900-6000K Color Temerature, Asymmetrical Light Source, Gravity Damper Bracket, Touch Sensor Control, Eye-friendly, Space-saving,Glare-free, Flicker-free, Anti-blue",,‎Tabletop,
