title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Storage Type,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Included Software,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Supply,Processor Variant,Number of Cores,Internal Mic,Pointer Device,Additional Features,Battery Cell,Clock Speed,HDMI Port,Processor Generation,Finger Print Sensor,Cache,Supported Operating System,Expandable Memory,Expandable SSD Capacity,TGP,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RJ45,Refresh Rate,Face Recognition,OS Architecture,Chipset,EMMC Storage Capacity,Security Chip,Memory Slots,RPM,Hardware Interface,Ethernet,Antivirus,Inbuilt 4G LTE,Stylus Included,RAM Frequency,System Architecture,S-video,Color Gamut,Brightness,NFC Support,Wireless WAN,Read/Write Speed,Recovery Options,Laptop Bag,Lock Port,Dock Port,Firewire Port,RJ11,VGA Port,Multi Card Slot,Sound Chip,Cloud Storage,Other Accessories,International Warranty,Certification,HDD Capacity
HP Envy x360 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-fe0027TU Laptop,"₹74,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/h/g/-original-imagwy8dayb2reqg.jpeg?q=70,https://www.flipkart.com/hp-envy-x360-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-15-fe0027tu-laptop/p/itm4ad8557db4166?pid=COMGQTFCHFQEBPM8&lid=LSTCOMGQTFCHFQEBPM8SENFIB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_246&otracker=search&fm=organic&iid=afacf62a-025b-49af-839e-db2dcc03460f.COMGQTFCHFQEBPM8.SEARCH&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"Laptop, User manual, Adapter",15-fe0027TU,8C527PA#ACJ,15-fe0027TU,Envy x360,Nightfall Black,Laptop,Processing & Multitasking,,Yes,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5,Intel Integrated Iris Xe,SSD,Windows 11 Home,,"2 x Thunderbolt 4 with USB Type-C 40Gbps signaling rate, 1 x USB Type-A 10Gbps signaling rate (HP Sleep and Charge), 1 x USB Type-A 10Gbps signaling rate",Yes,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, multitouch-enabled, IPS, edge-to-edge glass, micro-edge, Brightness: 250 nits, Color Gamut: 45% NTSC",Yes,,Intel Wi-Fi 6E AX211 (2x2),v5.3,357 x 236 x 18.4 mm,2.14 Kg,Not Available,HP Wide Vision 5MP IR camera,"Full-size, backlit, nightfall black opaque keyboard",Yes,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,1335U,,Yes,,,,Max Turbo Frequency up to 4.6 GHz,1 x HDMI 2.1,13th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,"₹81,949",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/c/a/-original-imagfdfpnjjpdhq2.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly13hn-a/p/itmd65f6b189fc7b?pid=COMGFB2GBKDVYBDD&lid=LSTCOMGFB2GBKDVYBDDM2PGFI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_247&otracker=search&fm=organic&iid=en_oY0Q7fROvjuKbBMEv33zJEtGTrs18RKY26inQ-FFOYm8nYVkrnlGvuVvBFQffsusagh1Gr26wAMi6vhZHb6-YUKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLY13HN/A,MLY13HN/A,MacBook Air,MacBook AIR,Starlight,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,256 GB,8 GB,Unified Memory,NA,SSD,Mac OS Monterey,Yes,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,30 W USB-C Power Adapter,Apple M2 Chip,8,Three-mic Array with Directional Beamforming,Force Touch Trackpad,52.6 Watt Hour Lithium polymer Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,"₹31,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/6/c/-original-imah8gg2x4afkpxe.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_248&otracker=search&fm=organic&iid=en_oY0Q7fROvjuKbBMEv33zJEtGTrs18RKY26inQ-FFOYlMiHBZ5McTZf-00k8q39U0-GMpGxE7ypaAC8XSFUxw4vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-53,UN.34RSI.002,A324-53,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,,No,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,SSD,Windows 11 Home,,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,Video conferencing: 2M With Privacy Camera Shutter,84-key Acer keyboard layout with US language: Additional feature.,,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,1305U,,Yes,,,,Max Frequency up to 4.50 GHz,,13th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Hom...","₹52,890",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/y/r/inspiron-3530-thin-and-light-laptop-dell-original-imahyjjhdgjafest.jpeg?q=70,https://www.flipkart.com/dell-inspiron-15-backlit-keyboard-intel-core-i5-13th-gen-1334u-8-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itm23d84e15561c4?pid=COMHYGBZZNWXZXZE&lid=LSTCOMHYGBZZNWXZXZE7ILD4A&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_249&otracker=search&fm=organic&iid=afacf62a-025b-49af-839e-db2dcc03460f.COMHYGBZZNWXZXZE.SEARCH&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"Laptop, Battery, AC Adapter, User Guide, Manuals",Inspiron 3530,OIN353034011RINS1M,Inspiron 3530,"Inspiron 15 with Backlit Keyboard,",Platinum Silver,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated Integrated,SSD,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A port, 1 x USB 3.2 Gen 1 Type-C data only, 1 x USB 2.0 port,",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,FHD WVA AG 120Hz 250 nits Narrow Border,Yes,,"Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO",Yes,358 x 235 x 16.9 to 18.9mm,1.62 Kg,Not Available,HD,Backlit Keyboard,Yes,,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,1 Year,65W AC adapter,1334U,10,Yes,Keyboard,"41 Wh, integrated",3 Cell 41 Wh,Upto 4.60GHz,1 x HDMI 1.4,13th Gen,No,12 MB,Windows 11 Home,16 GB,2 TB,,,,,120 Hz,No,64 bit,,,,2,,,,,,,2666 MHz,64 bit,,,250 Nits,,Realtek Wi-Fi 6 RTL8852BE,,,,,,,,,1 x SD 3.0,,,,,,
Lenovo Legion Go AMD Ryzen Z1 Extreme - (16 GB/512 GB SSD/Windows 11 Home) 8APU1 Handheld Gaming PC,"₹59,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/i/e/go-handheld-gaming-pc-lenovo-original-imahfzfejyzktmzk.jpeg?q=70,https://www.flipkart.com/lenovo-legion-go-amd-ryzen-z1-extreme-16-gb-512-gb-ssd-windows-11-home-8apu1-handheld-gaming-pc/p/itm91b8146551547?pid=COMHFR4THQXC2DGG&lid=LSTCOMHFR4THQXC2DGGUJGHYW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_250&otracker=search&fm=organic&iid=afacf62a-025b-49af-839e-db2dcc03460f.COMHFR4THQXC2DGG.SEARCH&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"Gamepad, Controller Dock, Carry Bag, User Manual, Warranty Documents",8APU1,83E1004MIN,Go,Legion Go,Shadow Black,Handheld Gaming PC,Gaming,,No,AMD,AMD Ryzen Z1 Extreme,Yes,512 GB,16 GB,LPDDR5X,AMD Radeon AMD,SSD,Windows 11 Home,Yes,"2 x USB4 40 Gbps (Support Data Transfer, Power Delivery 3.0 and DisplayPort 1.4)",Yes,22.35 cm (8.8 inch),2560 x 1600 Pixels,"WQXGA, IPS, 500nits Glossy/Antifingerprint, 97% DCI-P3, 144Hz Refresh Rate, Corning Gorilla Glass 5, Low Blue Light, Touch",2W Dual Stereo Speakers,,"AMD Wi-Fi 6E RZ616, 11ax 2x2",v5.3,298.83 x 131 x 40.7 mm,1.7 kg,Not Available,None,,,,1 Year Carry in + 1 Year Accidental Damage Protection,Carry-in,Manufacturing Defect,Physical Damage,1 Year,65W USB-C Slim (Wall Mount),,8,Dual Array Microphone,"Buttonless Mylar Surface Touchpad (On The Right Controller), 28.5 x 28.5 mm (1.12 x 1.12 inches)","Integrated 49.2Wh, Legion Coldfront Cooling System, Controls: A B X Y Buttons, D-Pad, Touchpad, FPS Mode Switch, Mouse Wheel, Left & Right Joysticks, Left & Right Release Buttons, LB Button, M1 / RB Button, M2 Button, Y1 & Y2 Buttons, M3 & Y3 Buttons, 4X Function Buttons, Power Button, Volume Keys, Charger: 2 x Pogo Pin Connector (5 Point)",,"Base Frequency 3.3 GHz, Max Frequency at 5.1 GHz",,,,16 MB,Windows 11,,,,,,,,,,AMD SoC Platform,,Firmware TPM 2.0 Enabled,,,M.2 PCIe 4.0 x 4 NVMe,,,,,,,,,,,,,,,,,,,,1 x MicroSD Card Reader,High Definition (HD) Audio,,,,,
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,"₹81,949",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/v/v/-original-imagfdeqter4sj2j.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itmdc5308fa78421?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_251&otracker=search&fm=organic&iid=en_oY0Q7fROvjuKbBMEv33zJEtGTrs18RKY26inQ-FFOYmnGFFZQZI9OCAAAN7i2IkHJ5lLarYB7qVp1Bm9E9yQ0fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLY33HN/A,MLY33HN/A,MacBook Air,MacBook AIR,Midnight,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,256 GB,8 GB,Unified Memory,NA,SSD,Mac OS Monterey,Yes,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3,1.24 Kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,30 W USB-C Power Adapter,Apple M2 Chip,8,Three-mic Array with Directional Beamforming,Force Touch Trackpad,52.6 Watt Hour Lithium Polymer Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,"₹91,064",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/q/h/-original-imagypv6prbgkfzg.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7w4hn-a/p/itm2ea42dec44bca?pid=COMH64PYZU4ZZR79&lid=LSTCOMH64PYZU4ZZR79AHLYXY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_252&otracker=search&fm=organic&iid=en_oY0Q7fROvjuKbBMEv33zJEtGTrs18RKY26inQ-FFOYmFZvIGs9JfrUS8vtSm_rxTkAOgynefWxDplKf8RvemTWVkv0XZFiOX7bbXdlao_f8%3D&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",MC7W4HN/A,MC7W4HN/A,MacBook Air,MacBook AIR,Starlight,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,256 GB,16 GB,Unified Memory,NA,SSD,macOS Sequoia,Yes,2 x Thunderbolt USB 4,No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",Built-in Speakers,Four-speaker sound system,Wi-Fi 6 (802.11ax),v5.3,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15s Intel Core i3 10th Gen 1005G1 - (4 GB/512 GB SSD/Windows 10 Home) 15s-fr1004tu Thin and Light L...,"₹42,174",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kae95e80/computer/q/w/a/hp-original-imafrzbfruxgg23e.jpeg?q=70,https://www.flipkart.com/hp-15s-intel-core-i3-10th-gen-1005g1-4-gb-512-gb-ssd-windows-10-home-15s-fr1004tu-thin-light-laptop/p/itmf73695419f320?pid=COMFRWT5MDPKAQWA&lid=LSTCOMFRWT5MDPKAQWA419XFO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_253&otracker=search&fm=organic&iid=afacf62a-025b-49af-839e-db2dcc03460f.COMFRWT5MDPKAQWA.SEARCH&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fr1004tu,3J105PA#ACJ,,15s,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i3,Yes,512 GB,4 GB,DDR4,Intel Integrated UHD,SSD,Windows 10 Home,Yes,"2 x USB 3.1 (1st Gen) Type A, 1 x USB 3.1 (1st Gen) Type C",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD WLED Backlit Anti-glare Micro-edge Display (220 nits Brightness, 45% Color Gamut, 141 ppi, 82.12 Screen to Body Ratio)",Built-in Dual Speakers,,Realtek Wi-Fi 5 (2x2),v5.0,358 x 242 x 17 mm,1.69 kg,Not Available,HP TrueVision HD Webcam,Full-size Island-Style Natural Silver Keyboard with Numeric Keypad,,"Microsoft Office Home and Student 2019, HP Support Assistant, HP Recovery Manager, HP Documentation, HP Sure Connect, HP JumpStart, HP Audio Switch, HP ePrint, Dropbox",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,1005G1,2,Integrated Digital Microphone,Touchpad with Multi-touch Gesture Support,41 WHr Li-ion Prismatic Battery,3 cell,1.2 GHz with Turbo Boost Upto 3.4 GHz,1 x HDMI Port,10th Gen,,4 MB,,Upto 16 GB,,,,,,,,64 bit,,,,,,,,,,,2666 MHz,64 bit,,,,,,,,,,,,,,"3-in-1 Card Reader (SD, SDHC, SDXC)",,,,,,
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-LK54...,"₹50,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/w/d/-original-imagpxgqz93j3fgy.jpeg?q=70,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-e1504fa-lk542ws-thin-light-laptop/p/itm3de88f71e558b?pid=COMGMGXFSGJSSGGD&lid=LSTCOMGMGXFSGJSSGGDS7OACV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_254&otracker=search&fm=organic&iid=afacf62a-025b-49af-839e-db2dcc03460f.COMGMGXFSGJSSGGD.SEARCH&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"Laptop, battery, power adapter, user guide",E1504FA-LK542WS,90NB0ZR2-M00J60,E1504FA-LK542WS,Vivobook Go 15 OLED,Mixed Black,Thin and Light Laptop,Processing & Multitasking,,Yes,AMD,Ryzen 5 Quad Core,Yes,512 GB,16 GB,LPDDR5,AMD Radeon AMD,SSD,Windows 11 Home,,"1 x USB 2.0 Type-A, 1,x USB 3.2 Gen 1 Type-A, 1,x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, OLED 16:9 aspect ratio, 0.2ms response time, 60Hz refresh rate, 400nits, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 500, 1.07 billion colors,,PANTONE Validated,,Glossy display, 70% less harmful blue light",Built-in Speakers,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,360.3 x 232.5 x 17.9 mm,1.63 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,7520U,,Yes,,,,2.8 GHz upto max turbo frequency at 4.3 Ghz,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infinix GT Book Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹74,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/e/e/gtbook-gaming-laptop-infinix-original-imahyyyrd3rssayz.jpeg?q=70,https://www.flipkart.com/infinix-gt-book-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-90-w-gl613-gaming-laptop/p/itmc9e44d5a9f6c4?pid=COMHYS44JZZMNFJX&lid=LSTCOMHYS44JZZMNFJX6WMDMC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_255&otracker=search&fm=organic&iid=afacf62a-025b-49af-839e-db2dcc03460f.COMHYS44JZZMNFJX.SEARCH&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"Laptop, Power Adaptor, User Guide",GL613,71008301579,GTBook,GT Book,Grey,Gaming Laptop,"Entertainment, Everyday Use, Gaming, Learning, Performance, Processing & Multitasking",,No,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5X,NVIDIA GeForce RTX 4050,SSD,Windows 11 Home,Yes,"1 x USB 3.2 GEN2, 1 x USB 3.2 GEN1",No,40.64 cm (16 inch),1920 x 1200 Pixels,"Full HD, Anti Glare, 120Hz Display, 16:10 Aspect Ratio, 300nits Peak Brightness, 100% sRGB",DTS Audio Processing,DTS Audio Processing,AX211 (WIFI 6E),v5.2,358mm x 258mm x 18.9mm,1.99 kg,Not Available,2.0 Megapixel Webcam with Dual Mic,4-Zone RGB Customizable Backlit Keyboard,Yes,Control Center,1 Year Domestic Onsite Warranty On Laptop and 6 Months On Adapter,Onsite,Manufacturing Defects,Physical & Liquid Damage. Freebies and GT accessories not covered under the warranty,1 Year,210 Watt AC Adapter,13420H,8,Dual Mic,Multi-Touch Trackpad,"GT Control Center, Customizable RGB Mechabar, Performance Mode Keys (Office, Balance, Game), Fan Max Mode, MUX (Select between integrated GPU or dedicated GPU), 4-Zone RGB Backlit, Customizable Keyboard",3 Cell Lithuim Battery,"Base Frequency 2.1 GHz, Max Frequency 4.6 GHz",1 x HDMI 2.0,13th Gen,No,,Windows 11,NA,,90 W,GDDR6,6 GB,No,,No,,Intel Core i5,,,NA,,PCIe 4.0,,,No,No,5200 MHz,,No,100% sRGB,300 Nits,No,,NA,NA,No,Lock Slot,No,No,No,No,Yes,,,"RGB Mouse, RGB Headphone, RGB Extended Mousepad",,,
Acer Extensa AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,"₹50,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/7/u/ex215-23-notebook-acer-original-imahfzfxggumrrh3.jpeg?q=70,https://www.flipkart.com/acer-extensa-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-ex215-23-notebook/p/itm40e593d3ea893?pid=COMGMXKHJWDAXEWJ&lid=LSTCOMGMXKHJWDAXEWJP7NGPF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_11_256&otracker=search&fm=organic&iid=afacf62a-025b-49af-839e-db2dcc03460f.COMGMXKHJWDAXEWJ.SEARCH&ppt=None&ppn=None&ssid=xxs58r8i8g0000001738366003893&qH=312f91285e048e09,2025-02-01 00:26:44,"Laptop, Power Adaptor, User Guide, Warranty Documents",EX215-23,UN.EH3SI.002,EX215-23,Extensa,Steel Gray,Notebook,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Learning, Travel & Business",,Yes,AMD,Ryzen 5 Quad Core,Yes,512 GB,8 GB,LPDDR5,AMD Radeon AMD,SSD,Windows 11 Home,,"2 x USB 3.2 Port, 1 x USB Type-C Port with DC-in",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,,,WIFI 6,v5.1,362.9 x 237.5 x 18.9mm,1.78 Kg,Not Available,T-Type HD camera,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,No,,1 Year International Travelers Warranty,Onsite,Manufacturing Defects,Physical damage,1 Year,3-pin 45 W /65 W AC adapter,7520U,,,"Multi-gesture touchpad, supporting two-finger scroll; pinch; gestures to open Cortana, Action Center, multitasking; application commands",40 Wh Li-ion battery,3 Cell,2.8GHz Upto 4.3GHz,1 x HDMI Port,,,,,8 GB,,,,,,,,64 bit,,,,,,,,,,,,64 Bit,,,,,,,,,,,,,,,,,,,,
