title,price,image_url,product_url,Style,Warranty,Battery Power Rating,Weight,Color,Memory Storage Capacity,Item Weight,GPS,Operating System,Battery Capacity,Human Interface Input,Brand,Special Feature,Whats in the box,Screen Size,Department,Is Discontinued By Manufacturer,Supports Bluetooth,Voice command,Standing screen display size,Battery Cell Composition,Battery Life,Wireless Communication Standard,Item model number,Display technology,Manufacturer,Display Size,Date First Available,Other display features,Compatible Phone Models,Package Dimensions,Wireless communication technologies,Country of Origin,Compatible Devices,OS,Connectivity technologies,Scanner Resolution,Product Dimensions,ASIN,Connectivity Technology,Model Name,Special features,Ram Memory Installed Size,Batteries,Shape,Collection Date
"Smart Watch for Men Women Answer/Make Calls,1.83"" HD IP68 Waterproof Fitness Watch ...",MAD 330,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LYOL8TEX0-smart-watches-for-men-answer-make-calls-ai-control-1-83-for-android-phones-iphone-samsung-compatible-fitness-tracker-blood-oxygen-heart-rate,Modern,,,,Black,,5.3 ounces (150.26 grams),,"Android 4.4 and above, iOS 9.0 and above.",,"Touchscreen, Buttons",BooaBei,"Activity Tracker,Heart Rate Monitor,Phone Call,Text Messaging,Notifications,Sleep Monitor,Daily Workout Memory,Voice Assistant,Reminders,Sedentary Reminder,weather,IP67 Waterproof, Stress Monitor, Blood Oxygen Monitor,Multisport Tracker, Calorie Tracker,Pedometer, Alarm Clock,Music Player,Find My Phone,Personalized Watch Faces,Stopwatch, Calculator,Cycle Tracking,Body Temperature Monitoring,Contact Person, Call Records    See more",Watch Band,1.96 Inches (5 cm),,,,,1.96 Inches (5 cm),,,Bluetooth,T19P,,BooaBei,,17-Dec-23,Wireless,,5.47 x 3.9 x 1.26 inches (13.9 x 9.9 x 3.2 cm),,China,,"Android 4.4 and above, iOS 9.0 and above.",Bluetooth,320 x 320 or 320 x 386,,B0CNWF3Q1K,Bluetooth,T19P,"Activity Tracker,Heart Rate Monitor,Phone Call,Text Messaging,Notifications,Sleep Monitor,Daily Workout Memory,Voice Assistant,Reminders,Sedentary Reminder,weather,IP67 Waterproof, Stress Monitor, Blood Oxygen Monitor,Multisport Tracker, Calorie Tracker,Pedometer, Alarm Clock,Music Player,Find My Phone,Personalized Watch Faces,Stopwatch, Calculator,Cycle Tracking,Body Temperature Monitoring,Contact Person, Call Records",,,Rectangular,1/29/2025 22:27
"Smart Watch for Women,Fitness WatchAnswer/Make Call,Alexa Built-in, [24H Heart Rate ...",MAD 1149,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IJ5VGFGBQ-smart-watch-for-women-fitness-watch-answer-make-call-alexa-built-in-24h-heart-rate-sleep-blood-oxygen-monitor-5atm-waterproof-100-sports-modes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watches for Men Women with Bluetooth Call, Activity Fitness Tracker 1.96"" HD ...",MAD 1231,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IC0IUQQUQ-smart-watch-for-men-with-bluetooth-call-activity-fitness-tracker-1-96-hd-full-touch-screen-with-heart-rate-sleep-monitor-waterproof-smartwatches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
1.39''HD Smart Watch for Men Fitness TrackerAnswer/Dial CallBluetooth Call Military ...,"MAD 1054                                                                        
                                                                            1148",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BN7VMYEXK-smart-watch-for-men-fitness-tracker-make-answer-call-bluetooth-call-1-39-x27-x27-hd-military-smartwatch-fitness-watch-for-android-ios-outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watches for WomenAnswer/Make Calls with Diamonds, 1.3  HD Bluetooth Smart ...","MAD 876                                                                        
                                                                            1149",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MJ725QRUI-smart-watches-for-women-answer-make-calls-with-diamonds-1-3-hd-bluetooth-smart-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch,Fitness Tracker Watches for Men Women, IP67 Waterproof HD Touch Screen ...","MAD 466                                                                        
                                                                            548",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4JFD0MPGK-smart-watch-fitness-tracker-watches-for-men-women-ip67-waterproof-hd-touch-screen-smartwatch-for-android-ios-phones-24-sports-activity-tracker,,,,,,,5.6 ounces (158.76 grams),,Android Wear 2.9,250 Milliamp Hours,,VKAROOD,打电话,,,,,,,,Lithium Ion,,,,,VKAROOD,,28-Nov-23,,,6.06 x 5.12 x 0.75 inches (15.4 x 13 x 1.9 cm),,China,,,,,,B0DS64HHSC,Bluetooth,,,,1 AAAA batteries required. (included),,1/29/2025 22:26
"Smart Watch,Fitness Tracker Watches for Men Women, IP67 Waterproof HD Touch Screen ...","MAD 466                                                                        
                                                                            548",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4M30ZKNN2-smart-watch-fitness-tracker-watches-for-men-women-ip67-waterproof-hd-touch-screen-smartwatch-for-androidios-phones-24-sports-activity-tracker-with,,,,,,,5.6 ounces (158.76 grams),,Android Wear 2.9,250 Milliamp Hours,,VKAROOD,打电话,,,,,,,,Lithium Ion,,,,,VKAROOD,,28-Nov-23,,,6.06 x 5.12 x 0.75 inches (15.4 x 13 x 1.9 cm),,China,,,,,,B0DS64HHSC,Bluetooth,,,,1 AAAA batteries required. (included),,1/29/2025 22:26
"Smart Watch for Men Answer/Make Call for Android iOS, Military Smartwatch Heart ...","MAD 466                                                                        
                                                                            876",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JV6Q1IYQA-smart-watch-for-men-answer-make-call-for-android-ios-military-smartwatch-heart-rate-blood-oxygen-sleep-monitor-step-counter-1-46-hd-waterproof,,,,,,,5.6 ounces (158.76 grams),,Android Wear 2.9,250 Milliamp Hours,,VKAROOD,打电话,,,,,,,,Lithium Ion,,,,,VKAROOD,,28-Nov-23,,,6.06 x 5.12 x 0.75 inches (15.4 x 13 x 1.9 cm),,China,,,,,,B0DS64HHSC,Bluetooth,,,,1 AAAA batteries required. (included),,1/29/2025 22:26
"Smart Watch for Men Women Fitness 1.9"" Bluetooth Call Smartwatch for Smart Phone ...","MAD 466                                                                        
                                                                            740",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MV99AR1FI-smart-watch-for-men-women-answer-make-call-1-7-smartwatch-ip68-waterproof-fitness-tracker-with-120-sport-modes-heart-rate-and-sleep-monitor,Fashion,,,,Black,,1.28 ounces (36.29 grams),,Android-based (specific version not specified),,,WalkerFit,"Weather Forecast, Activity Tracker, Camera, Phone Call, Shockproof",,1.4 Inches (3.6 cm),,,,,1.4 Inches (3.6 cm),Lithium Polymer,,,A2 Pro,,WalkerFit,,15-Apr-24,,,,,,,,,,10 x 2.01 x 0.4 inches (25.4 x 5.1 x 1 cm),B0CZNNC2T8,USB,A2 Pro,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smart Watch Answer/Make Calls, Ultra Thin 1.43  AMOLED Smart Watches for Men Women, ...",MAD 193,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/N2869K5CM-smart-watch-answer-make-calls-ultra-thin-1-43-amoled-smart-watches-for-men-women-100-sport-modes-fitness-tracker-with-blood-oxygen-heart,Fashion,,,,Black,,1.28 ounces (36.29 grams),,Android-based (specific version not specified),,,WalkerFit,"Weather Forecast, Activity Tracker, Camera, Phone Call, Shockproof",,1.4 Inches (3.6 cm),,,,,1.4 Inches (3.6 cm),Lithium Polymer,,,A2 Pro,,WalkerFit,,15-Apr-24,,,,,,,,,,10 x 2.01 x 0.4 inches (25.4 x 5.1 x 1 cm),B0CZNNC2T8,USB,A2 Pro,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"2 Packs Smart Watch for Women and Men with Alexa, Bluetooth Call & Receive Text, ...",MAD 1009,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IRBUUDA0O-2-packs-smart-watch-for-women-and-men-with-alexa-bluetooth-call-receive-text-1-8inches-smartwatch-black-and-white,Fashion,,,,Black,,1.28 ounces (36.29 grams),,Android-based (specific version not specified),,,WalkerFit,"Weather Forecast, Activity Tracker, Camera, Phone Call, Shockproof",,1.4 Inches (3.6 cm),,,,,1.4 Inches (3.6 cm),Lithium Polymer,,,A2 Pro,,WalkerFit,,15-Apr-24,,,,,,,,,,10 x 2.01 x 0.4 inches (25.4 x 5.1 x 1 cm),B0CZNNC2T8,USB,A2 Pro,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
Smartwatch for Men Fitness Tracker Watch Smart Watch with Answer/Make Call Heart ...,MAD 876,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MVD9LO7JU-smartwatch-for-men-fitness-tracker-watch-smart-watch-with-answer-make-call-heart-rate-blood-pressure-sleep-monitor-step-counter-100-sports-modes,Fashion,,,,Black,,1.28 ounces (36.29 grams),,Android-based (specific version not specified),,,WalkerFit,"Weather Forecast, Activity Tracker, Camera, Phone Call, Shockproof",,1.4 Inches (3.6 cm),,,,,1.4 Inches (3.6 cm),Lithium Polymer,,,A2 Pro,,WalkerFit,,15-Apr-24,,,,,,,,,,10 x 2.01 x 0.4 inches (25.4 x 5.1 x 1 cm),B0CZNNC2T8,USB,A2 Pro,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smart Watches for Men- Answer/Dial Calls,Waterproof Fitness Watch 150+ Sport Modes ...",MAD 535,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JSJK09HX6-android-smart-watches-for-men-smart-watch-for-women-men-reloj-inteligente-para-hombre-waterproof-fitness-tracker-150-sport-modes-smartwatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch Smartwatch 1.85"" Large Display, Fitness Call Music Password Lock Screen ...",MAD 275,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IE9KZ8TUI-taihom-electric-smart-watch-smartwatch-1-85-large-display-fitness-call-music-password-lock-screen-waterproof-smart-watches-mens-women-for,,‎2 year manufacturer,,,,,‎6.4 ounces,,"iOS, Android",3E+2 Milliamp Hours,,SGDDFIT,Heart Rate Monitor,,1.28 Inches (3.3 cm),,,‎Bluetooth,‎Touchscreen,,Lithium Ion,‎10 days,Bluetooth,,,SGDDFIT,‎1.28 Inches,4-Feb-24,,,‎5.59 x 3.5 x 0.94 inches,,‎China,,,,,,B0CTYM8RG3,Bluetooth,Smart Watch (Answer/Make Calls) for Women with Alexa Built-in,,,‎1 Lithium Ion batteries required. (included),Round,1/29/2025 22:27
"Smartwatch for Men Fitness Watch - 1.43"" Amoled Touchscreen Smart Watch Answer/Make ...",MAD 1013,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MKTIHN22I-smartwatch-for-men-fitness-watch-1-43-amoled-touchscreen-smart-watch-answer-make-call-with-heart-rate-blood-pressure-sleep-monitor-fitness,,‎2 year manufacturer,,,,,‎6.4 ounces,,"iOS, Android",3E+2 Milliamp Hours,,SGDDFIT,Heart Rate Monitor,,1.28 Inches (3.3 cm),,,‎Bluetooth,‎Touchscreen,,Lithium Ion,‎10 days,Bluetooth,,,SGDDFIT,‎1.28 Inches,4-Feb-24,,,‎5.59 x 3.5 x 0.94 inches,,‎China,,,,,,B0CTYM8RG3,Bluetooth,Smart Watch (Answer/Make Calls) for Women with Alexa Built-in,,,‎1 Lithium Ion batteries required. (included),Round,1/29/2025 22:26
"Smart Watch Answer/Make Call & Alexa with 1.38'' Round Rotating Crown, Fitness ...",MAD 330,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/I81NQ68CY-smart-watch-answer-make-call-alexa-with-1-38-x27-x27-round-rotating-crown-fitness-tracker-with-spo2-heart-rate-sleep-monitor-100-sports,,‎2 year manufacturer,,,,,‎6.4 ounces,,"iOS, Android",3E+2 Milliamp Hours,,SGDDFIT,Heart Rate Monitor,,1.28 Inches (3.3 cm),,,‎Bluetooth,‎Touchscreen,,Lithium Ion,‎10 days,Bluetooth,,,SGDDFIT,‎1.28 Inches,4-Feb-24,,,‎5.59 x 3.5 x 0.94 inches,,‎China,,,,,,B0CTYM8RG3,Bluetooth,Smart Watch (Answer/Make Calls) for Women with Alexa Built-in,,,‎1 Lithium Ion batteries required. (included),Round,1/29/2025 22:26
"MIDDOW Men's Smart Watch with Earbuds Make/Answer Calls, Fitness Tracker and Sleep ...","MAD 1149                                                                        
                                                                            1792",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JUKVLVMG4-military-smart-watch-with-earbuds-for-men-round-1-53-hd-big-screen-make-answer-calls-fitness-tracker-with-sleep-monitor-100-sports-modes-for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch for Men WomenAnswer/Make Call, Smartwatches with Heart ...",MAD 740,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MEA8YC6GG-smart-watch-for-men-women-answer-make-call-smartwatches-with-heart-rate-spo2-slee,,,,,,128 MB,4.2 ounces (119.07 grams),No GPS,smart phone with iOS 8.0 or above and Android 5.0 or above.,350 Milliamp Hours,,,"Activity Tracker,Alarm Clock, Calendaring, Camera, Activity Tracking, Daily Workout Memory, Lightweight, Multisport Tracker, Music Player, Notifications, Phone Call, Sedentary Reminder, Text Messaging, Time Display, Touchscreen, Voice Call, Voice Control, Weather Forecast    See more",,2.01 Inches (5.1 cm),,,,,2.01 Inches (5.1 cm),Lithium Polymer,,Bluetooth,P68,,Odsslgw,,4-Sep-24,,,6.54 x 3.03 x 1.06 inches (16.6 x 7.7 x 2.7 cm),,China,,,,,,B0DG2TJFSB,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Rectangular,1/29/2025 22:26
"Smart Watch Answer/Make Calls for Women with Alexa Built-in, Smartwatch for Android ...",MAD 1013,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IQAD7U0KK-smart-watch-answer-make-calls-for-women-with-alexa-built-in-smartwatch-for-android-iphone-1-38-activity-tracker-with-heart-rate-sleep-spo2,,,,,,128 MB,4.2 ounces (119.07 grams),No GPS,smart phone with iOS 8.0 or above and Android 5.0 or above.,350 Milliamp Hours,,,"Activity Tracker,Alarm Clock, Calendaring, Camera, Activity Tracking, Daily Workout Memory, Lightweight, Multisport Tracker, Music Player, Notifications, Phone Call, Sedentary Reminder, Text Messaging, Time Display, Touchscreen, Voice Call, Voice Control, Weather Forecast    See more",,2.01 Inches (5.1 cm),,,,,2.01 Inches (5.1 cm),Lithium Polymer,,Bluetooth,P68,,Odsslgw,,4-Sep-24,,,6.54 x 3.03 x 1.06 inches (16.6 x 7.7 x 2.7 cm),,China,,,,,,B0DG2TJFSB,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Rectangular,1/29/2025 22:26
"Smart Watch for Men Alexa Built-in, 44mm Fitness Tracker with Answer/Make Calls, ...",MAD 384,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FG1JTFKK0-toobur-smart-watch-for-men-alexa-built-in-44mm-fitness-tracker-with-answermake-calls-ip68-waterproofheart-rateblood-oxygensleep-tracker100-sports,,,,,,128 MB,4.2 ounces (119.07 grams),No GPS,smart phone with iOS 8.0 or above and Android 5.0 or above.,350 Milliamp Hours,,,"Activity Tracker,Alarm Clock, Calendaring, Camera, Activity Tracking, Daily Workout Memory, Lightweight, Multisport Tracker, Music Player, Notifications, Phone Call, Sedentary Reminder, Text Messaging, Time Display, Touchscreen, Voice Call, Voice Control, Weather Forecast    See more",,2.01 Inches (5.1 cm),,,,,2.01 Inches (5.1 cm),Lithium Polymer,,Bluetooth,P68,,Odsslgw,,4-Sep-24,,,6.54 x 3.03 x 1.06 inches (16.6 x 7.7 x 2.7 cm),,China,,,,,,B0DG2TJFSB,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Rectangular,1/29/2025 22:26
"Smart Watch for women menAnswer/Make Calls2.01 ,Smart Watches for iOS and Android ...",MAD 220,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JMZLJPX40-smart-watch-for-women-men-answer-make-calls-2-01-smart-watches-for-ios-and-android-phones-ip67-waterproof-smartwatch-fitness-watch-with-heart-rate,,,,,,,2.89 ounces (81.93 grams),Built-in GPS,Wear OS,230 Milliamp Hours,,XGVIEGZ,"Alarm Clock, Heart rate and blood oxygen monitoring, Waterproof, Bluetooth call, pedometer, sleep monitoring, calorie detection, distance recording, voice assistant, music playback, real-time weather, GPS    See more",,2.01 Inches (5.1 cm),,,,,2.01 Inches (5.1 cm),Lithium Polymer,,Bluetooth,Z49,,ShenZhenShiXinHeFengShiYeYouXianGongSi,,13-May-24,,,5.39 x 3.5 x 1.26 inches (13.7 x 8.9 x 3.2 cm),,China,,,,,,B0D41ZT8H6,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Rectangular,1/29/2025 22:26
Smart Watch for Women Fitness Tracker Make/Answer Call Smart Watches for Women ...,MAD 1013,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/ML6T24VY2-smart-watch-for-women-fitness-tracker-make-answer-call-smart-watches-for-women-waterproof-digital-mens-watches-running-smartwatch-android-phone,,,,,,,2.89 ounces (81.93 grams),Built-in GPS,Wear OS,230 Milliamp Hours,,XGVIEGZ,"Alarm Clock, Heart rate and blood oxygen monitoring, Waterproof, Bluetooth call, pedometer, sleep monitoring, calorie detection, distance recording, voice assistant, music playback, real-time weather, GPS    See more",,2.01 Inches (5.1 cm),,,,,2.01 Inches (5.1 cm),Lithium Polymer,,Bluetooth,Z49,,ShenZhenShiXinHeFengShiYeYouXianGongSi,,13-May-24,,,5.39 x 3.5 x 1.26 inches (13.7 x 8.9 x 3.2 cm),,China,,,,,,B0D41ZT8H6,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Rectangular,1/29/2025 22:26
"Smart Watch for women menAnswer/Make Calls2.01 ,Smart Watches for iOS and Android ...",MAD 220,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JNN8CTF16-smart-watch-for-women-men-answer-make-calls-2-01-smart-watches-for-ios-and-android-phones-ip67-waterproof-smartwatch-fitness-watch-with-heart-rate,,,,,,,2.89 ounces (81.93 grams),Built-in GPS,Wear OS,230 Milliamp Hours,,XGVIEGZ,"Alarm Clock, Heart rate and blood oxygen monitoring, Waterproof, Bluetooth call, pedometer, sleep monitoring, calorie detection, distance recording, voice assistant, music playback, real-time weather, GPS    See more",,2.01 Inches (5.1 cm),,,,,2.01 Inches (5.1 cm),Lithium Polymer,,Bluetooth,Z49,,ShenZhenShiXinHeFengShiYeYouXianGongSi,,13-May-24,,,5.39 x 3.5 x 1.26 inches (13.7 x 8.9 x 3.2 cm),,China,,,,,,B0D41ZT8H6,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Rectangular,1/29/2025 22:26
"Smart Watch for Men WomenAnswer/Make Call, Smartwatches with Heart ...",MAD 740,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MEANNW6E2-smart-watch-for-men-women-answer-make-call-smartwatches-with-heart-rate-spo2-sleep-stress-monitor-ip68-waterproof-activity-tracker-for-android,,,,,,,2.89 ounces (81.93 grams),Built-in GPS,Wear OS,230 Milliamp Hours,,XGVIEGZ,"Alarm Clock, Heart rate and blood oxygen monitoring, Waterproof, Bluetooth call, pedometer, sleep monitoring, calorie detection, distance recording, voice assistant, music playback, real-time weather, GPS    See more",,2.01 Inches (5.1 cm),,,,,2.01 Inches (5.1 cm),Lithium Polymer,,Bluetooth,Z49,,ShenZhenShiXinHeFengShiYeYouXianGongSi,,13-May-24,,,5.39 x 3.5 x 1.26 inches (13.7 x 8.9 x 3.2 cm),,China,,,,,,B0D41ZT8H6,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Rectangular,1/29/2025 22:26
"Smart Watch for women menAnswer/Make Calls2.01 ,Smart Watches for iOS and Android ...",MAD 220,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JSL6VBARC-smart-watch-for-women-menanswermake-calls2-01-smart-watches-for-ios-and-android-phones-ip67-waterproof-smartwatch-fitness-watch-with-heart-rate-sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smartwatch for Men Fitness Watch 1.43"" Amoled Touchscreen Smart Watch Answer/Make ...","MAD 603                                                                        
                                                                            740",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JSTJKO2KO-smartwatch-for-men-fitness-watch-1-43-amoled-touchscreen-smart-watch-answer-make-call-with-heart-rate-blood-pressure-sleep-monitor-100-sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
Smart Watch for WomenMake/Answer Call Fitness Tracker for iOS Android Phones ...,"MAD 740                                                                        
                                                                            876",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MDXOU8OJG-smart-watch-for-women-make-answer-call-fitness-tracker-for-ios-android-phones-smartwatch-with-pedometer-heart-rate-sleep-monitor-ai-voice-control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch for MenAnswer/Make Calls,2.01"" Activity Trackers with Heart Rate/Sleep ...",MAD 1012,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IDZ0QOS2A-smart-watch-for-men-answer-make-calls-2-01-activity-trackers-with-heart-rate-sleep-monitor-steps-calories-counter-100-sports-modes-ip68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch for Women with Diamond Jewelry Watchband, Alexa Built-in, IP68 ...",MAD 1149,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MR0P2TJ74-smart-watch-for-women-with-diamond-jewelry-watchband-alexa-built-in-ip68-waterproof-activity-fitness-tracker-with-bluetooth-call-1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch for Men Women, 1.57"" Smartwatch Answer/Make Call , Fitness Tracker with ...",MAD 603,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MXKQHB8S4-smart-watch-for-men-women-1-57-smartwatch-answer-make-call-fitness-tracker-with-110-sport-modes-heart-rate-sleep-monitor-ip68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch for Men Women Answer/Make Calls, 1.83"" Smartwatch with Heart Rate SpO2 ...",MAD 466,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/ME1HOZOSQ-smart-watch-for-men-women-answer-make-calls-1-83-smartwatch-with-heart-rate-spo2-sleep-monitor-ip67-waterproof-fitness-activity-tracker,,,,,,30 MB,3.52 ounces (99.79 grams),No GPS,Android,220 Milliamp Hours,,,Sedentary Reminder,,2.09 Inches (5.3 cm),,,,,2.09 Inches (5.3 cm),Lithium Ion,,Bluetooth,HY2473B3,,Hyglewy,,24-Dec-23,,,,,China,,,,,7.8 x 2.7 x 1.4 inches (19.8 x 6.9 x 3.6 cm),B0CQW96DBP,Bluetooth,,,,1 Lithium Ion batteries required. (included),Round,1/29/2025 22:26
"Smart Watch for Women Answer/Make Calls, 1.96"" HD Fitness Watch with Heart Rate ...","MAD 453                                                                        
                                                                            1833",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MWLY16KFU-togala-smart-watch-for-men-women-answer-make-call-hd-smartwatch-fitness-activity-tracker-sports,,,,,,30 MB,3.52 ounces (99.79 grams),No GPS,Android,220 Milliamp Hours,,,Sedentary Reminder,,2.09 Inches (5.3 cm),,,,,2.09 Inches (5.3 cm),Lithium Ion,,Bluetooth,HY2473B3,,Hyglewy,,24-Dec-23,,,,,China,,,,,7.8 x 2.7 x 1.4 inches (19.8 x 6.9 x 3.6 cm),B0CQW96DBP,Bluetooth,,,,1 Lithium Ion batteries required. (included),Round,1/29/2025 22:26
"Smart Watch for Men WomenAnswer/Make Call, Smartwatches with Heart ...",MAD 740,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MEAMJLIXM-smart-watch-for-men-women-answer-make-call-smartwatches-with-heart-rate-spo2-sleep-stress-monitor-ip68-waterproof-activity-tracker-for-android,,,,,,30 MB,3.52 ounces (99.79 grams),No GPS,Android,220 Milliamp Hours,,,Sedentary Reminder,,2.09 Inches (5.3 cm),,,,,2.09 Inches (5.3 cm),Lithium Ion,,Bluetooth,HY2473B3,,Hyglewy,,24-Dec-23,,,,,China,,,,,7.8 x 2.7 x 1.4 inches (19.8 x 6.9 x 3.6 cm),B0CQW96DBP,Bluetooth,,,,1 Lithium Ion batteries required. (included),Round,1/29/2025 22:26
"Smart Watch for women menAnswer/Make Calls2.01 ,Smart Watches for iOS and Android ...",MAD 220,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JMAF7AAU0-smart-watch-for-women-men-answer-make-calls-2-01-smart-watches-for-ios-and-android-phones-ip67-waterproof-smartwatch-fitness-watch-with-heart-rate,,,,,,,8.4 ounces (238.14 grams),GPS Via Smartphone,"Android Wear"" or ""Wear OS",3.3E+2 Milliamp Hours,,BANGWEI,"Notifications, Bluetooth Calling",,1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,ST2-A PRO-XYX,,BANGWEI,,27-Dec-23,,,8.03 x 3.82 x 0.94 inches (20.4 x 9.7 x 2.4 cm),,,,,,,,B0CR1M7RG7,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:27
