Category,Title,Price,Screen_Size_in,Aspect_Ratio,Refresh_Rate_Hz,Response_Time_ms,Brand,Model,Collection Date
Gaming Monitors,Samsung Odyssey G3 S24AG300 24 16.7M,273.54,24.0,16:9,144.0,1.0,Samsung,Odyssey G3 S24AG300,2025-01-28 17:21:54
Gaming Monitors,SAMSUNG 34 Odyssey G5 Ultra-Wide LC34G55TWWNXZA,274.99,34.0,21:9,165.0,1.0,Samsung,Samsung Odyssey CG55,2025-01-28 17:19:00
Gaming Monitors,UPERFECT 2K Portable 16 Portable Monitor ...,278.32,10.1,,120.0,1.0,UPERFECT,,2025-01-28 17:19:05
Gaming Monitors,GreenTouch Touch Screen Monitor Open Frame Touch Monitor USB DVI VGA,279.0,10.1,5:4,60.0,10.0,GreenTouch,,2025-01-28 17:22:10
Gaming Monitors,16 2.5k Portable Monitor 25601600 Travel Gaming Display Laptop Switch,279.99,16.0,,144.0,3.0,Unbranded,,2025-01-28 17:19:49
Gaming Monitors,13.3in Multi-screen Portable Three screen Foldable triple Monitor 19201200,280.0,13.3,,60.0,1.0,JWEIBK,,2025-01-28 17:20:08
Gaming Monitors,GIGABYTE G27FC 27 G27FC Monitor,282.9,27.0,16:9,165.0,1.0,GIGABYTE,,2025-01-28 17:21:53
Gaming Monitors,MSI G24C6P E2 LED Anti-Glare Monitor Black,283.43,24.0,16:9,180.0,1.0,MSI,G24C6P E2,2025-01-28 17:19:00
Gaming Monitors,Dual Screen 15.6 Folding Monitor Dual Portable Display Extender W Stand Used,285.19,15.6,,60.0,3.0,Unbranded,,2025-01-28 17:20:07
Gaming Monitors,SAMSUNG 24 Class Full 1920 x 1080 FreeSync,290.0,24.0,,144.0,1.0,Samsung,,2025-01-28 17:20:52
Gaming Monitors,New LG UltraGear 27 Class 27GR75Q-B.AUS,299.95,27.0,16:9,165.0,1.0,LG,,2025-01-28 17:22:16
Gaming Monitors,Crossover Q27LGD4W White Bezel-less 27 Monitor,299.99,27.0,16:9,75.0,5.0,Crossover,Q27LGD4W IPS QHD White Bezel-less,2025-01-28 17:19:36
Gaming Monitors,LG LED Smart TV 34 Ultragear 3440 x 1440 Nano Display,300.0,34.0,21:9,144.0,1.0,LG,UltraGear 27GP950-B,2025-01-28 17:22:18
Gaming Monitors,Crossover 27LGD4IPS DCI-P3 Bezelless 27 Monitor G-Sync 2560 x 1440,304.28,27.0,16:9,75.0,5.0,Crossover,27LGD4IPS QHD DCI-P3 Bezelless,2025-01-28 17:21:32
Gaming Monitors,Crossover 27GFA9 FAST IPS180 White Gaming 27 Monitor Perfect pixel,309.99,27.0,16:9,144.0,1.0,Crossover,27GFA9 FAST IPS180 White Gaming,2025-01-28 17:20:34
Gaming Monitors,AOC 24G2SPAEBK LED Anti-Glare Monitor Black,321.93,23.8,16:9,165.0,4.0,AOC,24G2SPAE/BK,2025-01-28 17:21:58
Gaming Monitors,LG 34-Inch 3440 x 1440 G-Sync Ultra Wide 34GP83A-B,329.0,34.0,21:9,160.0,1.0,LG,LG 34GP83A-B,2025-01-28 17:22:08
Gaming Monitors,Hansung TFG30F20W 200 Gaming White 30 Monitor Perfect Pixel,335.86,30.0,21:9,200.0,1.0,Hansung Computer,TFG30F20W Ultrawide 200 Gaming,2025-01-28 17:21:04
Gaming Monitors,Samsung Odyssey G3 S27AG320 27 30001,336.14,27.0,16:9,165.0,1.0,Samsung,Odyssey G3 S27AG320,2025-01-28 17:22:09
Gaming Monitors,Acer ConceptD CP5 CP5271U 27 169 LED LCD Monitor with Built-In,348.01,27.0,16:9,144.0,1.0,Acer,Acer ConceptD CP5 CP5271U,2025-01-28 17:19:52
Gaming Monitors,Samsung Odyssey G3 S24DG304 24 169 1920 x 1080,349.99,24.0,16:9,180.0,1.0,Samsung,16:9,2025-01-28 17:21:44
Gaming Monitors,EIZO FORIS FS2434 24-inch wide Black,356.36,24.0,,,1.0,EIZO,FS2434,2025-01-28 17:21:11
Gaming Monitors,EIZO FORIS FS2434 23.8-inch wide TFT Black,356.36,23.8,,,1.0,EIZO,FS2434,2025-01-28 17:21:37
Gaming Monitors,AOC 24G2SAEBK LED Anti-Glare Monitor Black,359.03,23.8,16:9,165.0,1.0,AOC,24G2SAE/BK,2025-01-28 17:20:54
Gaming Monitors,Asus VG248QG 24 G-Sync Compatible Full 1080P DP,360.23,24.0,16:9,165.0,0.5,ASUS,VG248QG,2025-01-28 17:21:49
Gaming Monitors,Samsung Odyssey G4 S25BG400 25 Monitor G-Sync 10 sRGB 99,365.82,25.0,16:9,240.0,1.0,Samsung,Odyssey G4 S25BG400,2025-01-28 17:19:39
Gaming Monitors,LG 29WK500 29 219 2K25601080 Full Monitor with AMD FreeSync,368.0,27.0,21:9,75.0,5.0,LG,29WK500-P,2025-01-28 17:22:11
Gaming Monitors,ASUSTek TUF Gaming VG279Q1R Full 274,394.78,27.0,,144.0,1.0,ASUS,,2025-01-28 17:21:21
Gaming Monitors,ASUS TUF Gaming VG30VQL1A 29.5 2560 x 1080 WFHD Monitor,398.0,29.5,21:9,200.0,1.0,ASUS,ASUS TUF Gaming VG30VQL1A,2025-01-28 17:18:59
Gaming Monitors,GreenTouch Touch Screen Monitor Open Frame Touch Monitor USB DVI VGA,398.0,15.0,4:3,,5.0,GreenTouch,GT-TM-1502C,2025-01-28 17:19:23
Gaming Monitors,AOC Display C27G2ZE11 wide 15 572,399.19,25.4,,240.0,1.0,AOC,,2025-01-28 17:22:30
Gaming Monitors,BenQ ZOWIE XL2411P Eyecare Gaming 24 Monitor,399.99,24.0,16:9,144.0,1.0,BenQ,XL2411P,2025-01-28 17:19:59
Gaming Monitors,NEW ASUS TUF Gaming 27 1440P Monitor VG27AQL3A,399.99,27.0,,180.0,1.0,ASUS,,2025-01-28 17:20:50
Gaming Monitors,LG 27GP950-B 27 UltraGear Nano G-Sync Monitor,400.0,27.0,16:9,144.0,1.0,LG,LG UltraGear 27GP950-B,2025-01-28 17:22:26
Gaming Monitors,ASUS ROG Swift PG27UQ 27 DP HDMI G-SYNC,400.0,27.0,16:9,144.0,4.0,ASUS,ROG Swift PG27UQ,2025-01-28 17:22:03
Gaming Monitors,SAMSUNG S5 S34C500 ViewFInity Monitor 34 21 9 3440 x 1440 AMD FreeSync,416.33,34.0,21 : 9,100.0,5.0,Samsung,S34C500,2025-01-28 17:21:54
Gaming Monitors,GreenTouch Touch Screen Monitor Open Frame Touch Monitor USB DVI VGA,429.0,19.0,4:3,60.0,5.0,GreenTouch,,2025-01-28 17:22:22
Gaming Monitors,Samsung Odyssey G3 S32DG300 32 Pivot Freesync,429.99,32.0,16:9,180.0,1.0,Samsung,S32DG300,2025-01-28 17:21:43
Gaming Monitors,SAMSUNG Odyssey G5 C34G55T 34 Ultra,452.19,34.0,21:9,165.0,1.0,Samsung,Odyssey G5 C34G55T,2025-01-28 17:22:07
Gaming Monitors,LG UltraGear 27GP750-B Full GtoG 464,454.9,27.0,,240.0,1.0,LG,,2025-01-28 17:19:48
Gaming Monitors,Samsung Odyssey OLEDG3 S27DG300 27 - Express Tracling,457.38,27.0,16:9,144.0,1.0,Samsung,SAMSUNG Odyssey OLED G3 S27AG300,2025-01-28 17:21:31
Gaming Monitors,Pixio PX259 Prime 791,466.57,24.0,,280.0,1.0,Pixio,,2025-01-28 17:22:21
Gaming Monitors,LG 27GR75Q UltraGear 27 G-SYNC AMD FreeSync,474.58,27.0,16 : 9,165.0,1.0,LG,27GR75Q,2025-01-28 17:22:27
Gaming Monitors,LG 27GP750 Ultra Gear 27 1920 x 1080 NVIDIA G-SYNC,477.85,27.0,16:9,240.0,1.0,LG,27GP750,2025-01-28 17:22:35
Gaming Monitors,32 Gaming LED Monitor Edge-Less AMD FreeSync DisplayPort DPHDMI,500.0,32.0,16:9,144.0,5.0,Xintai Touch,XT-CM3201W,2025-01-28 17:22:29
Gaming Monitors,32 Gaming LED Monitor Edge-Less AMD FreeSync DisplayPort DPHDMI,500.0,32.0,16:9,165.0,5.0,Xintai Touch,XT-CM3201W,2025-01-28 17:20:02
Gaming Monitors,SAMSUNG C34J791WTU 34 LED Monitor 2K Display,504.22,34.0,21:9,100.0,4.0,Samsung,C34J791WTU,2025-01-28 17:21:01
Gaming Monitors,AOC AGON PRO PD32M 31.5 169 Ultra LED,506.0,25.4,,144.0,1.0,AOC,,2025-01-28 17:19:47
Gaming Monitors,ASUS TUF Gaming VG30VQL1A Ultra Wide 415,553.0,27.0,,200.0,1.0,ASUS,,2025-01-28 17:22:03
Gaming Monitors,18.5 1080P Dual Touch Screen Extender Folding Portable Monitor For Laptop,560.44,18.5,,120.0,16.0,Wisecoco,,2025-01-28 17:21:33
Gaming Monitors,LG StanbyME GO Portable Wireless Touch Screen Display 27LX5QKNA New,569.0,27.0,,60.0,1.0,LG,27LX5QKNA,2025-01-28 17:20:43
Gaming Monitors,Bitm Newsync X400UHD Nature 40 Ordinary Product - Tracking,598.6,40.0,16 : 9,60.0,5.0,Bitm,Newsync X400UHD Nature HDR,2025-01-28 17:20:34
Gaming Monitors,MSI G321CU Gaming LED 31.5 1500R Display Port 2 HDM,629.99,31.5,16:9,144.0,1.0,MSI,"Lenovo G27qe-20, 27""",2025-01-28 17:20:30
Gaming Monitors,32-inch display aluminum alloy body MAC external expansion screen Typec,667.2,32.0,16:9,75.0,5.0,Fshuo,,2025-01-28 17:20:01
Gaming Monitors,EIZO FORIS FS2735 PC Black,835.97,27.0,,,1.0,EIZO,FS2735,2025-01-28 17:21:46
Gaming Monitors,ALIENWARE AW3225QF QD- 32 - - G-SYNC,899.66,32.0,21:9,240.0,4.0,Alienware,G-SYNC,2025-01-28 17:20:34
Gaming Monitors,ASUS PG32UQX 32 ROG Swift G-Sync 3840 x 2160 ...,943.95,24.0,,144.0,1.0,Ezy P.C. Sales,,2025-01-28 17:21:40
Gaming Monitors,NEW Samsung 57 Odyssey Neo G9 Quantum,1798.94,57.0,,240.0,1.0,Samsung,Samsung Odyssey Neo G9,2025-01-28 17:21:27
Gaming Monitors,nzxt gaming pc asus,2000.0,32.0,,165.0,1.0,ASUS,,2025-01-28 17:19:03
