title,price,image_url,product_url,Manufacturer,Colour,Model number,Graphics Card Description,Graphics processor manufacturer,Package Weight,Brand Name,Number of Processors,Country of Origin,Resolution,Memory Clock Speed,Series,Product Dimensions,Computer Memory Type,Graphics RAM size,Language,Graphics co-processor,Guaranteed software updates until,Package Dimensions,Card Description,Color,Graphics Ram Size,Graphics Card Ram Size,Item Dimensions  LxWxH,Compatible devices,Graphics Processor Manufacturer,GPU Clock Speed,Graphics Card Interface,Item Weight,ASIN,Included components,Item model number,Batteries,Video output interface,Graphics Coprocessor,Max Screen Resolution,Are Batteries Included,Processor,Voltage,Is Discontinued By Manufacturer,Operating System,Wattage,GPU clock speed,Memory Speed,Graphics Chipset Brand,Hardware Platform,Brand,Recommended uses for product,Number of Items,RAM,Video Output Interface,Form Factor,Graphics RAM type,Graphics RAM Type,Chipset Brand,Date First Available
"RX 580 Graphics Card 256bit 8GB GDDR5 Gaming Graphics Card with Cooling Fans, 16 ...",MAD 1963,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/7AFS8XMGO-rx-580-graphics-card-256bit-8gb-gddr5-gaming-graphics-card-with-dual-cooling-fans-16-pci-express-3-0-dp-hdml-dvi-plug-and-play-computer-graphics,EVGA,,,,,,,,,,,FBA_11G-P4-6393-KR,12.81 x 2.81 x 9.5 inches (32.5 x 7.1 x 24.1 cm),GDDR5X,,,,,,GeForce GTX 1080 Ti,black,11 GB,11 GB,12.81 x 2.81 x 9.5 inches (32.5 x 7.1 x 24.1 cm),,,1556 MHz,,3.26 pounds (1.48 kg),B06Y11DFZ3,,11G-P4-6393-KR,,,NVIDIA GeForce GTX 1080 Ti,,,,,No,,,,11000 MHz,,,EVGA,,,,HDMI,,,,NVIDIA,"April 3, 2017"
"EVGA GeForce GTX 1080 Ti SC Black Edition Gaming, 11GB GDDR5X, iCX Cooler & LED, ...","MAD 8050                                                                        
                                                                            10304",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/5C3YUM7L4-evga-geforce-gtx-1080-ti-sc-black-edition-gaming-11gb-gddr5x-icx-cooler-led-optimized-airflow-design-interlaced-pin-fin-graphics-card-11g-p4-6393-kr,ZOTAC,,,,,,,,,,,ZOTAC GAMING GeForce RTX 4070 Twin Edge OC,8.9 x 1.6 x 4.9 inches (22.6 x 4.1 x 12.4 cm),,,,,,,Dedicated,Black,12 GB,12 GB,8.9 x 1.6 x 4.9 inches (22.6 x 4.1 x 12.4 cm),,,2490 MHz,,2.46 pounds (1.12 kg),B0BZXMJMXZ,,ZT-D40700H-10M,,,GeForce RTX 4070,7680 x 4320,,,,,,,,21,,,ZOTAC,,,,"3 x DisplayPort 1.4a: 8K @ 60Hz, HDMI 2.1a: 8K @ 60 Hz",,,,NVIDIA,"April 13, 2023"
KAER NVIDIA Geforce GTX1060 Gaming Graphics Card PCIe 16 2.0  3G GDDR5 Memory  192 ...,MAD 1696,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JMZMDMY84-nvidia-geforce-gtx1060-gaming-graphics-card-pcie-16-2-0-3g-gddr5-memory-192-bit-or-pc-video-card-with-dual-fans-computer-gpu-with-dvi-hdmi-dp,ZOTAC,,,,,,,,,,,ZOTAC GAMING GeForce RTX 4070 AMP AIRO Spider-Man: Across the Spider-Verse,12.1 x 2.3 x 4.9 inches (30.7 x 5.8 x 12.4 cm),,,,,,,Dedicated,Gun Metal,12 GB,12 GB,12.1 x 2.3 x 4.9 inches (30.7 x 5.8 x 12.4 cm),,,2535 MHz,,5.48 pounds (2.49 kg),B0C3T6R25X,,ZT-D40700F-10SMP,,,GeForce RTX 4070,7680 x 4320,,,,,,,,21,,,ZOTAC,,,,"3 x DisplayPort 1.4a: 8K @ 60Hz, HDMI 2.1a: 8K @ 60 Hz",,,,NVIDIA,"April 27, 2023"
"GT610 2GB Graphics Card, 610 2G DDR3 64bit, Desktop Graphics Card for Business ...",MAD 490,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/CEAUCFC9I-dpofirs-gt610-2gb-graphics-card-gt-610-2g-ddr3-64bit-desktop-graphics-card-for-business-office-pci-e-1-1-x-16-dvi-vga-hdmis-pc-video-card,wsdhswhdhsdsds,,,,,,,,,,,,8.66 x 4.53 x 0.1 inches (22 x 11.5 x 0.3 cm),,,,,,,,,1 GB,,,,AMD,,,,B0D1QXXVG5,,,,,,,,,,,,,,,,,,,,,"VGA, DVI, HDMI",,,,,"April 15, 2024"
"EBTOOLS GT610 Graphics Card, 2GB 64bit DDR3 Computer Gaming Graphics Card, DVI VGA, ...",MAD 578,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/CLJC7SO0W-ebtools-gt610-graphics-card-2gb-64bit-ddr3-computer-gaming-graphics-card-hdmi-dvi-vga-pci-express-1-1-x-16-single-cooling-fan-for-computer,wsdhswhdhsdsds,,,,,,,,,,,,8.66 x 4.53 x 0.1 inches (22 x 11.5 x 0.3 cm),,,,,,,,,1 GB,,,,AMD,,,,B0D1QXXVG5,,,,,,,,,,,,,,,,,,,,,"VGA, DVI, HDMI",,,,,"April 15, 2024"
ZOTAC Gaming GeForce RTX 4070 Twin Edge OC DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE ...,MAD 10168,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/AWSD32X6Y-zotac-gaming-geforce-rtx-4070-twin-edge-oc-dlss-3-12gb-gddr6x-192-bit-21-gbps-pcie-4-0-compact-gaming-graphics-card-icestorm-2-0-advanced-cooling,wsdhswhdhsdsds,,,,,,,,,,,,8.66 x 4.53 x 0.1 inches (22 x 11.5 x 0.3 cm),,,,,,,,,1 GB,,,,AMD,,,,B0D1QXXVG5,,,,,,,,,,,,,,,,,,,,,"VGA, DVI, HDMI",,,,,"April 15, 2024"
ZOTAC Gaming GeForce RTX 4070 AMP AIRO Spider-Man Across The Spider-Verse Inspired ...,MAD 9789,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BNK6213KA-zotac-gaming-geforce-rtx-4070-amp-airo-spider-man-across-the-spider-verse-inspired-graphics-card-bundle-zt-d40700f-10smp,CUIFATI,,,,,,,,China,,,,,,,,,,10.87 x 6.65 x 2.05 inches (27.6 x 16.9 x 5.2 cm),,,8 GB,,,,,1665 MHz,,1.39 pounds (0.63 kg),B0BN8ZRNBM,,GeForce RTX 2060 SUPER,,,NVIDIA GeForce RTX 2060,,,,,,,,,,,,Cuifati,,,,"DisplayPort, DVI",,,,,"November 24, 2022"
Gaming GraphicsGraphics Card Professional Fit for GTX1050TI 1GB DDR5 Graphics Card ...,MAD 6793,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JTL8VJUOA-gaming-graphicsgraphics-card-professional-fit-for-gtx1050ti-1gb-ddr5-graphics-card-green-128bit-dvi-vga-gpu-game-video-card-for-pc-gaming,CUIFATI,,,,,,,,China,,,,,,,,,,10.87 x 6.65 x 2.05 inches (27.6 x 16.9 x 5.2 cm),,,8 GB,,,,,1665 MHz,,1.39 pounds (0.63 kg),B0BN8ZRNBM,,GeForce RTX 2060 SUPER,,,NVIDIA GeForce RTX 2060,,,,,,,,,,,,Cuifati,,,,"DisplayPort, DVI",,,,,"November 24, 2022"
"730 4GB DDR3 128 Bit Graphics Card, Low Computer PC Gaming Video Graphics Card GPU, ...",MAD 820,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FLZ5B6DRC-gt-730-4gb-ddr3-128-bit-graphics-card-computer-pc-gaming-video-graphics-card-gpu-hdmi-dvi-vga-pci-express-x16-2-0-cooling-fan-super-compact,CUIFATI,,,,,,,,China,,,,,,,,,,10.87 x 6.65 x 2.05 inches (27.6 x 16.9 x 5.2 cm),,,8 GB,,,,,1665 MHz,,1.39 pounds (0.63 kg),B0BN8ZRNBM,,GeForce RTX 2060 SUPER,,,NVIDIA GeForce RTX 2060,,,,,,,,,,,,Cuifati,,,,"DisplayPort, DVI",,,,,"November 24, 2022"
"EBTOOLS PC Graphics Card, GT610 1GB DDR3 Gaming Graphics Card, 64 Bit Game Graphics ...",MAD 550,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/EJRN3BMTK-ebtools-pc-graphics-card-gt610-1gb-ddr3-gaming-graphics-card-64-bit-game-graphics-card-with-silence-cooling-fan-support-dvi-vga-hdmi-interface-pci,Vbestlife,,,,,,,,China,,,,,,,,,,11.81 x 7.8 x 3.03 inches (30 x 19.8 x 7.7 cm),,,8 GB,,,,,1284 MHz,,1.96 pounds (0.89 kg),B0B917494Q,,Vbestlife3fca4bxzmt7761,,,AMD Radeon RX 580,,,,,,,,,,,,VBESTLIFE,,,,"DisplayPort, DVI, HDMI",,,,,"August 9, 2022"
"8G GDDR6 Graphics Card, RTX 2060 Super Gaming Graphics Card, 256Bit 14000MHz ...",MAD 5275,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/86ES1Z66O-8g-gddr6-graphics-card-geforce-rtx-2060-super-gaming-graphics-card-256bit-14000mhz-computer-graphics-card-dual-fan-pci-express-3-0-hdml-dvi-dp,Vbestlife,,,,,,,,China,,,,,,,,,,11.81 x 7.8 x 3.03 inches (30 x 19.8 x 7.7 cm),,,8 GB,,,,,1284 MHz,,1.96 pounds (0.89 kg),B0B917494Q,,Vbestlife3fca4bxzmt7761,,,AMD Radeon RX 580,,,,,,,,,,,,VBESTLIFE,,,,"DisplayPort, DVI, HDMI",,,,,"August 9, 2022"
"VBESTLIFE RX 580 Graphics Card, 8GB GDDR5 256Bit Gaming Graphics Card, PCI Express ...",MAD 1928,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/7AFS8XQW2-vbestlife-rx-580-graphics-card-8gb-gddr5-256bit-gaming-graphics-card-pci-express-3-0x16-3-displayport-hdmi-dvi-dual-air-cooling-pc-video-cards-4k,Vbestlife,,,,,,,,China,,,,,,,,,,11.81 x 7.8 x 3.03 inches (30 x 19.8 x 7.7 cm),,,8 GB,,,,,1284 MHz,,1.96 pounds (0.89 kg),B0B917494Q,,Vbestlife3fca4bxzmt7761,,,AMD Radeon RX 580,,,,,,,,,,,,VBESTLIFE,,,,"DisplayPort, DVI, HDMI",,,,,"August 9, 2022"
"HD7670 4GB GDDR5 Graphics Card, Video Cards for Computer, Gaming Graphics Card for ...",MAD 648,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/J41DFB6TC-qanyegn-hd7670-4gb-gddr5-graphics-card-video-cards-for-computer-gaming-graphics-card-for-directx-11-pci-express-x16-2-1,ZOTAC,,,,,,,,,,,,11 x 8.5 x 3.25 inches (27.9 x 21.6 x 8.3 cm),,,,,,,,,2 GB,2 GB,11 x 8.5 x 3.25 inches (27.9 x 21.6 x 8.3 cm),,,1177 MHz,,2 pounds (0.91 kg),B00SIOOLS2,,ZT-90301-10M,,,Nvidia GeForce,2560 x 1600,,,,No,Windows 10 / 8 / 7 / Vista / XP,,,7010 MHz,,,ZOTAC,,,2 GB,"DisplayPort, DVI, HDMI",,,,NVIDIA,"January 21, 2015"
AMD RX 560 Graphics Card 4 GB GDDR5 Outperforms GT 1030 by 75% RX 550 by 40% 896SP ...,MAD 1546,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M7696YVMU-amd-rx-560-graphics-card-4-gb-gddr5-outperforms-gt-1030-by-75-rx-550-by-40-896sp-128bit-1176-1500-mhz-core-mem-dp-hdmi-dvi-pci-e-3-0-no-power-cable,ZOTAC,,,,,,,,,,,,11 x 8.5 x 3.25 inches (27.9 x 21.6 x 8.3 cm),,,,,,,,,2 GB,2 GB,11 x 8.5 x 3.25 inches (27.9 x 21.6 x 8.3 cm),,,1177 MHz,,2 pounds (0.91 kg),B00SIOOLS2,,ZT-90301-10M,,,Nvidia GeForce,2560 x 1600,,,,No,Windows 10 / 8 / 7 / Vista / XP,,,7010 MHz,,,ZOTAC,,,2 GB,"DisplayPort, DVI, HDMI",,,,NVIDIA,"January 21, 2015"
"Dpofirs 730 Gaming Graphics Card, 4G DDR3B 128bit Graphics Card with Cooling Fan ...",MAD 821,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/ICB2OWYOC-dpofirs-gt-730-gaming-graphics-card-4g-ddr3b-128bit-graphics-card-with-cooling-fan-support-vga-dvi-hd-multimedia-interface-gaming-graphics-cards,ZOTAC,,,,,,,,,,,,11 x 8.5 x 3.25 inches (27.9 x 21.6 x 8.3 cm),,,,,,,,,2 GB,2 GB,11 x 8.5 x 3.25 inches (27.9 x 21.6 x 8.3 cm),,,1177 MHz,,2 pounds (0.91 kg),B00SIOOLS2,,ZT-90301-10M,,,Nvidia GeForce,2560 x 1600,,,,No,Windows 10 / 8 / 7 / Vista / XP,,,7010 MHz,,,ZOTAC,,,2 GB,"DisplayPort, DVI, HDMI",,,,NVIDIA,"January 21, 2015"
Computer Upgrade King PNY NVD GeForce RTX 3070 XLR8 Gaming GPU Epic-X RGB Triple ...,MAD 5249,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8M4FVJ6V8-computer-upgrade-king-tuf-gaming-nvidia-geforce-rtx-3080-gddr6x-gamer-graphics-card-pcie-4-0-gpu-tuf-rtx3080-10g-made-by-asus,ASHATA,,,,,,,,China,,,,,,,,,,13.46 x 7.99 x 2.44 inches (34.2 x 20.3 x 6.2 cm),,,4 GB,,,,,993 MHz,,1.06 pounds (0.48 kg),B09NLV298B,,ASHATAy8t90id3zn621,,,AMD Radeon,,,,,,,,,,,,ASHATA,,,,DVI,,,,,"December 14, 2021"
ZOTAC GeForce GTX 960 2GB GDDR5 PCI Express 3.0 HDMI DVI DisplayPort SLI Ready ...,MAD 4019,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/3PFTXX1P4-zotac-geforce-gtx-pci-express,ASHATA,,,,,,,,China,,,,,,,,,,13.46 x 7.99 x 2.44 inches (34.2 x 20.3 x 6.2 cm),,,4 GB,,,,,993 MHz,,1.06 pounds (0.48 kg),B09NLV298B,,ASHATAy8t90id3zn621,,,AMD Radeon,,,,,,,,,,,,ASHATA,,,,DVI,,,,,"December 14, 2021"
NVIDIA Graphics Card J3G89AT,MAD 1944,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/12XJD6CS-nvidia-graphics-card-j3g89at,"Shenzhen IngenuitySuperior Digital Technology Co., Ltd",,,,,,,,China,,,,10.1 x 5 x 0.1 inches (25.7 x 12.7 x 0.3 cm),,,,,,,,,6 GB,,,,,1560 MHz,,2.45 pounds (1.11 kg),B0DBMR57QG,,,,,AMD Radeon RX 5600 XT,,,,,,,,,,,,Generic,,,,"DisplayPort, HDMI",,,,,"July 30, 2024"
ZOTAC Gaming GeForce RTX  3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE ...,MAD 6192,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/1BF2LB4JI-zotac-gaming-geforce-rtx-3060-ti-twin-edge-oc-lhr-8gb-gddr6-256-bit-14-gbps-pcie-4-0-gaming-graphics-card-icestorm-2-0-advanced-cooling-active-fan,"Shenzhen IngenuitySuperior Digital Technology Co., Ltd",,,,,,,,China,,,,10.1 x 5 x 0.1 inches (25.7 x 12.7 x 0.3 cm),,,,,,,,,6 GB,,,,,1560 MHz,,2.45 pounds (1.11 kg),B0DBMR57QG,,,,,AMD Radeon RX 5600 XT,,,,,,,,,,,,Generic,,,,"DisplayPort, HDMI",,,,,"July 30, 2024"
GT730 4G Multi Screen Graphics Card 4G 128bit DDR3 993/1600MHz 4 HDMI/VGA/DVI D 4K ...,MAD 2516,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/C0KR9V2F8-gt730-4g-multi-screen-graphics-card-4g-128bit-ddr3-993-1600mhz-4-hdmi-vga-dvi-d-4k-hdr-3d-directx-11-opengl-4-6-and-api-cuda-physx-fxaa-features-pcie,"Shenzhen IngenuitySuperior Digital Technology Co., Ltd",,,,,,,,China,,,,10.1 x 5 x 0.1 inches (25.7 x 12.7 x 0.3 cm),,,,,,,,,6 GB,,,,,1560 MHz,,2.45 pounds (1.11 kg),B0DBMR57QG,,,,,AMD Radeon RX 5600 XT,,,,,,,,,,,,Generic,,,,"DisplayPort, HDMI",,,,,"July 30, 2024"
"Zunate GT610 Graphic Card, 1GB DDR3 Graphics Card, 64 Bit Image Card Game Graphics ...",MAD 511,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/F4YZB8J6G-zunate-gt610-graphic-card-1gb-ddr3-graphics-card-64-bit-image-card-game-graphics-card-support-dvi-vga-hdmi-pci-express-x16-desktop-video-card-with,ZOTAC,,,,,,,,,,,ZOTAC GAMING GeForce RTX™ 3080 Ti AMP Extreme Holo,14.01 x 11.1 x 0.04 inches (35.6 x 28.2 x 0.1 cm),,,,,,,Dedicated,,12 GB,12 GB,14.01 x 11.1 x 0.04 inches (35.6 x 28.2 x 0.1 cm),,,1785 MHz,,12 ounces (340.2 grams),B09KVLCW4W,,ZT-A30810B-10P,,,NVIDIA GeForce RTX 3080 Ti,7680 x 4320,,,,,,,,19 GHz,,,ZOTAC,,,,"3 x DisplayPort 1.4a, 1 x HDMI 2.1",,,,NVIDIA,"May 20, 2022"
AMD RX 5600 XT Graphics Card 6 GB DDR6 Outperforms RTX 3050 by 13% GTX !660 Ti 15% ...,MAD 2776,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LZAFRNQ4W-amd-rx-5600-xt-graphics-card-6-gb-ddr6-outperforms-rtx-3050-by-13-gtx-660-ti-15-1660-super-21-pci-express-4-0-x16-3-dp-hdmi-4k,ZOTAC,,,,,,,,,,,ZOTAC GAMING GeForce RTX™ 3080 Ti AMP Extreme Holo,14.01 x 11.1 x 0.04 inches (35.6 x 28.2 x 0.1 cm),,,,,,,Dedicated,,12 GB,12 GB,14.01 x 11.1 x 0.04 inches (35.6 x 28.2 x 0.1 cm),,,1785 MHz,,12 ounces (340.2 grams),B09KVLCW4W,,ZT-A30810B-10P,,,NVIDIA GeForce RTX 3080 Ti,7680 x 4320,,,,,,,,19 GHz,,,ZOTAC,,,,"3 x DisplayPort 1.4a, 1 x HDMI 2.1",,,,NVIDIA,"May 20, 2022"
ZOTAC Gaming GeForce RTX 4070 Twin Edge OC GDDR6 DLSS 3 12GB GDDR6 192-bit 20 Gbps ...,"MAD 7162                                                                        
                                                                            7572",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MEN6PLSG8-gaming-geforce-rtx-4070-twin-edge-oc-gddr6-dlss-3-12gb-gddr6-192-bit-20-gbps-pcie-4-0-compact-sff-gaming-graphics-card-icestorm-2-0-advanced-cooling,PNY,,,,,,,,,,,RTX 4070 Ti OC,13.06 x 5.39 x 2.62 inches (33.2 x 13.7 x 6.7 cm),,,,,,,NVIDIA GeForce RTX 4070 Ti,,12 GB,12 GB,13.06 x 5.39 x 2.62 inches (33.2 x 13.7 x 6.7 cm),,,2,,3.44 pounds (1.56 kg),B0BQHWP6Q1,,VCG4070T12TFXXPB1-O,,,NVIDIA RTX 4070Ti,7680 x 4320 @120Hz,,,,,,,,2310 MHz,,PC,PNY,,,,HDMI,,,,NVIDIA,"January 5, 2023"
ZOTAC GeForce RTX  3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming ...,MAD 9621,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/1MY9YRY06-zotac-gaming-geforce-rtx-3070-ti-trinity-oc-8gb-gddr6x-256-bit,PNY,,,,,,,,,,,RTX 4070 Ti OC,13.06 x 5.39 x 2.62 inches (33.2 x 13.7 x 6.7 cm),,,,,,,NVIDIA GeForce RTX 4070 Ti,,12 GB,12 GB,13.06 x 5.39 x 2.62 inches (33.2 x 13.7 x 6.7 cm),,,2,,3.44 pounds (1.56 kg),B0BQHWP6Q1,,VCG4070T12TFXXPB1-O,,,NVIDIA RTX 4070Ti,7680 x 4320 @120Hz,,,,,,,,2310 MHz,,PC,PNY,,,,HDMI,,,,NVIDIA,"January 5, 2023"
ZOTAC Gaming GeForce RTX  3080 Ti AMP Extreme Holo 12GB GDDR6X 384-bit 19 Gbps PCIE ...,MAD 27234,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/53LIK5BYY-zotac-amp-extreme-holo-geforce-rtx-3080-ti-12gb-gddr6x-pci-express-4-0-atx-video-card-zt-a30810b-10p,CUIFATI,,,,,,,,China,,,,,,,,,,10.24 x 5.91 x 2.36 inches (26 x 15 x 6 cm),,,4 GB,,,,,775 MHz,,1.05 pounds (0.48 kg),B0CH5R6RZL,,Cuifatikgrn7sz25q-11,,,AMD Radeon HD 6770,,,,,,,,,,,,Cuifati,,,,"VGA, DVI",,,,,"September 2, 2023"
"4GB DDR5 Graphics Card, Desktop Computer Network Accessories PCIE 2.0 Gaming ...",MAD 814,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4JFU20A7S-4gb-ddr5-graphics-card-desktop-computer-network-accessories-pcie-2-0-gaming-graphics-card-128bit-hd6770-650mhz-gpu-for-gaming-pc,CUIFATI,,,,,,,,China,,,,,,,,,,10.24 x 5.91 x 2.36 inches (26 x 15 x 6 cm),,,4 GB,,,,,775 MHz,,1.05 pounds (0.48 kg),B0CH5R6RZL,,Cuifatikgrn7sz25q-11,,,AMD Radeon HD 6770,,,,,,,,,,,,Cuifati,,,,"VGA, DVI",,,,,"September 2, 2023"
PNY GeForce RTX 4070 Ti 12GB XLR8 Gaming Verto Epic-X RGB Overclocked Triple Fan ...,MAD 12465,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/88PPX4FIS-pny-geforce-rtx-4070-ti-12gb-xlr8-gaming-verto-epic-x-rgb-overclocked-triple-fan-graphics-card-dlss-3,CUIFATI,,,,,,,,China,,,,,,,,,,10.24 x 5.91 x 2.36 inches (26 x 15 x 6 cm),,,4 GB,,,,,775 MHz,,1.05 pounds (0.48 kg),B0CH5R6RZL,,Cuifatikgrn7sz25q-11,,,AMD Radeon HD 6770,,,,,,,,,,,,Cuifati,,,,"VGA, DVI",,,,,"September 2, 2023"
Graphics Card Radeon HD6770 4GB DDR5 Computer Graphics Card 128 bit 775MHz GPU for ...,MAD 824,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LSDI8VVVC-graphics-card-amd-radeon-hd6770-4gb-ddr5-computer-graphics-card-128-bit-775mhz-gpu-for-directx-11-with-pci-express-2-0-dvi-vga-hdml-video-card-for-pc,VBESTLIFE,,,,,,,,China,,,,,,,,,,10.63 x 5.91 x 2.36 inches (27 x 15 x 6 cm),,,8 GB,,,,,1 32nds,,1.98 pounds (0.9 kg),B0CSFFN1VQ,,VBESTLIFE8tm9rzafcd-11,,,AMD Radeon RX 580,,,,,,,,,,,,VBESTLIFE,,,,DisplayPort,,,,,"January 16, 2024"
"Computer Graphics Card, 1GB 64bit GDDR3 589MHz 1000MHz PCIE 2.0 Gaming Graphics ...",MAD 565,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/884J7VO40-computer-graphics-card-1gb-64bit-gddr3-589mhz-1000mhz-pcie-2-0-gaming-graphics-cards-with-hd-mi-dvi-vga-interface-single-cooling-fan-for,VBESTLIFE,,,,,,,,China,,,,,,,,,,10.63 x 5.91 x 2.36 inches (27 x 15 x 6 cm),,,8 GB,,,,,1 32nds,,1.98 pounds (0.9 kg),B0CSFFN1VQ,,VBESTLIFE8tm9rzafcd-11,,,AMD Radeon RX 580,,,,,,,,,,,,VBESTLIFE,,,,DisplayPort,,,,,"January 16, 2024"
"VBESTLIFE RX 580 Graphics Card, 256 Bit 8GB GDDR5 Computer Gaming Graphics Cards ...",MAD 1969,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IW5GXIDK4-rx-580-graphics-card-256-bit-8gb-gddr5-computer-gaming-graphics-cards-with-dp-hdmi-dvi-16-pci-express-3-0-support-4k-60hz-hd-dual-fans-for-pc,ASUS,,,,,,,,,,,,,,,,,,,"NVIDIA GeForce RTX 3060 with 12GB GDDR6 memory, featuring NVIDIA Ampere Streaming Multiprocessors, 2nd Generation RT Cores, and 3rd Generation Tensor Cores",,12 GB,12 GB,,,NVIDIA,,,3.5 lbs (1.59 kg),B0B84VZG56,,,,,NVIDIA GeForce RTX 3060,7680x4320,,,,,,,,,,,ASUS,,,,HDMI,,,,NVIDIA,"July 30, 2022"
EVGA GeForce GT730 2GB DDR3 Graphics Card,MAD 2229,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/2ABST2FA-evga-geforce-gt730-2gb-ddr3-graphics-card,ASUS,,,,,,,,,,,,,,,,,,,"NVIDIA GeForce RTX 3060 with 12GB GDDR6 memory, featuring NVIDIA Ampere Streaming Multiprocessors, 2nd Generation RT Cores, and 3rd Generation Tensor Cores",,12 GB,12 GB,,,NVIDIA,,,3.5 lbs (1.59 kg),B0B84VZG56,,,,,NVIDIA GeForce RTX 3060,7680x4320,,,,,,,,,,,ASUS,,,,HDMI,,,,NVIDIA,"July 30, 2022"
GeForce GTX 1660 Super 6GB Graphics Card GDDR6 192 Bit PCI-e 3.0 x16 4 Monitors ...,MAD 2652,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M6GNC9NZ4-srhonyra-geforce-gtx-1660-super-6gb-graphics-card-gddr5-192-bit-pci-e-3-0-x16-4-monitors-video-card-support-directx-12-opengl4-5-hdmi-and,ASUS,,,,,,,,,,,,,,,,,,,"NVIDIA GeForce RTX 3060 with 12GB GDDR6 memory, featuring NVIDIA Ampere Streaming Multiprocessors, 2nd Generation RT Cores, and 3rd Generation Tensor Cores",,12 GB,12 GB,,,NVIDIA,,,3.5 lbs (1.59 kg),B0B84VZG56,,,,,NVIDIA GeForce RTX 3060,7680x4320,,,,,,,,,,,ASUS,,,,HDMI,,,,NVIDIA,"July 30, 2022"
