title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Part Number,Memory,VGA/D-SUB Output,DVI and HDMI Interface,Other Interface,Dimensions,Weight,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Power Supply Required,Processors and Cores,Graphics Technologies Supported,Memory Bandwidth,Shader,Cooling and Heatsink,HD Content Support,Maximum Resolution,Supported OS,GPU Manufacturing Process,3D Support,Mini HDMI,Other System Requirements,RAMDAC Clock Speed,Software Included,Additional Features
ZOTAC NVIDIA Geforce GTX 1050 Ti 4 GB GDDR5 Graphics Ca...,"₹17,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/jwcf9u80/graphics-card/c/t/w/zotac-geforce-gtx-1050-ti-original-imafh2436uvfuajk.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gtx-1050-ti-4-gb-gddr5-graphics-card/p/itmb5cf417f81d66?pid=GRCFH225TH3NJCTW&lid=LSTGRCFH225TH3NJCTW9FNHTT&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_117&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCFH225TH3NJCTW.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,1 Graphic Card,ZOTAC,NVIDIA Geforce1050,1392 MHz,PCI Express,Geforce GTX 1050 Ti,ZT-P10510B-10L,"128-bit, 4 GB GDDR5 Memory",,,,,,"Standard Warranty: 2 years, Extended warranty: +3 years; Total Warranty: 5 years total",Warranty is covered on complete product.,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry in.� EMail ID :�technical@zotac.com,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:24:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:24:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹34,999",4.2,Data not available,https://rukminim2.flixcart.com/image/300/300/kwtkxow0/graphics-card/l/8/j/rtx-3070-twin-edge-oc-white-edition-lhr-zotac-original-imag9ez9crqgjmac.jpeg?q=90,URL not available,2025-02-08 16:24:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:24:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:25:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOTAC NVIDIA GAMING GeForce RTX 4070 Ti Trinity OC Whit...,"₹81,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/o/d/gaming-geforce-rtx-4070-ti-trinity-oc-white-edition-zotac-original-imagqcprqmmvyy7z.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-4070-ti-trinity-oc-white-12-gb-gddr6x-graphics-card/p/itmb6f9294b9390d?pid=GRCGQCPRMCUHYN8Y&lid=LSTGRCGQCPRMCUHYN8YHGRT4U&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_121&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGQCPRMCUHYN8Y.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,"ZOTAC GAMING GeForce RTX 4070 Ti Trinity OC White Edition, GPU Support Stand, 1 x 3x8-pin-to-12VHPWR cable, User Manual",ZOTAC,NVIDIA GeForce RTX 4070 Ti,2625 MHz,PCI Express 4.0 16x,GAMING GeForce RTX 4070 Ti Trinity OC White Edition,RTX 4070 Ti,"192-bit, 12 GB GDDR6X Memory",,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,750 W,7680 CUDA Cores,,,,,,7680x4320 (Digital),,,,,,,,
MSI NVIDIA GeForce RTX 3050 GAMING X 8G 8 GB GDDR6 Grap...,"₹32,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l1xwqkw0/graphics-card/p/s/d/geforce-rtx-3050-gaming-x-8g-msi-original-imagdefzefxhmkfu.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-3050-gaming-x-8g-8-gb-gddr6-graphics-card/p/itme869215e6344d?pid=GRCGDE2Y4JDBAHGN&lid=LSTGRCGDE2Y4JDBAHGNJDKHPP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_125&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGDE2Y4JDBAHGN.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,Graphic card,MSI,NVIDIA NVIDIA® GeForce RTX™ 3050,1845 MHz,PCI Express® Gen 4.0 x8,GeForce RTX 3050 GAMING X 8G,912-V397-455,"128-bit, 8 GB GDDR6 Memory",,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,,,,,,,,,,,,,,
Inno3D NVIDIA GEFORCE RTX 4070 SUPER X3 OC 12 GB GDDR6X...,"₹72,450",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/q/x/3/geforce-rtx-4070-super-x3-oc-inno3d-original-imagydrujazrmpa2.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-4070-super-x3-oc-12-gb-gddr6x-graphics-card/p/itm14fdd18050d1d?pid=GRCGYDRUGKRSCFDU&lid=LSTGRCGYDRUGKRSCFDUBE6F70&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_129&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGYDRUGKRSCFDU.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,"User Manual, Accessories, Graphic Card",Inno3D,NVIDIA GEFORCE RTX,2505 MHz,RTX,GEFORCE RTX 4070 SUPER X3 OC,N407S3-126XX-186162L,"192-bit, 12 GB GDDR6X Memory",,,,,,3 Year Manufacturer Warranty,Warranty is applicable on manufacturing defects (If any) for 3 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,,,,,,,
Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 8 GB GDDR6X Graphi...,"₹59,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0lbrm80/graphics-card/e/z/a/geforce-rtx-3070-ti-x3-inno3d-original-imagcbrdsf7zhaey.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-3070-ti-x3-8-gb-gddr6x-graphics-card/p/itmda9c277b16325?pid=GRCGCBNFWDVABFJX&lid=LSTGRCGCBNFWDVABFJX65BESI&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_133&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGCBNFWDVABFJX.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,Graphic Card,Inno3D,NVIDIA GEFORCE RTX 3070 Ti X3,1770 MHz,PCI-E 4.0 X16,GEFORCE RTX 3070 Ti X3,N307T3-086X-1820VA45,"256-bit, 8 GB GDDR6X Memory",,,,112 x 300 mm,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,6144 CUDA Cores,,608 Gbps,,,,,,,,,,,,
ASUS NVIDIA DUAL RTX4060TI OC 8GB GDDR6 Gaming Graphics...,"₹47,500",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/q/b/dual-rtx4060ti-oc-8gb-gddr6-gaming-graphics-card-asus-original-imagtyhxu23ck7y3.jpeg?q=70,https://www.flipkart.com/asus-nvidia-dual-rtx4060ti-oc-8gb-gddr6-gaming-graphics-card-8-gb/p/itm649bce0c72cf0?pid=GRCGSYFGUZU6ET2P&lid=LSTGRCGSYFGUZU6ET2PTNZPQP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_137&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGSYFGUZU6ET2P.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,"1 Graphics Card, Speed Setup Manual, Collection Card",ASUS,NVIDIA GeForce RTX 4060 Ti,2565 MHz,PCI Express 4.0,DUAL RTX4060TI OC 8GB GDDR6 Gaming Graphics card,90YV0J40-M0IA00,"128-bit, 8 GB GDDR6 Memory",,,,,,3 Years Warranty,Manufacturing Defects,Physical and Liquid Damages,Carry-in,650 W,,,,,,HDCP Support,,,,,,,,,
MSI NVIDIA RTX 3090 Ti GAMING X TRIO 24G 24 GB GDDR6X G...,"₹2,07,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l1l1rww0/graphics-card/o/k/l/rtx-3090-ti-gaming-x-trio-24g-msi-original-imagd497e8zduphd.jpeg?q=70,https://www.flipkart.com/msi-nvidia-rtx-3090-ti-gaming-x-trio-24g-24-gb-gddr6x-graphics-card/p/itm9a6413bacbc75?pid=GRCGD497GZ5FNXCW&lid=LSTGRCGD497GZ5FNXCWOUHI5Z&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_141&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGD497GZ5FNXCW.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,Graphic Card,MSI,NVIDIA GeForce,1920 MHz,PCI Express Gen 4,RTX 3090 Ti GAMING X TRIO 24G,RTX3090Ti,"384-bit, 24 GB GDDR6X Memory with 1785 MHz",,,,323 x 140 x 56 mm,1565 g,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,,19.5 Gbps,,,HDCP Support,7680x4320 (Digital),,,,,,,,
MSI NVIDIA GeForce RTX 4070 SUPER 12G GAMING X SLIM 12 ...,"₹83,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/i/q/geforce-rtx-4070-super-12g-gaming-x-slim-msi-original-imagxhg69ysjngvj.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4070-super-12g-gaming-x-slim-12-gb-gddr6x-graphics-card/p/itm6d651e501f25a?pid=GRCGXF4NBPW6ZFEA&lid=LSTGRCGXF4NBPW6ZFEAPAJYDL&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_145&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGXF4NBPW6ZFEA.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,"1 Graphics Card, Quick Setup Guide, Warranty Card",MSI,NVIDIA NVIDIA GeForce RTX 4070 SUPER,2640 MHz,PCI Express Gen 4,GeForce RTX 4070 SUPER 12G GAMING X SLIM,GeForce RTX 4070 SUPER 12G GAMING X SLIM,"192-bit, 12 GB GDDR6X Memory",,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,245 W,,,21 Gbps,,,,,,,,,,,,
ZOTAC NVIDIA GEFORCE RTX 4070 AMP AIRO 12 GB GDDR6X Gra...,"₹63,449",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/l/t/y/geforce-rtx-4070-amp-airo-zotac-original-imagra23tgrbhhgy.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-rtx-4070-amp-airo-12-gb-gddr6x-graphics-card/p/itm100f7aa6709a4?pid=GRCGRA23BZMTMZC7&lid=LSTGRCGRA23BZMTMZC7FPWA5F&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_149&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGRA23BZMTMZC7.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,Pack Of 1,ZOTAC,NVIDIA GEFORCE RTX 4070,2535 MHz,PCI Express 4.0 16x,GEFORCE RTX 4070 AMP AIRO,ZT-D40700F-10P,"192-bit, 12 GB GDDR6X Memory",,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,,,,,,,,,,,,,,
MSI AMD Radeon Radeon RX 6600 ARMOR 8G 8 GB GDDR6 Graph...,"₹32,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kz4gh3k0/graphics-card/j/g/g/radeon-rx-6600-armor-8g-msi-original-imagb7fzzzpgwjav.jpeg?q=70,https://www.flipkart.com/msi-amd-radeon-rx-6600-armor-8g-8-gb-gddr6-graphics-card/p/itm01c6cead1d051?pid=GRCGB7FD2QDUKHKW&lid=LSTGRCGB7FD2QDUKHKWJKYLYM&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_153&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGB7FD2QDUKHKW.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,Graphic Card and user manual,MSI,AMD Radeon AMD Radeon RX 6600,2491 MHz,PCI Express 4.0 x8,Radeon RX 6600 ARMOR 8G,Radeon RX 6600 ARMOR 8G,"128-bit, 8 GB GDDR6 Memory",,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,,,,,,,,,,,,,,
GIGABYTE AMD Radeon GV-R66XTEAGLE-8GD 8 GB GDDR6 Graphi...,"₹46,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0h1g280/graphics-card/l/m/1/gv-r66xteagle-8gd-gigabyte-original-imagc9y7zb5cjy9x.jpeg?q=70,https://www.flipkart.com/gigabyte-amd-radeon-gv-r66xteagle-8gd-8-gb-gddr6-graphics-card/p/itm938e37dae9dbc?pid=GRCGC4H4HS5QEAJ3&lid=LSTGRCGC4H4HS5QEAJ3EUJYAI&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_157&otracker=search&fm=organic&iid=004493fa-6c98-4549-aa19-44d9249cd3d6.GRCGC4H4HS5QEAJ3.SEARCH&ppt=None&ppn=None&ssid=2a8l6vn2yo0000001739028325594&qH=ae2a487734c75ca2,2025-02-08 16:25:27,"1 Graphic Card, Quick Guide",GIGABYTE,AMD Radeon Radeon RX 6600 XT,16000 MHz,PCI Express 4.0 x8,GV-R66XTEAGLE-8GD,9VR66XTE-00-10,"128-bit, 8 GB GDDR6 Memory with 16000 MHz",,2 x HDMI Output Out,2 x Display Port Out,113 x 41 x 282 mm,,3 Years Warranty,Manufacturing Defects,Physical Damage,On-site,500 W,2048 Stream Processor,,256 Gbps,,,,7680 x 4320 (Digital),,,,,,2359 MHz,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:25:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:25:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹7,599",4.3,Data not available,https://rukminim2.flixcart.com/image/300/300/ks99aq80/graphics-card/p/9/g/geforce-gt-730-asus-original-imag5v72yeytvtjn.jpeg?q=90,URL not available,2025-02-08 16:25:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:25:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:26:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS NVIDIA Dual NVIDIA GeForce RTX3050-8G-V2 Gaming Gr...,"₹29,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/n/j/t/dual-nvidia-geforce-rtx3050-8g-v2-gaming-graphics-card-asus-original-imagtykq4jvaawht.jpeg?q=70,https://www.flipkart.com/asus-nvidia-dual-geforce-rtx3050-8g-v2-gaming-graphics-card-8-gb-gddr6/p/itmbf83ac5ab45ec?pid=GRCGSYFGF32ZXRHT&lid=LSTGRCGSYFGF32ZXRHTP4FKRU&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_161&otracker=search&fm=organic&iid=911f101b-5356-4915-b4a2-a6bf330e3dfc.GRCGSYFGF32ZXRHT.SEARCH&ppt=None&ppn=None&ssid=h40v2s55xs0000001739028359585&qH=ae2a487734c75ca2,2025-02-08 16:26:03,"1 Graphics Card, Speed Setup Manual",ASUS,NVIDIA GeForce RTX 3050,1822 MHz,PCI Express 4.0,Dual NVIDIA GeForce RTX3050-8G-V2 Gaming Graphics card,90YV0GH7-M0NB00,"128-bit, 8 GB GDDR6 Memory",,,,,,3 Years Warranty,Manufacturing Defects,Physical and Liquid Damages,Carry-in,550 W,,,,,,HDCP Support,,,,,,,,,
ZOTAC NVIDIA RTX 4070 Ti AMP AIRO Spider-Man: Across Th...,"₹81,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/q/5/rtx-4070-ti-amp-airo-spider-man-across-the-spider-verse-bundle-original-imagq2wwagymfvpv.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-rtx-4070-ti-amp-airo-spider-man-across-spider-verse-bundle-12-gb-gddr6-graphics-card/p/itm21cc06d8efbf5?pid=GRCGQ2WWW7HGHCFQ&lid=LSTGRCGQ2WWW7HGHCFQ2ELCOH&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_165&otracker=search&fm=organic&iid=911f101b-5356-4915-b4a2-a6bf330e3dfc.GRCGQ2WWW7HGHCFQ.SEARCH&ppt=None&ppn=None&ssid=h40v2s55xs0000001739028359585&qH=ae2a487734c75ca2,2025-02-08 16:26:03,1 Card,ZOTAC,NVIDIA GeForce RTX 4070 Ti,21 MHz,PCI Express 4.0 16x,RTX 4070 Ti AMP AIRO Spider-Man: Across The Spider-Verse Bundle,ZT-D40710F-10SMP,"192-bit, 12 GB GDDR6 Memory",,,,58.5 x 125.2 x 307.7 mm,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,,,,IceStorm 2.0 Advanced Cooling,,,,,,,,,,
Geforce NVIDIA 1660 Super 6 GB GDDR6X Graphics Card,"₹60,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/1/f/p/1660-super-geforce-original-imagg9qkkca3uvzg.jpeg?q=70,https://www.flipkart.com/geforce-nvidia-1660-super-6-gb-gddr6x-graphics-card/p/itm444ed789d33dd?pid=GRCGG9QKZSTFUMPV&lid=LSTGRCGG9QKZSTFUMPVAWPTMP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_169&otracker=search&fm=organic&iid=911f101b-5356-4915-b4a2-a6bf330e3dfc.GRCGG9QKZSTFUMPV.SEARCH&ppt=None&ppn=None&ssid=h40v2s55xs0000001739028359585&qH=ae2a487734c75ca2,2025-02-08 16:26:03,Graphic card,Geforce,NVIDIA NVIDIA NVIDIA GeForce RTX 1660 SUPER,1785 MHz,PCI Express Gen 4,1660 Super,GV-N166SD6-6GD,"256-bit, 6 GB GDDR6X Memory",,,,,,1 year,Manufacturing defects,Physical damaged not covered,Carry In,,,,,,,,,,,,,,,,
GALAX NVIDIA GEFORCE RTX 4070 EX GAMER 12 GB GDDR6X Gra...,"₹54,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/i/k/l/geforce-rtx-4070-ex-gamer-galax-original-imagw5p9gn5jdazh.jpeg?q=70,https://www.flipkart.com/galax-nvidia-geforce-rtx-4070-ex-gamer-12-gb-gddr6x-graphics-card/p/itm1fd98147b75d8?pid=GRCGW5PAHQHUYKFW&lid=LSTGRCGW5PAHQHUYKFWQ9I3XA&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_173&otracker=search&fm=organic&iid=911f101b-5356-4915-b4a2-a6bf330e3dfc.GRCGW5PAHQHUYKFW.SEARCH&ppt=None&ppn=None&ssid=h40v2s55xs0000001739028359585&qH=ae2a487734c75ca2,2025-02-08 16:26:03,"Graphics Card, 1-Click Sync Pro cable",GALAX,NVIDIA GeForce RTX,2535 MHz,PCI-E 4.0,GEFORCE RTX 4070 EX GAMER,47NOM7MD7JEG,"192-bit, 12 GB GDDR6X Memory with 1313 MHz",,,"DisplayPort 1.4a x 3, HDMI 2.1a x 1",,,3 years manufacturer warranty,Manufacturing defect only,Physical Damages,Service center,,5888 CUDA Cores,,,,,,,,,,,,,,"GPU Engine Specs:- CUDA Cores: 5888, Boost Clock: 2535MHz, 1-Click OC Clock: 2550MHz (by installing Xtreme Tuner Plus Software and using 1-Click OC), Memory Specs:- Memory Speed: 21 Gbps, Standard Memory Config: 12GB, Memory Interface Width 192-bit GDDR6X, Memory Bandwidth: 504 GB/sec, Feature Support:- PCI-E 4.0, Windows 10/11 64-bit, Fan Feature:- 2 * 92mm, 1 * 102mm, WING with Fan stop @ Idle (All Fan)"
Verilux Intel PCI-E PCI Express 3.0 X4 to NVME M.2 NVME...,₹471,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/c/g/f/pci-e-pci-express-3-0-x4-to-nvme-m-2-nvme-to-nvme-ssd-pci-e-3-0-original-imah8yc9x4gueuuh.jpeg?q=70,https://www.flipkart.com/verilux-intel-pci-e-pci-express-3-0-x4-nvme-m-2-ssd-x-4-host-control-1-gb-ddr3-graphics-card/p/itmb681a4e6de950?pid=GRCGZWKKJF9UCSHF&lid=LSTGRCGZWKKJF9UCSHFXHPHD4&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_177&otracker=search&fm=organic&iid=911f101b-5356-4915-b4a2-a6bf330e3dfc.GRCGZWKKJF9UCSHF.SEARCH&ppt=None&ppn=None&ssid=h40v2s55xs0000001739028359585&qH=ae2a487734c75ca2,2025-02-08 16:26:03,1,Verilux,Intel Pcb (16 Interface Card For Computer),589 MHz,2280 2260 2242 2230,PCI-E PCI Express 3.0 X4 to NVME M.2 NVME to NVME SSD PCI-e 3.0 x 4 Host Control,Card Support M Key SSD Type 2280 2260 2242 2230 Adapter Converter Graphic Card,"64-bit, 1 GB DDR3 Memory",,,,,,Covered Under Warranty,Covered Under Warranty,Covered Under Warranty,Covered Under Warranty,,,,,,,,,,,,,,,,
MSI NVIDIA GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC 1...,"₹94,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/m/u/p/geforce-rtx-4070-ti-super-16g-ventus-2x-oc-msi-original-imagxjwysthpzhxq.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4070-ti-super-16g-ventus-2x-oc-16-gb-gddr6x-graphics-card/p/itm65a364a6aa5fb?pid=GRCGXHN86FAGZWRZ&lid=LSTGRCGXHN86FAGZWRZDSZKFO&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_181&otracker=search&fm=organic&iid=911f101b-5356-4915-b4a2-a6bf330e3dfc.GRCGXHN86FAGZWRZ.SEARCH&ppt=None&ppn=None&ssid=h40v2s55xs0000001739028359585&qH=ae2a487734c75ca2,2025-02-08 16:26:03,"1 Graphics Card, Quick Setup Guide, Warranty Card",MSI,NVIDIA NVIDIA GeForce RTX 4070 Ti SUPER,2640 MHz,PCI Express Gen 4,GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC,GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC,"256-bit, 16 GB GDDR6X Memory",,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,285 W,,,,,,,,,,,,,,,
AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,790",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/c/u/4/gt610-aarvex-original-imagkyc55wqf64f6.jpeg?q=70,https://www.flipkart.com/aarvex-nvidia-gt610-1-gb-ddr3-graphics-card/p/itm77ac51e191480?pid=GRCGKYC5CXGTZGZ7&lid=LSTGRCGKYC5CXGTZGZ7ELZNQW&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_5_185&otracker=search&fm=organic&iid=911f101b-5356-4915-b4a2-a6bf330e3dfc.GRCGKYC5CXGTZGZ7.SEARCH&ppt=None&ppn=None&ssid=h40v2s55xs0000001739028359585&qH=ae2a487734c75ca2,2025-02-08 16:26:03,AARVEX INFOTECH PVT LTD,AARVEX,NVIDIA Geforce,612 MHz,PCI EXPRESS,GT610,GT610LP-1GD3,"62-bit, 1 GB DDR3 Memory",,,,,,3 Years Warranty,Manufracture Date,Physically Damage,Repair or Replacement,,,,,,,,,,,,,,,,
