title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Power Supply Required,Part Number,Memory,Memory Bandwidth,Graphics Technologies Supported,3D Support,DVI and HDMI Interface,Other Interface,HD Content Support,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,VGA/D-SUB Output,Supported OS,Processors and Cores,GPU Manufacturing Process,Shader,RAMDAC Clock Speed,Cooling and Heatsink,Maximum Resolution,Other System Requirements,Software Included,Weight,Additional Features,Dimensions,Mini HDMI
ZOTAC NVIDIA GAMING GeForce RTX 3050 Solo 8 GB GDDR6 Gr...,"₹20,209",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/g/p/y/gaming-geforce-rtx-3050-solo-zotac-original-imagqbrchm95egjn.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-3050-solo-8-gb-gddr6-graphics-card/p/itm00d23a872b80a?pid=GRCGQBRCJFWRNFXX&lid=LSTGRCGQBRCJFWRNFXX4NTVX1&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_69&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCGQBRCJFWRNFXX.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,1 Graphic Card,ZOTAC,NVIDIA GeForce RTX 3050,1777 MHz,PCI Express 4.0 16x,GAMING GeForce RTX 3050 Solo,450 W,RTX 3050,"128-bit, 8 GB GDDR6 Memory",,,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,2560 CUDA Cores,,,,,7680x4320 (Digital),,,,,,
MSI AMD Radeon RX 6400 AERO ITX 4G 4 GB GDDR6 Graphics ...,"₹15,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l3bx5e80/graphics-card/w/k/a/radeon-rx-6400-aero-itx-4g-4gb-gddr6-64-bit-msi-original-imageh5fedgaxm9z.jpeg?q=70,https://www.flipkart.com/msi-amd-radeon-rx-6400-aero-itx-4g-4-gb-gddr6-graphics-card/p/itmc5f2c14324500?pid=GRCGF9V2AY3XSFXA&lid=LSTGRCGF9V2AY3XSFXAOWJPIY&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_73&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCGF9V2AY3XSFXA.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,MSI Graphic Card,MSI,AMD Radeon Radeon RX 6400,2321 MHz,PCI Express® Gen 4 x 4,RX 6400 AERO ITX 4G,,Radeon RX 6400 AERO ITX 4G,"64-bit, 4 GB GDDR6 Memory",16 Gbps,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,768 CUDA Cores,,,,,,,,358 g,,172 x 112 x 39 mm,
Inno3D NVIDIA GEFORCE GTX 1630 TWIN X2 OC 4 GB GDDR6 Gr...,"₹14,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/p/f/4/geforce-gtx-1630-twin-x2-oc-inno3d-original-imaggefjkswbgztz.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-gtx-1630-twin-x2-oc-4-gb-gddr6-graphics-card/p/itm3b19bba703f88?pid=GRCGGEFKD3RGN5Q9&lid=LSTGRCGGEFKD3RGN5Q9DSNOYL&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_77&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCGGEFKD3RGN5Q9.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,Graphic Card,Inno3D,NVIDIA GEFORCE GTX 1630,1740 MHz,PCI-E 3.0 X16,GEFORCE GTX 1630 TWIN X2 OC,,N16302-04D6X-1177VA25,"64-bit, 4 GB GDDR6 Memory",,,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,,600 g,,196 x 113 x 30 mm,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:00:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:00:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹99,999",4.4,Data not available,https://rukminim2.flixcart.com/image/300/300/l37mtu80/graphics-card/k/9/r/battle-ax-colorful-original-imagedpfkt5a6kzz.jpeg?q=90,URL not available,2025-02-02 20:00:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:00:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:01:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASRock AMD Radeon RX 7700 XT 12 GB GDDR6 Graphics Card,"₹40,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/6/w/d/-original-imah5yvzgmfz89hg.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7700-xt-12-gb-gddr6-graphics-card/p/itm23cefc4d93c68?pid=GRCH4JRXHSSFBM69&lid=LSTGRCH4JRXHSSFBM69T4Y7DZ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_81&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCH4JRXHSSFBM69.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2599 MHz,PCI Express 4.0 x16,RX 7700 XT,750 W,90-GA4PZZ-00IANF,"192-bit, 12 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,,,,,,,,,,,,,,
AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,790",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/c/u/4/gt610-aarvex-original-imagkyc55wqf64f6.jpeg?q=70,https://www.flipkart.com/aarvex-nvidia-gt610-1-gb-ddr3-graphics-card/p/itm77ac51e191480?pid=GRCGKYC5CXGTZGZ7&lid=LSTGRCGKYC5CXGTZGZ7ELZNQW&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_85&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCGKYC5CXGTZGZ7.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,AARVEX INFOTECH PVT LTD,AARVEX,NVIDIA Geforce,612 MHz,PCI EXPRESS,GT610,,GT610LP-1GD3,"62-bit, 1 GB DDR3 Memory",,,,,,,3 Years Warranty,Manufracture Date,Physically Damage,Repair or Replacement,,,,,,,,,,,,,,
"Xsentuals NVIDIA PCI Express Multiplier Riser Card, PCI...","₹1,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/ks7tuvk0/graphics-card/o/2/c/pci-express-multiplier-riser-card-pcie-1-to-4-pci-express-16x-original-imag5tvghrtzbxwn.jpeg?q=70,https://www.flipkart.com/xsentuals-nvidia-pci-express-multiplier-riser-card-pcie-1-4-pci-express-16x-slots-card-pci-e-1x-external-usb-3-0-adapter-4usb-bitcoin-mining-device-16-gb-gddr4-graphics/p/itm0a6608cfefbc1?pid=GRCG5TVGRRF7THF7&lid=LSTGRCG5TVGRRF7THF79M68ST&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_89&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCG5TVGRRF7THF7.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,1 x 4 port Riser Card Converter,Xsentuals,NVIDIA 1,120 MHz,3.0,"PCI Express Multiplier Riser Card, PCIe 1 to 4 PCI-Express 16X Slots Riser Card PCI-E 1X to External 4 USB 3.0 Adapter Multiplier Card PCIe to 4USB for Bitcoin Mining Device",,4 port Riser Card Converter,"64-bit, 16 GB GDDR4 Memory",,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,
ZEBRONICS NVIDIA ZEBGT730 4 GB GDDR3 Graphics Card,"₹3,249",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/o/4/zebgt730-zebronics-original-imagz6umer5h8dvf.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zebgt730-4-gb-gddr3-graphics-card/p/itma9dbce22e203e?pid=GRCGZ6UMFDRYHGXP&lid=LSTGRCGZ6UMFDRYHGXPFBDHGW&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_93&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCGZ6UMFDRYHGXP.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,"Pack of 1 graphic card, Pack of 1 manual card",ZEBRONICS,NVIDIA NVIDIA,700 MHz,PCI,ZEBGT730,,1234,"64-bit, 4 GB GDDR3 Memory",,,,,,,1,Actually the warranty cover,Demaged,Services Centre,,,,,,,,,,,,,,
ASRock AMD Radeon RX 7800 XT 16 GB GDDR6 Graphics Card,"₹47,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/3/l/-original-imah5yvzdgeqqfnj.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7800-xt-16-gb-gddr6-graphics-card/p/itm18aa66ad3b93f?pid=GRCH4JRXGQTVWHM8&lid=LSTGRCH4JRXGQTVWHM8BOS2ZR&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_97&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCH4JRXGQTVWHM8.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2475 MHz,PCI Express 4.0 x16,RX 7800 XT,750 W,90-GA4SZZ-00UANF,"256-bit, 16 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,,,,,,,,,,,,,,
Nextron NVIDIA GT730 4GB DDR3 4 GB DDR3 Graphics Card,"₹3,995",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/q/d/b/gt730-4gb-ddr3-nextron-original-imah2araxzpngrby.jpeg?q=70,https://www.flipkart.com/nextron-nvidia-gt730-4gb-ddr3-4-gb-graphics-card/p/itm35716f8dd5935?pid=GRCH2ARAWG3AGFMR&lid=LSTGRCH2ARAWG3AGFMRMEFPNA&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_101&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCH2ARAWG3AGFMR.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,1 GRAPHICS CARD,Nextron,NVIDIA GT730,700 MHz,PCI-Express x16,GT730 4GB DDR3,,GT730,"4000-bit, 4 GB DDR3 Memory with 700 MHz",,,,"1 x DVI Output Out, 1 x HDMI Output Out","Yes x Co-Axial TV Out, 3 x Display Port Out",HDTV Support,1 YEAR,MANUFACTURING DEFECT,DAMAGE AND BREAKAGE,"Warranty Service 1 year warranty over manufacturing defect, physical damages are not covered",,WINDOWS,,,Clock speed of 700 MHz,700 MHz,,,,,,,,0 x Mini HDMI Output
Sapphire AMD/ATI 11339-04-20G 16 GB GDDR6 Graphics Card,"₹33,789",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/g/8/11339-04-20g-sapphire-original-imahfehf9ehshz9m.jpeg?q=70,https://www.flipkart.com/sapphire-amd-ati-11339-04-20g-16-gb-gddr6-graphics-card/p/itmd0cc2a58229c7?pid=GRCGY988AKJJSW7W&lid=LSTGRCGY988AKJJSW7WOZ0NDX&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_105&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCGY988AKJJSW7W.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,"1 Graphics Card, User Manual, Warranty Card",Sapphire,AMD/ATI RX 7600 XT,2810 MHz,128 Bit DDR6,11339-04-20G,600 W,PULSE AMD RADEON� RX 7600 XT,"256-bit, 16 GB GDDR6 Memory",18 Gbps,,,,,,2 Years Warranty,Manufaturing Defects,Physical Damages,In Case Any Query Customer Needs to Mail Us at Service@arkinfo.in,,,,,,,,,,Driver,,,,
MSI NVIDIA GTX 1650 Ventus XS OCV1 4 GB GDDR6 Graphics ...,"₹20,778",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kg40k280/graphics-card/g/c/h/msi-gtx-1650-ventus-xs-ocv1-original-imafweg7mfzrzaet.jpeg?q=70,https://www.flipkart.com/msi-nvidia-gtx-1650-ventus-xs-ocv1-4-gb-gddr6-graphics-card/p/itme98eb3d85b2fa?pid=GRCFWEF2PV9VPGCH&lid=LSTGRCFWEF2PV9VPGCHTZ3LIS&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_109&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCFWEF2PV9VPGCH.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,"MSI GRAPHICS CARD, Installation Guide",MSI,NVIDIA NVIDIA® GeForce® GTX 1650,1620 MHz,3.0,GTX 1650 Ventus XS OCV1,75 W,GTX 1650,"128-bit, 4 GB GDDR6 Memory with 3400 MHz",,,,1 x HDMI Output Out,1 x Display Port Out,,03 Years,Any Manufactured Defect,"The warranty does not cover that was damaged due to accident, misuse, abuse, improper installation, usage not in accordance with product specifications and instructions, natural or personal disaster, or unauthorized alterations, repairs or modifications.",Carry In,,,,,,,,7680x4320 (Digital),,,,,,
ZEB NVIDIA GT610-2GD3 2 GB DDR3 Graphics Card,"₹2,450",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/v/a/i/zebronics-graphics-cards-zeb-gt-610-1gb-rashmove-original-imagpe7fyye96trk.jpeg?q=70,https://www.flipkart.com/zeb-nvidia-gt610-2gd3-2-gb-ddr3-graphics-card/p/itmcd84e3a3e2929?pid=GRCGQDFKK5HEGWMB&lid=LSTGRCGQDFKK5HEGWMBJCFQV5&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_113&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCGQDFKK5HEGWMB.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,GRAPHIC CARD 1N CD 1N,ZEB,NVIDIA NVIDIA 610,1000 MHz,PCI 2.0,GT610-2GD3,,2GB GT610,"64-bit, 2 GB DDR3 Memory",,,,,,,3 YEAR,DEAD OR IN CASE OF NOT DETECTING,PHYISICAL DAMAGE OR WATER DAMAGE,FROM SERVICE CENTRE,,,,,,,,,,,,,,
ZOTAC NVIDIA GeForce GT 730 Zone Edition 4 GB DDR3 Grap...,"₹7,700",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/graphics-card/p/n/z/zotac-gt-730-original-imaepe25tchpprpn.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gt-730-zone-4-gb-ddr3-graphics-card/p/itm1e0aac124216d?pid=GRCEY3YCZRFV2PNZ&lid=LSTGRCEY3YCZRFV2PNZZIUJ92&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_117&otracker=search&fm=organic&iid=606acc1d-7a8a-459e-b921-24d400b03d68.GRCEY3YCZRFV2PNZ.SEARCH&ppt=None&ppn=None&ssid=va0xehoo8g0000001738522864377&qH=ae2a487734c75ca2,2025-02-02 20:01:04,"1 Graphic Card, Driver Disk, 1 Low-profile Bracket [VGA], 1 Low-profile Bracket [DVI + HDMI], User Manual",ZOTAC,NVIDIA GT 730,902 MHz,PCI Express 2.0,GeForce GT 730 Zone Edition,400 W,ZT-71115-20L,"64-bit, 4 GB DDR3 Memory",,Microsoft DirectX v12,,"1 x DVI Output Out, 1 x HDMI Output Out",,,"Standard Warranty: 2 years, Extended warranty: +3 years; Total Warranty: 5 years total",Warranty is covered on complete product.,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry in.� EMail ID :�technical@zotac.com,1xVGA DSub Output,,384 CUDA Cores,,,,Dual Slot Passive,2560 x 1600 (Digital),,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:01:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:01:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹499,3.7,Data not available,https://rukminim2.flixcart.com/image/300/300/kw3v0cw0/graphics-card/i/7/p/8-pin-female-to-2-6-2-pin-male-pin-8pin-female-pcie-to-2-pcie-original-imag8uyexqymhn7y.jpeg?q=90,URL not available,2025-02-02 20:01:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:01:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:01:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGABYTE AMD Radeon GV-R65XTGAMING OC-4GD 4 GB GDDR6 Gr...,"₹25,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0h1g280/graphics-card/m/d/f/gv-r65xtgaming-oc-4gd-gigabyte-original-imagc9y7mfdwjk2d.jpeg?q=70,https://www.flipkart.com/gigabyte-amd-radeon-gv-r65xtgaming-oc-4gd-4-gb-gddr6-graphics-card/p/itmba42bd786fcf2?pid=GRCGC4H4A8YXB8PX&lid=LSTGRCGC4H4A8YXB8PXT6FK41&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_121&otracker=search&fm=organic&iid=0bb3b5aa-5ad9-48a0-b010-e40c6ef7f1f8.GRCGC4H4A8YXB8PX.SEARCH&ppt=None&ppn=None&ssid=156bqc1vtc0000001738522911779&qH=ae2a487734c75ca2,2025-02-02 20:01:51,"1 Graphic Card, Quick Guide",GIGABYTE,AMD Radeon Radeon RX 6500 XT,18000 MHz,PCI-E 4.0,GV-R65XTGAMING OC-4GD,400 W,9VR65XTGO-00-10,"64-bit, 4 GB GDDR6 Memory with 18000 MHz",144 Gbps,,,1 x HDMI Output Out,1 x Display Port Out,,3 Years Warranty,Manufacturing Defects,Physical Damage,On-site,,,1024 Stream Processor,,,2825 MHz,,7680 x 4320 (Digital),,,,,114 x 40 x 282 mm,
Sapphire AMD/ATI 11323-02-20G 20 GB GDDR6 Graphics Card,"₹82,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/o/h/m/11323-02-20g-sapphire-original-imagufpyjz9vqzbs.jpeg?q=70,https://www.flipkart.com/sapphire-amd-ati-11323-02-20g-20-gb-gddr6-graphics-card/p/itmd73f896ef090e?pid=GRCGUFG3ZJFNX7XG&lid=LSTGRCGUFG3ZJFNX7XGQJ74MH&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_125&otracker=search&fm=organic&iid=0bb3b5aa-5ad9-48a0-b010-e40c6ef7f1f8.GRCGUFG3ZJFNX7XG.SEARCH&ppt=None&ppn=None&ssid=156bqc1vtc0000001738522911779&qH=ae2a487734c75ca2,2025-02-02 20:01:51,1 Graphics Card,Sapphire,AMD/ATI AMD RADEON RX 7900 XT,2450 MHz,PCI Express 4.0,11323-02-20G,750 W,11323-02-20G,"320-bit, 20 GB GDDR6 Memory",,,,,,,2 Years Warranty,Manufacturing Defects,Physical Damages,For Any Query Please Contact us at service@arkinfo.in,,,,,,,,,,,,,,
ZOTAC NVIDIA GAMING GeForce RTX 4080 Trinity OC 16 GB G...,"₹1,14,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/6/f/b/gaming-geforce-rtx-4080-trinity-oc-zotac-original-imagqcvcen3k4dvz.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-4080-trinity-oc-16-gb-gddr6x-graphics-card/p/itm23635b7c12c7d?pid=GRCGQCVDVXMV6D43&lid=LSTGRCGQCVDVXMV6D43KFCMIU&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_129&otracker=search&fm=organic&iid=0bb3b5aa-5ad9-48a0-b010-e40c6ef7f1f8.GRCGQCVDVXMV6D43.SEARCH&ppt=None&ppn=None&ssid=156bqc1vtc0000001738522911779&qH=ae2a487734c75ca2,2025-02-02 20:01:51,"ZOTAC GAMING GeForce RTX 4080 16GB Trinity OC, GPU Support Stand, 3-pin RGB Header Cable, 3x 8-pin-to-12VHPWR cable, User Manual",ZOTAC,NVIDIA GeForce RTX 4080 16GB,2520 MHz,PCI Express 4.0 16x,GAMING GeForce RTX 4080 Trinity OC,750 W,RTX 4080,"256-bit, 16 GB GDDR6X Memory",,,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,9728 CUDA Cores,,,,,7680x4320 (Digital),,,,,,
MSI NVIDIA GeForce RTX 4070 Ti SUPER 16G VENTUS 3X OC 1...,"₹1,03,746",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/k/m/c/geforce-rtx-4070-ti-super-16g-ventus-3x-oc-msi-original-imagxjwyuzywcgvc.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4070-ti-super-16g-ventus-3x-oc-16-gb-gddr6x-graphics-card/p/itm9e09c591037b4?pid=GRCGXHN8SRGCG5WK&lid=LSTGRCGXHN8SRGCG5WKJTLZNZ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_133&otracker=search&fm=organic&iid=0bb3b5aa-5ad9-48a0-b010-e40c6ef7f1f8.GRCGXHN8SRGCG5WK.SEARCH&ppt=None&ppn=None&ssid=156bqc1vtc0000001738522911779&qH=ae2a487734c75ca2,2025-02-02 20:01:51,"1 Graphics Card, Quick Setup Guide, Warranty Card",MSI,NVIDIA NVIDIA GeForce RTX 4070 Ti SUPER,2640 MHz,PCI Express Gen 4,GeForce RTX 4070 Ti SUPER 16G VENTUS 3X OC,285 W,GeForce RTX 4070 Ti SUPER 16G VENTUS 3X OC,"256-bit, 16 GB GDDR6X Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,,,,,,,,,,,,,,
MSI AMD Radeon Radeon RX 6700 XT MECH 2X 12G OC 12 GB G...,"₹76,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kz4gh3k0/graphics-card/7/7/5/radeon-rx-6700-xt-mech-2x-12g-oc-msi-original-imagb7fnpmcfjhbr.jpeg?q=70,https://www.flipkart.com/msi-amd-radeon-rx-6700-xt-mech-2x-12g-oc-12-gb-gddr6-graphics-card/p/itmd30d77df9487e?pid=GRCGB7FCYC9GR7TZ&lid=LSTGRCGB7FCYC9GR7TZHG4WUS&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_137&otracker=search&fm=organic&iid=0bb3b5aa-5ad9-48a0-b010-e40c6ef7f1f8.GRCGB7FCYC9GR7TZ.SEARCH&ppt=None&ppn=None&ssid=156bqc1vtc0000001738522911779&qH=ae2a487734c75ca2,2025-02-02 20:01:51,Graphic Card and user manual,MSI,AMD Radeon Radeon RX 6700 XT,2620 MHz,PCI Express Gen 4,Radeon RX 6700 XT MECH 2X 12G OC,,Radeon RX 6700 XT MECH 2X 12G OC,"192-bit, 12 GB GDDR6 Memory",,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,,,,,,,,,,,,
nVIDIA NVIDIA RTX3070 8 GB GDDR6 Graphics Card,"₹84,900",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/q/t/rtx3070-nvidia-original-imagvypxrbyqbnsw.jpeg?q=70,https://www.flipkart.com/nvidia-rtx3070-8-gb-gddr6-graphics-card/p/itmd0db05b20baa9?pid=GRCGVYQHGWMJTD36&lid=LSTGRCGVYQHGWMJTD36XB1INU&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_141&otracker=search&fm=organic&iid=0bb3b5aa-5ad9-48a0-b010-e40c6ef7f1f8.GRCGVYQHGWMJTD36.SEARCH&ppt=None&ppn=None&ssid=156bqc1vtc0000001738522911779&qH=ae2a487734c75ca2,2025-02-02 20:01:51,"HDMI cable which supplied by the manufacturer, NVDIA RTX 3070",nVIDIA,NVIDIA NVIDIA GeForce RTX 3070,1695 MHz,PCI Express 4.0,RTX3070,,RTX 3070,"256-bit, 8 GB GDDR6 Memory",,,,,,,1 year,technical error only,physical damage/short circuit/overclocking/natural causes/no return or exchange,contact karthickeeensit@gmail.com,,,,,,,,,,,,,,
