title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Power Supply Required,Part Number,Memory,Memory Bandwidth,Graphics Technologies Supported,3D Support,DVI and HDMI Interface,Other Interface,HD Content Support,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Cooling and Heatsink,Dimensions,Weight,Additional Features,Processors and Cores,Shader,Maximum Resolution,Supported OS,Software Included,RAMDAC Clock Speed,VGA/D-SUB Output,GPU Manufacturing Process,Mini HDMI,Other System Requirements
MSI NVIDIA GeForce RTX 3070 Ti VENTUS 3X 8G OC 8 GB GDD...,"₹64,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l1xwqkw0/graphics-card/8/a/d/geforce-rtx-3070-ti-ventus-3x-8g-oc-msi-original-imagdefzdn56xgzn.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-3070-ti-ventus-3x-8g-oc-8-gb-gddr6x-graphics-card/p/itmfec5b66ae4c75?pid=GRCGDEFZGBB2ZNHU&lid=LSTGRCGDEFZGBB2ZNHU54I6YQ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_69&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCGDEFZGBB2ZNHU.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic card,MSI,NVIDIA NVIDIA® GeForce RTX™ 3070 Ti,1800 MHz,PCI Express® Gen 4,GeForce RTX 3070 Ti VENTUS 3X 8G OC,290 W,912-V505-007,"256-bit, 8 GB GDDR6X Memory",19 Gbps,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,1160 g,,6144 CUDA Cores,,7680 x 4320 (Digital),,,,,,,
ZOTAC NVIDIA RTX 3060 Twin Edge 12 GB GDDR6 Graphics Ca...,"₹36,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kzvlua80/graphics-card/y/a/o/rtx-3060-twin-edge-zotac-original-imagbsmqy8ck3jzj.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-rtx-3060-twin-edge-12-gb-gddr6-graphics-card/p/itmc48ee108e6aa6?pid=GRCGBSMQHA6E2AB3&lid=LSTGRCGBSMQHA6E2AB3Z6QHRC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_73&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCGBSMQHA6E2AB3.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Unit of ZOTAC GAMING GeForce RTX 3060 Twin Edge, User Manual",ZOTAC,NVIDIA GeForce RTX 3060,1777 MHz,PCI Express 4.0 16x,RTX 3060 Twin Edge,600 W,ZT-A30600E-10M,"192-bit, 12 GB GDDR6 Memory",,,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,Dual Fan IceStorm 2.0 Advanced Cooling,218 x 283 x 83 mm,,,3584 CUDA Cores,,,"Game Ready Drivers and NVIDIA Studio Drivers, Microsoft DirectX 12 Ultimate, Vulkan RT API, OpenGL 4.6, Windows 10 64-bit (build 2004 or later)",,,,,,
GIGABYTE AMD Radeon GV-R69XTAORUS M-16GD 16 GB GDDR6 Gr...,"₹1,49,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0h1g280/graphics-card/n/f/x/gv-r69xtaorus-m-16gd-gigabyte-original-imagc9y8tegm7fha.jpeg?q=70,https://www.flipkart.com/gigabyte-amd-radeon-gv-r69xtaorus-m-16gd-16-gb-gddr6-graphics-card/p/itm82aa685fc1066?pid=GRCGC4H4TXXKZEZA&lid=LSTGRCGC4H4TXXKZEZAZ1NPN5&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_77&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCGC4H4TXXKZEZA.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphic Card, Quick Guide, 4 Years Warranty Registration, Metal Sticker",GIGABYTE,AMD Radeon Radeon RX 6900 XT,16000 MHz,PCI Express 4.0 x16,GV-R69XTAORUS M-16GD,850 W,9VR69XTAM-00-10,"256-bit, 16 GB GDDR6 Memory with 16000 MHz",512 Gbps,,,2 x HDMI Output Out,2 x Display Port Out,,4 Years Warranty,Manufacturing Defects,Physical Damage,On-site,,140 x 60 x 322 mm,,,5120 Stream Processor,,7680 x 4320 (Digital),,,2135 MHz,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹99,999",4.4,Data not available,https://rukminim2.flixcart.com/image/300/300/l37mtu80/graphics-card/k/9/r/battle-ax-colorful-original-imagedpfkt5a6kzz.jpeg?q=90,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graph...,"₹23,689",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/o/v/2/geforce-rtx-3050-twin-x2-oc-inno3d-original-imagdd659zuctvzj.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-3050-twin-x2-8-gb-gddr6-graphics-card/p/itme70cd87d40faa?pid=GRCGDD66TKXFP4ZC&lid=LSTGRCGDD66TKXFP4ZCHJ1GES&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_81&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCGDD66TKXFP4ZC.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic Card,Inno3D,NVIDIA GEFORCE RTX 3050 TWIN X2,1830 MHz,PCI-E 4.0,GEFORCE RTX 3050 TWIN X2,,N30502-08D6-1190VA42,"128-bit, 8 GB GDDR6 Memory",,,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,,,,,
AMD AMD Radeon Sapphire Pulse Radeon RX 6500 XT Gaming ...,"₹23,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0vbukw0/graphics-card/t/a/w/sapphire-pulse-radeon-rx-6500-xt-gaming-graphics-card-with-4gb-original-imagckhgdkxctgfs.jpeg?q=70,https://www.flipkart.com/amd-radeon-sapphire-pulse-rx-6500-xt-gaming-graphics-card-4gb-gddr6-rdna-2-4-gb-gddr6/p/itm19820d8ba65cc?pid=GRCGCG63FNSCDGSD&lid=LSTGRCGCG63FNSCDGSDOFQVXJ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_85&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCGCG63FNSCDGSD.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphic Card, Quick Installation Guide",AMD,AMD Radeon RX 6500 XT,2685 MHz,PCIe 4.0,"Sapphire Pulse Radeon RX 6500 XT Gaming Graphics Card with 4GB GDDR6, RDNA™ 2",400 W,11314-01-20G,"64-bit, 4 GB GDDR6 Memory with 18 MHz",,"Microsoft DirectX v12, Open GL Optimization v4.6",,,,HDTV Support,3 Years Limited Warranty,Manufacturing Defects if Any,"Burn, Physical Damage",Carry In,Air Cooling,,,,1024 Stream Processor,,7680 x 4320 (Digital),Windows,,,0xVGA DSub Output,7 nm,,
Sapphire AMD/ATI NITRO+ AMD RADEON� RX 7700 XT 12 GB GD...,"₹53,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/k/n/c/nitro-amd-radeon-rx-7700-xt-sapphire-original-imagtvqnxeghfybh.jpeg?q=70,https://www.flipkart.com/sapphire-amd-ati-nitro-amd-radeon-rx-7700-xt-12-gb-gddr6-graphics-card/p/itm429c2a7c4b6d0?pid=GRCGTVJYQNWEDFXF&lid=LSTGRCGTVJYQNWEDFXFRU6H43&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_89&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCGTVJYQNWEDFXF.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, User Manual, Warranty Card",Sapphire,AMD/ATI Amd Radeon RX 7700 XT,2599 MHz,PCI Express 4.0,NITRO+ AMD RADEON� RX 7700 XT,700 W,11335-02-20G,"192-bit, 12 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,"Carry-in, If Any Query Please Reach Out to Us at service@arkinfo.in",,,,,,,,,Driver,,,,,
mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/m/y/f/rx-580-selito-original-imagzbxwbhbym93s.jpeg?q=70,https://www.flipkart.com/mytechvision-amd-radeon-rx-580-8-gb-gddr5-graphics-card/p/itmb7e215d356430?pid=GRCGZBZHKGGFHYFG&lid=LSTGRCGZBZHKGGFHYFG3AQPSQ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_93&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCGZBZHKGGFHYFG.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,1 X AMD RX 580 8GB,mytechvision,AMD Radeon RX 580,7000 MHz,PCIE X16,RX 580,450 W,8 GB,"256-bit, 8 GB GDDR5 Memory",,,,,,,1 YEAR CONTACT 8547331413,ALL,PHYSICAL DAMAGE,REPLACEMENT,,,,,"2048 Stream Processor, 2048 Shader Processors",,,,,,,,,
ZOTAC NVIDIA GEFORCE RTX 4060 SOLO 8 GB GDDR6 Graphics ...,"₹28,632",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/t/v/i/geforce-rtx-4060-solo-zotac-original-imagrdh9hq4sydxe.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-rtx-4060-solo-8-gb-gddr6-graphics-card/p/itmec10d629bc0d9?pid=GRCGRDH9YGM9GUYJ&lid=LSTGRCGRDH9YGM9GUYJ1STA27&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_97&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCGRDH9YGM9GUYJ.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,"ZOTAC GAMING GeForce RTX 4060 8GB SOLO, User Manual",ZOTAC,NVIDIA NVIDIA GeForce RTX 4060,2460 MHz,PCI Express 4.0 16x,GEFORCE RTX 4060 SOLO,500 W,ZT-D40600G-10L,"128-bit, 8 GB GDDR6 Memory",,,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,,,,,,,,,,,,
MSI AMD Radeon RX 6400 AERO ITX 4G 4 GB GDDR6 Graphics ...,"₹15,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l3bx5e80/graphics-card/w/k/a/radeon-rx-6400-aero-itx-4g-4gb-gddr6-64-bit-msi-original-imageh5fedgaxm9z.jpeg?q=70,https://www.flipkart.com/msi-amd-radeon-rx-6400-aero-itx-4g-4-gb-gddr6-graphics-card/p/itmc5f2c14324500?pid=GRCGF9V2AY3XSFXA&lid=LSTGRCGF9V2AY3XSFXAOWJPIY&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_101&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCGF9V2AY3XSFXA.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,MSI Graphic Card,MSI,AMD Radeon Radeon RX 6400,2321 MHz,PCI Express® Gen 4 x 4,RX 6400 AERO ITX 4G,,Radeon RX 6400 AERO ITX 4G,"64-bit, 4 GB GDDR6 Memory",16 Gbps,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,172 x 112 x 39 mm,358 g,,768 CUDA Cores,,,,,,,,,
Inno3D NVIDIA GEFORCE RTX 3060 Ti iChill X3 RED LHR 8 G...,"₹49,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0lbrm80/graphics-card/o/a/l/geforce-rtx-3060-ti-ichill-x3-red-lhr-inno3d-original-imagcbra3vtxd4fg.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-3060-ti-ichill-x3-red-lhr-8-gb-gddr6-graphics-card/p/itm094c804f94f0e?pid=GRCGCBNF9QYHNUZ8&lid=LSTGRCGCBNF9QYHNUZ8TLZKMB&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_105&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCGCBNF9QYHNUZ8.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic Card,Inno3D,NVIDIA GEFORCE RTX 3060 Ti iChill X3 RED LHR,1725 MHz,PCI-E 4.0 X16,GEFORCE RTX 3060 Ti iChill X3 RED LHR,,C306T3-08D6X-1671VA39H,"256-bit, 8 GB GDDR6 Memory",448 Gbps,,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,135 x 300 mm,,,4864 CUDA Cores,,,,,,,,,
MSI NVIDIA GeForce RTX 4070 Ti SUPER 16G VENTUS 3X OC 1...,"₹1,03,746",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/k/m/c/geforce-rtx-4070-ti-super-16g-ventus-3x-oc-msi-original-imagxjwyuzywcgvc.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4070-ti-super-16g-ventus-3x-oc-16-gb-gddr6x-graphics-card/p/itm9e09c591037b4?pid=GRCGXHN8SRGCG5WK&lid=LSTGRCGXHN8SRGCG5WKJTLZNZ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_109&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCGXHN8SRGCG5WK.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Quick Setup Guide, Warranty Card",MSI,NVIDIA NVIDIA GeForce RTX 4070 Ti SUPER,2640 MHz,PCI Express Gen 4,GeForce RTX 4070 Ti SUPER 16G VENTUS 3X OC,285 W,GeForce RTX 4070 Ti SUPER 16G VENTUS 3X OC,"256-bit, 16 GB GDDR6X Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,,,,,,,,,,,,,,
ASRock AMD Radeon RX 7800 XT 16 GB GDDR6 Graphics Card,"₹47,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/3/l/-original-imah5yvzdgeqqfnj.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7800-xt-16-gb-gddr6-graphics-card/p/itm18aa66ad3b93f?pid=GRCH4JRXGQTVWHM8&lid=LSTGRCH4JRXGQTVWHM8BOS2ZR&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_113&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCH4JRXGQTVWHM8.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2475 MHz,PCI Express 4.0 x16,RX 7800 XT,750 W,90-GA4SZZ-00UANF,"256-bit, 16 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,,,,,,,,,,,,,,
ZOTAC NVIDIA ZT-T20600H-10M 6 GB GDDR6 Graphics Card,"₹34,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kex5ci80/graphics-card/s/z/z/zotac-zt-t20600h-10m-original-imafvh7gmbhnhjrg.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-zt-t20600h-10m-6-gb-gddr6-graphics-card/p/itmf731e95ee29cd?pid=GRCFVGWZGZHK3SZZ&lid=LSTGRCFVGWZGZHK3SZZ1YNX6W&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_117&otracker=search&fm=organic&iid=1320015c-733a-40ee-b73c-ca65fae0954f.GRCFVGWZGZHK3SZZ.SEARCH&ppt=None&ppn=None&ssid=py96ephkz40000001738684011872&qH=ae2a487734c75ca2,2/5/2025 16:45,1 Gaming Graphics Card,ZOTAC,NVIDIA GeForce RTX 2060,1680 MHz,PCI-Express x16,ZT-T20600H-10M,,ZT-T20600H-10M,"192-bit, 6 GB GDDR6 Memory",,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹20,209",4.4,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/graphics-card/g/p/y/gaming-geforce-rtx-3050-solo-zotac-original-imagqbrchm95egjn.jpeg?q=90,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO 12G LHR 12 GB...,"₹1,04,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l3929ow0/graphics-card/9/t/0/geforce-rtx-3080-gaming-z-trio-12g-lhr-msi-original-imagefyyfh4hekrs.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-3080-gaming-z-trio-12g-lhr-12-gb-gddr6x-graphics-card/p/itm52aac4a566f21?pid=GRCGEFYYK3ZDQGZK&lid=LSTGRCGEFYYK3ZDQGZKX6IIDJ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_121&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCGEFYYK3ZDQGZK.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,1 Graphic Card and Manual,MSI,NVIDIA GeForce RTX 3080,18151 MHz,PCI Express Gen 4,GeForce RTX 3080 GAMING Z TRIO 12G LHR,390 W,GeForce RTX 3080 GAMING Z TRIO 12G LHR,"384-bit, 12 GB GDDR6X Memory",19 Gbps,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,323 x 140 x 56 mm,1566 g,,8960 CUDA Cores,,7680 x 4320 (Digital),,,,,,,
Colorful NVIDIA Battle AX Mainstream 8 GB GDDR6 Graphic...,"₹39,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/j/y/1/battle-ax-mainstream-colorful-original-imah3q58tzrutt4v.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-battle-ax-mainstream-8-gb-gddr6-graphics-card/p/itma2ecc3aab3396?pid=GRCH3PVZ45BXH2QZ&lid=LSTGRCH3PVZ45BXH2QZB2J8JP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_125&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCH3PVZ45BXH2QZ.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, User Manual, Warranty Card",Colorful,NVIDIA RTX 4060,1830 MHz,PCI Express 4.0,Battle AX Mainstream,450 W,G-C4060-NBDUO8G,"128-bit, 8 GB GDDR6 Memory",272 Gbps,,,,,,3 Years Warranty,Manufaturing Defects,Physical Damages,Carry-in,,,,,3072 CUDA Cores,,,,,,,,,
GIGABYTE AMD Radeon GV-R69XTGAMING OC-16GD 16 GB GDDR6 ...,"₹1,39,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0h1g280/graphics-card/i/m/j/gv-r69xtgaming-oc-16gd-gigabyte-original-imagc9y85mjxq5gg.jpeg?q=70,https://www.flipkart.com/gigabyte-amd-radeon-gv-r69xtgaming-oc-16gd-16-gb-gddr6-graphics-card/p/itmf6648a86b2bf1?pid=GRCGC4H4MQPDTZAY&lid=LSTGRCGC4H4MQPDTZAYKO0OJ2&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_129&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCGC4H4MQPDTZAY.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphic Card, Quick Guide",GIGABYTE,AMD Radeon Radeon RX 6900 XT,16000 MHz,PCI Express 4.0 x16,GV-R69XTGAMING OC-16GD,850 W,9VR69XTGO-00-10,"256-bit, 16 GB GDDR6 Memory with 16000 MHz",512 Gbps,,,2 x HDMI Output Out,2 x Display Port Out,,3 Years Warranty,Manufacturing Defects,Physical Damage,On-site,,118 x 58 x 286 mm,,,5120 Stream Processor,,7680 x 4320 (Digital),,,2050 MHz,,,,
AMD AMD Radeon Sapphire PULSE Radeon™ RX 6800 XT Graphi...,"₹1,15,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0vbukw0/graphics-card/1/f/y/sapphire-pulse-radeon-rx-6800-xt-graphic-card-with-16-gb-gddr6-original-imagckhgwvgbah8z.jpeg?q=70,https://www.flipkart.com/amd-radeon-sapphire-pulse-radeon-rx-6800-xt-graphic-card-16-gb-gddr6-rdna-2-gddr6-graphics/p/itm47cf4c403f097?pid=GRCGCG63R6PVWRZJ&lid=LSTGRCGCG63R6PVWRZJATL8FS&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_133&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCGCG63R6PVWRZJ.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphic Card, Quick Installation Guide",AMD,AMD Radeon RX 6800 XT,2065 MHz,PCIe 4.0,"Sapphire PULSE Radeon™ RX 6800 XT Graphic Card with 16 GB GDDR6, RDNA™ 2",750 W,11304-03-20G,"256-bit, 16 GB GDDR6 Memory with 16 MHz",,"Microsoft DirectX v12, Open GL Optimization v4.6",,,,HDTV Support,3 Years Limited Warranty,Manufacturing Defects if Any,"Burn, Physical Damage",Carry In,Air Cooling,,,,4608 Stream Processor,,7680 x 4320 (Digital),Windows,,,0xVGA DSub Output,7 nm,,
nVIDIA NVIDIA RTX3070 8 GB GDDR6 Graphics Card,"₹84,900",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/q/t/rtx3070-nvidia-original-imagvypxrbyqbnsw.jpeg?q=70,https://www.flipkart.com/nvidia-rtx3070-8-gb-gddr6-graphics-card/p/itmd0db05b20baa9?pid=GRCGVYQHGWMJTD36&lid=LSTGRCGVYQHGWMJTD36XB1INU&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_137&otracker=search&fm=organic&iid=85c99d90-00d0-421d-99e5-acb57c448e52.GRCGVYQHGWMJTD36.SEARCH&ppt=None&ppn=None&ssid=ck9awgz38g0000001738684040748&qH=ae2a487734c75ca2,2/5/2025 16:45,"HDMI cable which supplied by the manufacturer, NVDIA RTX 3070",nVIDIA,NVIDIA NVIDIA GeForce RTX 3070,1695 MHz,PCI Express 4.0,RTX3070,,RTX 3070,"256-bit, 8 GB GDDR6 Memory",,,,,,,1 year,technical error only,physical damage/short circuit/overclocking/natural causes/no return or exchange,contact karthickeeensit@gmail.com,,,,,,,,,,,,,,
