title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Battery Cell,Backlit Keyboard,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,HDMI Port,Refresh Rate,Face Recognition,Battery Backup,Power Supply,Number of Cores,Mic In,Sound Properties,Pointer Device,Included Software,Additional Features,Domestic Warranty,Cache,Supported Operating System,EMMC Storage Capacity,Chipset,Expandable Memory,RAM Frequency,RPM,Expandable SSD Capacity,Multi Card Slot,Hardware Interface,Sound Chip,Ethernet,Security Chip,TGP,Memory Slots,RJ45,Antivirus,Inbuilt 4G LTE,Stylus Included,OS Architecture,System Architecture,S-video,Dock Port,Firewire Port,RJ11,VGA Port,Brightness,NFC Support,Wireless WAN,Read/Write Speed,Lock Port,Recovery Options,Laptop Bag,Other Accessories,International Warranty,Color Gamut
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,"79,990",4.7,"15,896 Ratings & 967 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/v/v/-original-imagfdeqter4sj2j.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itmdc5308fa78421?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_61&otracker=search&fm=organic&iid=en_WqHu9mpIatvpfIbyEOjll3yF1fJ5q6R087yBRUlC5xNsUisZS9aGnZ6TQb_-pMcpazLusJFCdTEPfvmX9x9NNfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLY33HN/A,MLY33HN/A,MacBook Air,MacBook AIR,Midnight,Thin and Light Laptop,Processing & Multitasking,No,Apple,M2,,Yes,256 GB,8 GB,Unified Memory,Apple M2 Chip,,NA,SSD,Mac OS Monterey,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,Three-mic Array with Directional Beamforming,802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3,1.24 Kg,Not Available,1080p FaceTime HD camera,,Backlit Magic Keyboard,1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,,Yes,,,,,,Upto 18 Hours,30 W USB-C Power Adapter,8,Yes,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",Force Touch Trackpad,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",52.6 Watt Hour Lithium Polymer Battery,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,"62,990",4.5,"4,460 Ratings & 404 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/g/m/-original-imah3xrqttkdbss4.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_62&otracker=search&fm=organic&iid=en_WqHu9mpIatvpfIbyEOjll3yF1fJ5q6R087yBRUlC5xNw2EbTaTVKMGqvy2fEEH9KmYUW1YsX-BtVCOAa8Vh8Lw%3D%3D&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",NP750XGJ-KG2IN / NP750XGJ-LG2IN,NP750XGJ-KG2IN|NP750XGJ-LG2IN,NP750XGJ-KG2IN / NP750XGJ-LG2IN,Galaxy Book4,Gray,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,13th Gen,Yes,512 GB,16 GB,LPDDR4X,1335U,Max Frequency Up to 4.60 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",Internal Digital MIC,802.11ax,v5.2,356.6 x 15.4 x 229.15mm,1.55 Kg,Not Available,"Yes, 1 Megapixel",Yes,QWERTY,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Onsite,Manufacturer Defect Only,Physical Damage,4 Cell Lithium Ion Battery,,,,"Yes, 1 x HDMI",,,,45W AC Adapter,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI Modern 14 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-671IN /...,"47,990",4.2,140 Ratings & 19 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/4/l/-original-imagvyw9gdshzsqq.jpeg?q=70,https://www.flipkart.com/msi-modern-14-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-c12m-671in-c12mo-1019in-thin-light-laptop/p/itm8820edd8b6c55?pid=COMGPXFYGNH5MJZW&lid=LSTCOMGPXFYGNH5MJZWEV9H9T&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_63&otracker=search&fm=organic&iid=92af7933-473f-4857-853e-31bdfa151b4e.COMGPXFYGNH5MJZW.SEARCH&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, power adapter, user guide",Modern 14 C12M-671IN / Modern 14 C12MO-1019IN,9S7-14J111-671 / 9S7-14J111-1019,Modern 14 C12M-671IN,Modern 14,Urban Silver,Thin and Light Laptop,"Processing & Multitasking, Entertainment",No,Intel,Core i7,12th Gen,Yes,512 GB,16 GB,DDR4,1255U,Base frequency 1.2 GHz upto Max Turbo Frequency 4.7 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x Type-C USB3.2 Gen2 with PD charging, 1 x Type-A USB3.2 Gen2, 2 x Type-A USB2.0",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, 60Hz 45%NTSC IPS-Level",2 x 2W,Yes,AMD RZ616 Wi-Fi 6E,v5.3,319.9 x 223 x 19.35 mm,1.4 Kg,Not Available,HD type (30fps@720p),,Single Backlit Keyboard (White),1 Year Onsite Warranty,Onsite,Part Failure,"Physical Damage, Burn, Liquid Spill",3 Cell,Yes,,,1 x HDMI (4K @ 30Hz),60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomson NEO Core Series Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...,"27,990",4.2,39 Ratings & 10 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/t/p/-original-imah3gybf8dhwpp3.jpeg?q=70,https://www.flipkart.com/thomson-neo-core-series-intel-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-in-n15i-thin-light-laptop/p/itmbc383ca17b77c?pid=COMGXXF2KBPZZPWH&lid=LSTCOMGXXF2KBPZZPWHEDRA95&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_64&otracker=search&fm=organic&iid=92af7933-473f-4857-853e-31bdfa151b4e.COMGXXF2KBPZZPWH.SEARCH&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"1 Laptop with Battery, 1 Adaptor, 1 User Manual, 1 Warranty Card",IN-N15I,IN-N15I512-8GR512,IN-N15I,NEO Core Series,Grey Brush,Thin and Light Laptop,Processing & Multitasking,No,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,LPDDR4,1235U,Max Frequency Up to 4.4 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB Type C 3.2 Gen 1",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD,Yes,Yes,IEEE 802.11 ac,v5.0,357.4 x 233.8 x 19.9 mm,1.65 Kg,Not Available,2 Megapixel,,Backlit Keyboard,1 Year Onsite warranty,Onsite,Any kind of Manufacturing defect or any hardware problem reported by Engineer will be covered under warranty.,"Screen Damage, Water Spill, Accendental Damage, Fire Damage, Tampering ,Mishandling not covered",,,,,1 x HDMI port,,,Upto 6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) V15 G4 Thin and Light Laptop,"39,990",4.2,253 Ratings & 21 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/b/8/-original-imah4dcjvah7mpah.jpeg?q=70,https://www.flipkart.com/lenovo-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-v15-g4-thin-light-laptop/p/itm0ed77e73122ed?pid=COMHFEJKB4ENJGYN&lid=LSTCOMHFEJKB4ENJGYNAK0YOS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_65&otracker=search&fm=organic&iid=92af7933-473f-4857-853e-31bdfa151b4e.COMHFEJKB4ENJGYN.SEARCH&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, User manual, Adapter",V15 G4,83CR000XIN,V15 G4,,Iron Grey,Thin and Light Laptop,Processing & Multitasking,No,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR4,7730U,2.0 GHz with Turbo Boost Upto 4.5 GHz,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD Anti-glare Display,Yes,Yes,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",v5.2,359.2 x 235.8 x 19.9 mm,1.65 Kg,Not Available,"HD 720p, with privacy shutter, fixed focus",,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical damage,2 Cell,,,,1x HDMI 1.4b,,,Upto 7.8 Hours,65 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Flex 5 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) 14IRU8 2 in 1 ...,"81,990",4.5,37 Ratings & 2 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/r/1/-original-imahyyhuz8znjtdx.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-flex-5-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-14iru8-2-1-laptop/p/itmd4a374447028a?pid=COMGRU9ZRTYBGZ6F&lid=LSTCOMGRU9ZRTYBGZ6FTXLNZ8&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_66&otracker=search&fm=organic&iid=92af7933-473f-4857-853e-31bdfa151b4e.COMGRU9ZRTYBGZ6F.SEARCH&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IRU8,82Y0004TIN|82Y00053IN|82Y00052IN,Flex 5,IdeaPad Flex 5,Arctic Grey,2 in 1 Laptop,Processing & Multitasking,Yes,Intel,Core i7,13th Gen,Yes,512 GB,16 GB,LPDDR4X,1355U,"Base Frequency 1.7 GHz, Max Turbo Boost at 5.0 GHz",Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x Thunderbolt 4 / USB4 40 Gbps (Support Data Transfer, Power Delivery 3.0 and DisplayPort 1.4)",Yes,35.56 cm (14 Inch),1920 x 1200 Pixels,"WUXGA, IPS 300nits Glossy, 45% NTSC, TUV Rheinland Low Blue Light, Glass, Touch",2W Dual Front Facing Stereo Speakers,Dual Array Microphone,"Wi-Fi 6, 11ax 2x2",v5.1,313.1 x 224.9 x 17.4 mm,1.5 kg,Not Available,Full HD 1080p with Privacy Shutter,Yes,"Backlit, English",1 Year Carry-in Warranty,Carry-In,Manufacturing Damage,Physical Damage,,Yes,,,1 x HDMI 1.4b,,,Upto 14 Hours,65W Round Tip (3 Pin),10,Yes,Dolby Audio,Lenovo Digital Pen,Microsoft Office Home & Student 2021,Integrated 52.5Wh Battery,1 Year,12 MB,Windows 11,,Intel SoC Platform,,,4266,,1 x 4-in-1 Card Reader,M.2 2242 PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,Firmware TPM 2.0 Enabled,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,"33,990",4.2,775 Ratings & 74 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/6/c/-original-imah8gg2x4afkpxe.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_67&otracker=search&fm=organic&iid=en_WqHu9mpIatvpfIbyEOjll3yF1fJ5q6R087yBRUlC5xNBQLtngyb7ZdNuqLBE_b71PgoCYbbaXjiAEkwl0Kw1rvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-53,UN.34RSI.002,A324-53,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,No,Intel,Core i3,13th Gen,Yes,512 GB,8 GB,DDR4,1305U,Max Frequency up to 4.50 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,Yes,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,Video conferencing: 2M With Privacy Camera Shutter,,84-key Acer keyboard layout with US language: Additional feature.,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,"40,990",4.2,"1,828 Ratings & 145 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/s/l/-original-imah8frsyvcstwd8.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmce54714ae1cd8?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG3MJBCRU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_68&otracker=search&fm=organic&iid=en_WqHu9mpIatvpfIbyEOjll3yF1fJ5q6R087yBRUlC5xNPjX_hIII2o-qLpAbQlBz4ZXMzmxiqGSoqwQOprQfA3vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",15ALC7,82R400ERIN/82KU0238IN,Ideapad Slim 1,IdeaPad Slim 1,Cloud Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Yes,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,16 GB,DDR4,5500U,"Base Frequency 2.1 GHz, Max Turbo Boost at 4.0 GHz",AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer Only)",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, IPS, Brightness: 300 nits, Anti-glare",Built-in 1.5W Dual Stereo Speakers,Built-in Dual Array Microphone,802.11ac 2 x 2,v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,HD 720p with Privacy Shutter,No,"Non Backlit, English",2 Yr Warranty,Carry-In,Manufacturing Defects,Physical Damage,,No,,,1 x HDMI 1.4b,,,Upto 9.0 Hour,"65W Round Tip (2 Pin, Wall Mount)",6,Yes,Dolby Audio,,Microsoft Office Home & Student 2021,"Integrated 45Wh, Surface Treatment: IMR (In-Mold Decoration by Roller)",1 Year,3 MB,Windows 11 Home,,AMD SoC Platform,NA,3200 MHz,3200,NA,1 x Card Reader (4-in-1 Card Reader),M.2 2280 PCIe 3.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",No Onboard Ethernet,Firmware TPM 2.0,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"67,999",4.3,743 Ratings & 61 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/2/u/-original-imah3zzjkjwumecn.jpeg?q=70,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96MYGWSGTF&lid=LSTCOMH3G96MYGWSGTFGZ7TLO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_69&otracker=search&fm=organic&iid=92af7933-473f-4857-853e-31bdfa151b4e.COMH3G96MYGWSGTF.SEARCH&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-79G,UN.34PSI.001,A715-79G,Aspire 7,Black,Gaming Laptop,Gaming,No,Intel,Core i5,13th Gen,Yes,512 GB,16 GB,DDR4,13420H,1.5 GHz upto Max Turbo Frequency 4.6 GHz,NVIDIA GeForce RTX 3050,SSD,Windows 11 Home,"1 x USB 3.2 Type-A port, 2 x USB 3.2 Type-C ports, 1 x USB 2.0 Type-A port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,Yes,Intel Wireless Wi-Fi 6 AX101,v5.2,359.5 x 238 x 22.7 mm,1.99 Kg,Not Available,1.0 M HD Video camera,,Multi languages Multi-Color illuminated full size keyboard with numeric pad,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,GDDR6,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"22,990",3.9,"1,719 Ratings & 144 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/l/a324-45-thin-and-light-laptop-acer-original-imah6gfdkf2m5rjf.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_70&otracker=search&fm=organic&iid=92af7933-473f-4857-853e-31bdfa151b4e.COMHFZYZFVD2MCAB.SEARCH&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-45,UN.342SI.004,A324-45,Aspire 3,Pure Silver,Thin and Light Laptop,Processing & Multitasking,No,Intel,Celeron Dual Core,,Yes,512 GB,8 GB,LPDDR4X,N4500,,Intel Integrated UHD,SSD,Windows 11 Home,USB 3.0 ports,No,35.56 cm (14 Inch),1366 x 768 Pixel,HD,Yes,Yes,Wi-Fi 5,v5.0,357.4 x 228 x 17.7 mm,1.3 Kg,Not Available,"T-Type HD camera, Compatible with Windows only",,84key Acer keyboard layout with international language support including indicators of CapsLock and F2/Microphone mute,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,2 cell,,,,1 x HDMI Port,,,,24 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,"49,890",4.1,"1,817 Ratings & 96 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/c/5/-original-imah8frtdh9bgnnp.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm726ac134d0530?pid=COMHFYZ3GZVH37GY&lid=LSTCOMHFYZ3GZVH37GYBMASJU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_71&otracker=search&fm=organic&iid=en_WqHu9mpIatvpfIbyEOjll3yF1fJ5q6R087yBRUlC5xNzAwp59MkwCo_HMp4EcYh9y1CWrp-gVOhJKRMvATJJdfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IAH8,83EQ0063IN,14IAH8,IdeaPad Slim 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,LPDDR5,12450H,Max Turbo Frequency upto 4.40 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, TN 250nits Anti-glare",Yes,Yes,"Wi-Fi 6, 11ax 2x2",v5.2,324.3 x 213.8 x 17.9 mm,1.37 Kg,Not Available,Full HD 1080p with Privacy Shutter,,"Backlit, English",1 Yr. Onsite,Carry-in,Manufacturing Defects,Physical Damage,,,,,1 x HDMI 1.4,,,,65 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,"93,990",4.7,"15,896 Ratings & 967 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/q/h/-original-imagypv6prbgkfzg.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7w4hn-a/p/itm2ea42dec44bca?pid=COMH64PYZU4ZZR79&lid=LSTCOMH64PYZU4ZZR79AHLYXY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_72&otracker=search&fm=organic&iid=en_WqHu9mpIatvpfIbyEOjll3yF1fJ5q6R087yBRUlC5xPXUsLk5p7QEHv499lnIAmkkAOgynefWxDplKf8RvemTaV8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=q8bjpcap1c0000001738102505136&qH=312f91285e048e09,2025-01-28 23:15:06,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",MC7W4HN/A,MC7W4HN/A,MacBook Air,MacBook AIR,Starlight,Thin and Light Laptop,Processing & Multitasking,No,Apple,M2,,Yes,256 GB,16 GB,Unified Memory,,,NA,SSD,macOS Sequoia,2 x Thunderbolt USB 4,No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",Built-in Speakers,,Wi-Fi 6 (802.11ax),v5.3,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,,Backlit Magic Keyboard,1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,,Yes,,,,,,Upto 18 Hours,,,Yes,Four-speaker sound system,,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Price not available,Data not available,Data not available,Image not available,URL not available,2025-01-28 23:15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Price not available,Data not available,Data not available,Image not available,URL not available,2025-01-28 23:15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Price not available,4.2,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/computer/c/w/5/-original-imagpecqk6gdp9dh.jpeg?q=90,URL not available,2025-01-28 23:15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Price not available,Data not available,Data not available,Image not available,URL not available,2025-01-28 23:15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Price not available,Data not available,Data not available,Image not available,URL not available,2025-01-28 23:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
