title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Part Number,Memory,VGA/D-SUB Output,DVI and HDMI Interface,HD Content Support,Supported OS,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Maximum Resolution,Processors and Cores,GPU Manufacturing Process,Graphics Technologies Supported,Other Interface,Shader,Cooling and Heatsink,Power Supply Required,Software Included,Dimensions,Weight,Additional Features,3D Support,Mini HDMI,Memory Bandwidth,RAMDAC Clock Speed,Other System Requirements
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹3,389",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/graphics-card/z/b/k/zotac-geforce-gt-710-original-imaegr7yc8vxsvpk.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gt-710-2-gb-ddr3-graphics-card/p/itma850c12e085e7?pid=GRCEGTUGGTDPAZBK&lid=LSTGRCEGTUGGTDPAZBKHAJWZS&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_77&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCEGTUGGTDPAZBK.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,"graphic card, driver, manual",ZOTAC,NVIDIA GeForce GT 710,954 MHz,PCI Express 2.0,GeForce GT 710,ZT-71302-20L/ ZT-71310-10L,"64-bit, 2 GB DDR3 Memory with 1600 MHz",1xVGA DSub Output,"1 x DVI Output Out, 1 x HDMI Output Out",HDCP Support and HDTV Support,,"Standard Warranty: 2 years, Extended warranty: +3 years; Total Warranty: 5 years total",Warranty is covered on complete product.,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry in.� EMail ID :�technical@zotac.com,,192 CUDA Cores,,"Microsoft DirectX v11, Open GL Optimization v4.5",,,Single Slot Passive,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:36:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:36:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹499,3.7,Data not available,https://rukminim2.flixcart.com/image/300/300/kw3v0cw0/graphics-card/i/7/p/8-pin-female-to-2-6-2-pin-male-pin-8pin-female-pcie-to-2-pcie-original-imag8uyexqymhn7y.jpeg?q=90,URL not available,2025-01-29 02:36:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:36:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:37:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zorbes NVIDIA Graphics Card Bracket, GPU Stand,Graphics...",₹594,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/j/y/n/graphics-card-bracket-gpu-stand-graphics-card-gpu-brace-zorbes-original-imahywmbhhhsdjzh.jpeg?q=70,https://www.flipkart.com/zorbes-nvidia-graphics-card-bracket-gpu-stand-graphics-brace-1-gb-ddr3/p/itm77be3283e7180?pid=GRCGTCECBQ9RUGJH&lid=LSTGRCGTCECBQ9RUGJHARHZG7&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_81&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCGTCECBQ9RUGJH.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,1,Zorbes,NVIDIA genforce,589 MHz,Standard,"Graphics Card Bracket, GPU Stand,Graphics Card GPU Brace",Graphic Card Bracket,"64-bit, 1 GB DDR3 Memory",,,,,Without Warranty,Without Warranty,Without Warranty,Without Warranty,,,,,,,,,,,,,,,,,
Nextron NVIDIA GT730 4GB DDR3 4 GB DDR3 Graphics Card,₹556,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kvvad8w0/graphics-card/m/k/n/gt730-4gb-ddr3-nextron-original-imag8z6sfsetfhu4.jpeg?q=70,https://www.flipkart.com/nextron-nvidia-gt730-4gb-ddr3-4-gb-graphics-card/p/itm971f7ed34fd6b?pid=GRCG8Z6S9JHR6Q3B&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_85&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCG8Z6S9JHR6Q3B.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,1 Graphics Card,Nextron,NVIDIA GeForce 730,1600 MHz,2.0,GT730 4GB DDR3,GT730 4GB DDR3,"64-bit, 4 GB DDR3 Memory",,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
ZEBRONICS NVIDIA Gt610 2Gb graphics card 2 GB DDR3 Grap...,"₹1,440",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/n/q/zebronics-gt610-2gb-graphics-card-c-computer-original-imah4nhnctazw6wu.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-gt610-2gb-graphics-card-2-gb-ddr3/p/itmf90c3c8d31ae1?pid=GRCH4NMY8ZAHGYBT&lid=LSTGRCH4NMY8ZAHGYBTOER7VD&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_89&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCH4NMY8ZAHGYBT.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,1 graphics_card,ZEBRONICS,NVIDIA zebronics,1000 MHz,Pcie 2.0,Gt610 2Gb graphics card,gt 610,"64-bit, 2 GB DDR3 Memory",,,,,NA,not working,damage,by service center,,,,,,,,,,,,,,,,,
ASRock AMD Radeon RX6800XT PGD 16 GB GDDR6 Graphics Car...,"₹94,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l2m78280/graphics-card/q/b/m/rx6800xt-pgd-asrock-original-imagdxa7jj9hwfhc.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx6800xt-pgd-16-gb-gddr6-graphics-card/p/itm18d5c6441e242?pid=GRCGDUZNZC3KQHB4&lid=LSTGRCGDUZNZC3KQHB4HMJTV2&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_93&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCGDUZNZC3KQHB4.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,"1 Graphic Card, Quick guide",ASRock,AMD Radeon Radeon RX 6800 XT,16000 MHz,PCI Express 4.0 x16,RX6800XT PGD,RX6800XT,"256-bit, 16 GB GDDR6 Memory with 16000 MHz",,1 x HDMI Output Out,HDCP Support,,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,7680 x 4320 (Digital),4608 Stream Processor,,Open GL Optimization v4.6,3 x Display Port Out,,,800 W,,330 x 140 x 56 mm,1784 g,"0 dB Silent Cooling, 4GB 64-bit GDDR6, Striped Axial Fan, Hardware Raytracing",,,512 Gbps,1875 MHz,
Piplus NVIDIA VER012 Pro 10 Capacitor Pcie Riser Extens...,"₹1,821",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0h1g280/graphics-card/t/p/e/ver012-pro-10-capacitor-pcie-riser-extension-adapter-card-eth-original-imagc99nma4gmwuc.jpeg?q=70,https://www.flipkart.com/piplus-nvidia-ver012-pro-10-capacitor-pcie-riser-extension-adapter-card-eth-mining-16-gb-gddr4-graphics/p/itm482da5d5b9e4d?pid=GRCGC99PTZFHW9GR&lid=LSTGRCGC99PTZFHW9GRD1NKE6&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_97&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCGC99PTZFHW9GR.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,"1*PCI-E 16X adapter boards, 1*PCI-E 1X adapter cards, 1* 80 cm Pi+ Branded USB 3.0 adapter cable, 1* USB Clip - Motherboard Lock, 1* 6PIN to 15PIN SATA power cable",Piplus,NVIDIA 1,120 MHz,PCI-E - 3.0,VER012 Pro 10 Capacitor Pcie Riser Extension Adapter Card ETH Mining,VER 012,"64-bit, 16 GB GDDR4 Memory",,,,,Warranty only on manufacturing defect.,"These parts aWarranty only on manufacturing defect.re sensitive, any wrong connection will spoil them. We normally don't give warranty.","These partPhysical damage / water damage / burned product will not be covered under warranty.s are sensitive, any wrong connection will spoil them. We normally don't give warranty.","These parts arCustomer need to send their product to nearby service center..e sensitive, any wrong connection will spoil them. We normally don't give warranty.",,,,,,,,0 W,,,200 g,,,,,,
MSI NVIDIA GeForce RTX 3050 VENTUS 2X E 6G OC 6 GB GDDR...,"₹19,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/q/4/a/geforce-rtx-3050-ventus-2x-e-6g-oc-msi-original-imah78hnbpz2zncy.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-3050-ventus-2x-e-6g-oc-6-gb-gddr6-graphics-card/p/itmd8c1413ac8eca?pid=GRCH77HDZYNBFHMQ&lid=LSTGRCH77HDZYNBFHMQ1DBRWK&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_101&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCH77HDZYNBFHMQ.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,1 (GeForce RTX 3050 VENTUS 2X E 6G OC ),MSI,NVIDIA NVIDIA® GeForce RTX™ 3050,1492 MHz,PCI Express® Gen 4 x16 (uses x8),GeForce RTX 3050 VENTUS 2X E 6G OC,6GB GDDR6,"96-bit, 6 GB GDDR6 Memory",,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,189 x 42 x 109 mm,610 g,Good Quality Product,,,,,
MSI NVIDIA GeForce RTX 4090 VENTUS 3X E 24G OC 24 GB GD...,"₹2,82,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/h/k/r/geforce-rtx-4090-ventus-3x-e-24g-oc-msi-original-imah78hn8ba3neft.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4090-ventus-3x-e-24g-oc-24-gb-gddr6-graphics-card/p/itm9f97e4b021b84?pid=GRCH77HEVX2U9SUG&lid=LSTGRCH77HEVX2U9SUGXH13L7&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_105&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCH77HEVX2U9SUG.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,1 (GeForce RTX 4090 VENTUS 3X E 24G OC ),MSI,NVIDIA NVIDIA® GeForce RTX™ 4090,2565 MHz,PCI Express Gen 4,GeForce RTX 4090 VENTUS 3X E 24G OC,24 GB GDDR6,"384-bit, 24 GB GDDR6 Memory",,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,322 x 62 x 136 mm,2308 g,Good Quality Product,,,,,
ZEBRONICS NVIDIA ZEB GT730 4 GB GDDR3 Graphics Card,"₹2,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0zm64w0/graphics-card/o/n/h/zeb-gt730-zebronics-original-imagcnhhhdjhaevq.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zeb-gt730-4-gb-gddr3-graphics-card/p/itm866fde6d96fa2?pid=GRCGCNHHSZ54FV7J&lid=LSTGRCGCNHHSZ54FV7JTVIZPE&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_109&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCGCNHHSZ54FV7J.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,1 UNIT CARD 1 UNIT CD USER MANUAL,ZEBRONICS,NVIDIA NVIDIA,700 MHz,PCI,ZEB GT730,GT730,"64-bit, 4 GB GDDR3 Memory",,,,,1 YEAR,AUTHORIZED SEVRICE CENTER,NOT COVER IN PHIYSICAL DAMAGE,AUTHORIZED SEVRICE CENTER,,,,,,,,,,,,,,,,,
Nextar NVIDIA VER 009S Riser Cable Black PCIE Riser 1X ...,₹584,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/ktvucnk0/graphics-card/p/x/u/ver-009s-riser-cable-black-pcie-riser-1x-to-16x-graphics-original-imag74txqem6deer.jpeg?q=70,https://www.flipkart.com/nextar-nvidia-ver-009s-riser-cable-black-pcie-1x-16x-graphics-extension-gpu-mining-powered-adapter-card-60cm-usb-3-0-cable-4-solid-capacitors-two-6pin-molex-3-power-options-pack-0f-1-16-gb-gddr4-card/p/itm4db4c1ac19c75?pid=GRCG74UK8N8PWR8X&lid=LSTGRCG74UK8N8PWR8X4J1JDJ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_113&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCG74UK8N8PWR8X.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,1PC VER009S Riser Card,Nextar,NVIDIA 1,120 MHz,3,"VER 009S Riser Cable Black PCIE Riser 1X to 16X Graphics Extension for GPU Mining Powered Riser Adapter Card, 60cm USB 3.0 Cable, 4 Solid Capacitors, Two 6PIN & Molex 3 Power Options(Pack 0f 1)",009S-1,"64-bit, 16 GB GDDR4 Memory",,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
"Mebako NVIDIA PCI Express Riser Card V014 Pro, GPU Rise...",₹902,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/j/v/b/pci-express-riser-card-v014-pro-gpu-riser-adapter-card-pcie-x1-original-imagz3qgf2furf5h.jpeg?q=70,https://www.flipkart.com/mebako-nvidia-pci-express-riser-card-v014-pro-gpu-adapter-pcie-x1-x16-extender-2-gb-ddr2-graphics/p/itm2b5b753db1400?pid=GRCGZ3QGFZUPAK7Y&lid=LSTGRCGZ3QGFZUPAK7Y3HXUKM&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_117&otracker=search&fm=organic&iid=27d03657-fea4-400f-b9f8-9dde460c5ec6.GRCGZ3QGFZUPAK7Y.SEARCH&ppt=None&ppn=None&ssid=1nor8bqf1s0000001738114646773&qH=ae2a487734c75ca2,2025-01-29 02:37:26,"1 x 60cm USB 3.0 Cable, 1 x SATA to 6Pin Power Cable, 1 x PCI-E 16X Riser Board, 1 x PCI-E 1X Riser Card.",Mebako,NVIDIA GeForce 210,500 MHz,PCI Express,"PCI Express Riser Card V014 Pro, GPU Riser Adapter Card PCIE X1 to X16 Extender",PCI Express Riser Card V014 Pro,"64-bit, 2 GB DDR2 Memory",,,,,1 Month Warranty,Manufacture Defect Only,"Product External Damage, Burned, Liquids",Product Replacement Warranty,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:37:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:37:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹448,4,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/graphics-card/s/g/7/card-for-key-m-2230-2242-2260-2280-size-m-2-ssd-support-pcie-x4-original-imagzry59zgxjjgt.jpeg?q=90,URL not available,2025-01-29 02:37:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:37:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:37:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI AMD Radeon Radeon RX 6600 XT MECH 2X 8G OCV1 8 GB G...,"₹35,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kz4gh3k0/graphics-card/o/b/1/radeon-rx-6600-xt-mech-2x-8g-ocv1-msi-original-imagb7fnm8hjtdzf.jpeg?q=70,https://www.flipkart.com/msi-amd-radeon-rx-6600-xt-mech-2x-8g-ocv1-8-gb-gddr6-graphics-card/p/itm4725b4d67f206?pid=GRCGB7FDAGNUXGRG&lid=LSTGRCGB7FDAGNUXGRGH4O0VD&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_121&otracker=search&fm=organic&iid=13cc3504-aef4-4d1b-95d0-078bc357494b.GRCGB7FDAGNUXGRG.SEARCH&ppt=None&ppn=None&ssid=92mez5bduo0000001738114675385&qH=ae2a487734c75ca2,2025-01-29 02:37:54,Graphic Card and user manual,MSI,AMD Radeon AMD Radeon RX 6600 XT,2602 MHz,PCI Express 4.0 x8,Radeon RX 6600 XT MECH 2X 8G OCV1,Radeon RX 6600 XT MECH 2X 8G OCV1,"128-bit, 8 GB GDDR6 Memory",,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,,,,,,,,,,,,,,,
AMD AMD Radeon RX 6600 8 GB GDDR6 Graphics Card,"₹36,308",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l3dcl8w0/graphics-card/e/1/p/rx-6600-amd-original-imagegbjmqwwgaab.jpeg?q=70,https://www.flipkart.com/amd-radeon-rx-6600-8-gb-gddr6-graphics-card/p/itm0388f44a6d8ff?pid=GRCGEGYSF8R9GQRP&lid=LSTGRCGEGYSF8R9GQRPQGLQH0&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_125&otracker=search&fm=organic&iid=13cc3504-aef4-4d1b-95d0-078bc357494b.GRCGEGYSF8R9GQRP.SEARCH&ppt=None&ppn=None&ssid=92mez5bduo0000001738114675385&qH=ae2a487734c75ca2,2025-01-29 02:37:54,"1 Graphic Card, Quick Installation Guide",AMD,AMD Radeon Radeon RX 6600,2044 MHz,PCIe 4.0,RX 6600,11310-01-20G,"128-bit, 8 GB GDDR6 Memory with 1750 MHz",0xVGA DSub Output,1 x HDMI Output Out,HDTV Support,Windows,3 Years Limited Warranty,Manufacturing Defects if Any,"Burn, Physical Damage",Limitted Warranty,7680 x 4320 (Digital),1792 Stream Processor,7 nm,"Microsoft DirectX v12, Open GL Optimization v4.6",3 x Display Port Out,,Air Cooling,450 W,,,,,,,,,
MSI NVIDIA GeForce GTX 1650 D6 VENTUS XS OC 4 GB GDDR6 ...,"₹18,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/n/c/g/geforce-gtx-1650-d6-ventus-xs-oc-msi-original-imah78h8zusjdjgn.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-gtx-1650-d6-ventus-xs-oc-4-gb-gddr6-graphics-card/p/itm247e70006e98f?pid=GRCH77HDRSEAACSR&lid=LSTGRCH77HDRSEAACSR137ZMA&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_129&otracker=search&fm=organic&iid=13cc3504-aef4-4d1b-95d0-078bc357494b.GRCH77HDRSEAACSR.SEARCH&ppt=None&ppn=None&ssid=92mez5bduo0000001738114675385&qH=ae2a487734c75ca2,2025-01-29 02:37:54,1 (GeForce GTX 1650 D6 VENTUS XS OC ),MSI,NVIDIA NVIDIA® GeForce® GTX 1650,1620 MHz,PCI Express x16 3.0,GeForce GTX 1650 D6 VENTUS XS OC,4GB GDDR6,"128-bit, 4 GB GDDR6 Memory",,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,178 x 38 x 111 mm,658 g,Good Quality Product,,,,,
ASUS AMD/ATI TUF Gaming Radeon RX 7900 XT OC Edition 20...,"₹80,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/v/n/l/tuf-gaming-radeon-rx-7900-xt-oc-edition-asus-original-imagy7yhffqjkddw.jpeg?q=70,https://www.flipkart.com/asus-amd-ati-tuf-gaming-radeon-rx-7900-xt-oc-20-gb-gddr6-graphics-card/p/itm0545edd0f8cdc?pid=GRCGY4FCU7TKUZFS&lid=LSTGRCGY4FCU7TKUZFSGVZDKS&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_133&otracker=search&fm=organic&iid=13cc3504-aef4-4d1b-95d0-078bc357494b.GRCGY4FCU7TKUZFS.SEARCH&ppt=None&ppn=None&ssid=92mez5bduo0000001738114675385&qH=ae2a487734c75ca2,2025-01-29 02:37:54,"1 Graphics Card, Certificate of Reliability, Graphics Card Holder, Velcro Hook and Loop, Collection Card, Speed Setup Manual, User Manual, Warranty Card",ASUS,AMD/ATI AMD Radeon RX 7900 XT,2535 MHz,PCI Express 4.0,TUF Gaming Radeon RX 7900 XT OC Edition,TUF-RX7900XT-O20G,"320-bit, 20 GB GDDR6 Memory",,1 x HDMI Output Out,HDCP Support,,3 Years Warranty,Manufacturing Defects,Physical and Water Damages,Carry-in,7680 x 4320 (Digital),5376 Stream Processor,,,,,,750 W,,352.9 x 158.2 x 72.6 mm,2157 g,,,,,,
Inno3D NVIDIA GEFORCE RTX 4070 SUPER TWIN X2 12 GB GDDR...,"₹58,689",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/f/n/e/geforce-rtx-4070-super-twin-x2-inno3d-original-imagydrhndzyuknk.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-4070-super-twin-x2-12-gb-gddr6x-graphics-card/p/itm9c1fe3854d243?pid=GRCGYDRHGQFJBUVJ&lid=LSTGRCGYDRHGQFJBUVJ376G7F&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_137&otracker=search&fm=organic&iid=13cc3504-aef4-4d1b-95d0-078bc357494b.GRCGYDRHGQFJBUVJ.SEARCH&ppt=None&ppn=None&ssid=92mez5bduo0000001738114675385&qH=ae2a487734c75ca2,2025-01-29 02:37:54,"User Manual, Accessories, Graphic Card",Inno3D,NVIDIA GEFORCE RTX,2475 MHz,PCI-E 4.0 X16,GEFORCE RTX 4070 SUPER TWIN X2,N407S2-126X-186162N,"192-bit, 12 GB GDDR6X Memory",,,,,3 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 3 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,,,,,,,,
GIGABYTE AMD Radeon GV-R69XTGAMING OC-16GD 16 GB GDDR6 ...,"₹1,39,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0h1g280/graphics-card/i/m/j/gv-r69xtgaming-oc-16gd-gigabyte-original-imagc9y85mjxq5gg.jpeg?q=70,https://www.flipkart.com/gigabyte-amd-radeon-gv-r69xtgaming-oc-16gd-16-gb-gddr6-graphics-card/p/itmf6648a86b2bf1?pid=GRCGC4H4MQPDTZAY&lid=LSTGRCGC4H4MQPDTZAYKO0OJ2&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_141&otracker=search&fm=organic&iid=13cc3504-aef4-4d1b-95d0-078bc357494b.GRCGC4H4MQPDTZAY.SEARCH&ppt=None&ppn=None&ssid=92mez5bduo0000001738114675385&qH=ae2a487734c75ca2,2025-01-29 02:37:54,"1 Graphic Card, Quick Guide",GIGABYTE,AMD Radeon Radeon RX 6900 XT,16000 MHz,PCI Express 4.0 x16,GV-R69XTGAMING OC-16GD,9VR69XTGO-00-10,"256-bit, 16 GB GDDR6 Memory with 16000 MHz",,2 x HDMI Output Out,,,3 Years Warranty,Manufacturing Defects,Physical Damage,On-site,7680 x 4320 (Digital),5120 Stream Processor,,,2 x Display Port Out,,,850 W,,118 x 58 x 286 mm,,,,,512 Gbps,2050 MHz,
ZOTAC NVIDIA GAMING GeForce RTX 4070 Ti Trinity OC Whit...,"₹81,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/o/d/gaming-geforce-rtx-4070-ti-trinity-oc-white-edition-zotac-original-imagqcprqmmvyy7z.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-4070-ti-trinity-oc-white-12-gb-gddr6x-graphics-card/p/itmb6f9294b9390d?pid=GRCGQCPRMCUHYN8Y&lid=LSTGRCGQCPRMCUHYN8YHGRT4U&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_4_145&otracker=search&fm=organic&iid=13cc3504-aef4-4d1b-95d0-078bc357494b.GRCGQCPRMCUHYN8Y.SEARCH&ppt=None&ppn=None&ssid=92mez5bduo0000001738114675385&qH=ae2a487734c75ca2,2025-01-29 02:37:54,"ZOTAC GAMING GeForce RTX 4070 Ti Trinity OC White Edition, GPU Support Stand, 1 x 3x8-pin-to-12VHPWR cable, User Manual",ZOTAC,NVIDIA GeForce RTX 4070 Ti,2625 MHz,PCI Express 4.0 16x,GAMING GeForce RTX 4070 Ti Trinity OC White Edition,RTX 4070 Ti,"192-bit, 12 GB GDDR6X Memory",,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,7680x4320 (Digital),7680 CUDA Cores,,,,,,750 W,,,,,,,,,
